label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] core6 lb=252 top5 @ 21d,3835,29.57,42.98,-70.2,0.82,0.42,51.5,core6,252,5,21,False
mom[raw ] core6 lb=126 top3 @ 3d,3835,29.55,46.98,-76.96,0.79,0.38,51.4,core6,126,3,3,False
mom[raw ] core6 lb=252 top4 @ 21d,3835,29.27,46.98,-72.9,0.78,0.4,49.7,core6,252,4,21,False
mom[gate] core6 lb=63 top3 @ 5d,3835,29.14,44.4,-69.5,0.8,0.42,49.0,core6,63,3,5,True
mom[gate] big8 lb=126 top4 @ 3d,3835,29.13,43.52,-61.34,0.81,0.47,49.0,big8,126,4,3,True
mom[gate] core6 lb=126 top2 @ 10d,3835,29.12,49.29,-60.5,0.77,0.48,48.9,core6,126,2,10,True
mom[raw ] core6 lb=21 top5 @ 10d,3835,28.96,43.11,-72.83,0.81,0.4,48.0,core6,21,5,10,False
mom[raw ] core6 lb=21 top4 @ 5d,3835,28.94,43.63,-75.64,0.8,0.38,47.8,core6,21,4,5,False
mom[gate] big8 lb=126 top4 @ 5d,3835,28.87,44.16,-62.33,0.8,0.46,47.5,big8,126,4,5,True
mom[raw ] big8 lb=252 top3 @ 5d,3835,28.8,46.73,-64.68,0.78,0.45,47.1,big8,252,3,5,False
mom[gate] core6 lb=63 top5 @ 5d,3835,28.66,40.1,-65.79,0.83,0.44,46.3,core6,63,5,5,True
mom[raw ] big8 lb=126 top5 @ 21d,3835,28.64,46.2,-72.34,0.78,0.4,46.2,big8,126,5,21,False
mom[gate] core6 lb=126 top4 @ 5d,3835,28.64,44.4,-61.03,0.79,0.47,46.2,core6,126,4,5,True
mom[raw ] big8 lb=252 top4 @ 21d,3835,28.63,47.07,-66.07,0.77,0.43,46.1,big8,252,4,21,False
mom[raw ] big8 lb=126 top3 @ 5d,3835,28.61,46.68,-73.77,0.78,0.39,46.0,big8,126,3,5,False
mom[raw ] big8 lb=126 top3 @ 10d,3835,28.58,47.22,-72.92,0.77,0.39,45.9,big8,126,3,10,False
mom[raw ] big8 lb=63 top4 @ 3d,3835,28.49,43.21,-77.53,0.8,0.37,45.4,big8,63,4,3,False
mom[raw ] core6 lb=252 top1 @ 5d,3835,28.47,58.34,-65.57,0.73,0.43,45.3,core6,252,1,5,False
mom[gate] core6 lb=63 top4 @ 5d,3835,28.35,42.21,-67.66,0.8,0.42,44.6,core6,63,4,5,True
mom[raw ] big8 lb=63 top4 @ 5d,3835,28.23,43.21,-77.08,0.79,0.37,44.0,big8,63,4,5,False
mom[raw ] big8 lb=252 top5 @ 21d,3835,28.17,45.35,-70.01,0.78,0.4,43.7,big8,252,5,21,False
mom[raw ] big8 lb=63 top4 @ 10d,3835,28.0,43.68,-72.3,0.79,0.39,42.8,big8,63,4,10,False
mom[gate] core6 lb=126 top2 @ 21d,3835,27.8,49.74,-61.78,0.74,0.45,41.8,core6,126,2,21,True
mom[raw ] core6 lb=21 top5 @ 5d,3835,27.75,42.61,-73.24,0.79,0.38,41.6,core6,21,5,5,False
mom[raw ] big8 lb=252 top3 @ 3d,3835,27.67,46.65,-63.86,0.76,0.43,41.2,big8,252,3,3,False
mom[gate] big8 lb=126 top3 @ 10d,3835,27.66,46.05,-62.29,0.76,0.44,41.1,big8,126,3,10,True
mom[gate] big8 lb=126 top3 @ 21d,3835,27.58,46.56,-63.85,0.76,0.43,40.7,big8,126,3,21,True
mom[gate] big8 lb=126 top4 @ 21d,3835,27.58,44.2,-63.15,0.77,0.44,40.7,big8,126,4,21,True
mom[gate] big8 lb=126 top2 @ 5d,3835,27.47,49.11,-71.88,0.74,0.38,40.2,big8,126,2,5,True
mom[gate] core6 lb=63 top2 @ 10d,3835,27.46,49.06,-60.94,0.74,0.45,40.1,core6,63,2,10,True
mom[gate] core6 lb=126 top4 @ 10d,3835,27.34,44.11,-64.51,0.77,0.42,39.6,core6,126,4,10,True
mom[gate] core6 lb=126 top4 @ 3d,3835,27.33,43.59,-60.88,0.77,0.45,39.5,core6,126,4,3,True
mom[raw ] core6 lb=63 top3 @ 3d,3835,27.31,44.68,-79.15,0.77,0.35,39.4,core6,63,3,3,False
mom[gate] core6 lb=252 top1 @ 5d,3835,27.28,57.65,-71.96,0.71,0.38,39.3,core6,252,1,5,True
mom[raw ] core6 lb=126 top2 @ 10d,3835,27.27,50.53,-69.45,0.73,0.39,39.2,core6,126,2,10,False
mom[raw ] core6 lb=63 top1 @ 10d,3835,27.25,60.9,-69.13,0.7,0.39,39.2,core6,63,1,10,False
mom[gate] big8 lb=126 top5 @ 3d,3835,27.18,41.87,-62.17,0.79,0.44,38.8,big8,126,5,3,True
mom[raw ] core6 lb=21 top4 @ 3d,3835,27.11,43.82,-78.43,0.77,0.35,38.5,core6,21,4,3,False
mom[raw ] core6 lb=21 top4 @ 10d,3835,27.1,44.95,-77.95,0.76,0.35,38.5,core6,21,4,10,False
mom[gate] core6 lb=63 top5 @ 21d,3835,26.97,41.27,-54.21,0.79,0.5,37.9,core6,63,5,21,True
mom[raw ] big8 lb=126 top5 @ 3d,3835,26.83,44.77,-73.9,0.76,0.36,37.2,big8,126,5,3,False
mom[raw ] core6 lb=21 top5 @ 21d,3835,26.78,43.52,-71.9,0.76,0.37,37.0,core6,21,5,21,False
mom[gate] big8 lb=126 top5 @ 5d,3835,26.77,42.14,-61.68,0.78,0.43,37.0,big8,126,5,5,True
mom[raw ] big8 lb=126 top4 @ 3d,3835,26.69,45.17,-75.39,0.75,0.35,36.6,big8,126,4,3,False
mom[raw ] big8 lb=63 top2 @ 10d,3835,26.61,49.86,-74.33,0.73,0.36,36.2,big8,63,2,10,False
mom[gate] core6 lb=126 top2 @ 3d,3835,26.58,49.0,-66.72,0.73,0.4,36.1,core6,126,2,3,True
mom[gate] core6 lb=63 top1 @ 10d,3835,26.58,60.13,-69.13,0.7,0.38,36.1,core6,63,1,10,True
mom[raw ] big8 lb=252 top4 @ 10d,3835,26.54,45.76,-67.4,0.75,0.39,35.9,big8,252,4,10,False
mom[gate] core6 lb=63 top4 @ 21d,3835,26.22,44.52,-56.84,0.75,0.46,34.6,core6,63,4,21,True
mom[gate] core6 lb=126 top5 @ 3d,3835,26.18,40.49,-61.27,0.78,0.43,34.4,core6,126,5,3,True
mom[raw ] big8 lb=126 top3 @ 3d,3835,26.16,46.34,-75.51,0.74,0.35,34.3,big8,126,3,3,False
mom[raw ] big8 lb=126 top2 @ 5d,3835,26.16,49.7,-73.61,0.72,0.36,34.3,big8,126,2,5,False
mom[gate] big8 lb=126 top5 @ 21d,3835,26.1,42.51,-63.6,0.76,0.41,34.1,big8,126,5,21,True
mom[raw ] core6 lb=21 top3 @ 5d,3835,25.9,44.28,-77.56,0.74,0.33,33.3,core6,21,3,5,False
mom[raw ] core6 lb=126 top2 @ 21d,3835,25.86,51.32,-72.62,0.71,0.36,33.1,core6,126,2,21,False
mom[gate] big8 lb=126 top4 @ 10d,3835,25.79,44.08,-60.68,0.74,0.43,32.9,big8,126,4,10,True
mom[raw ] all17 lb=252 top2 @ 5d,3835,25.76,53.78,-71.23,0.7,0.36,32.7,all17,252,2,5,False
mom[gate] core6 lb=126 top5 @ 5d,3835,25.72,41.09,-61.88,0.76,0.42,32.6,core6,126,5,5,True
mom[gate] big8 lb=63 top2 @ 10d,3835,25.71,49.68,-59.69,0.71,0.43,32.5,big8,63,2,10,True
mom[raw ] all17 lb=252 top4 @ 5d,3835,25.66,42.7,-51.88,0.75,0.49,32.3,all17,252,4,5,False
mom[raw ] all17 lb=252 top3 @ 3d,3835,25.62,46.77,-66.55,0.72,0.38,32.2,all17,252,3,3,False
mom[raw ] core6 lb=21 top4 @ 21d,3835,25.55,45.53,-72.96,0.73,0.35,31.9,core6,21,4,21,False
mom[raw ] core6 lb=252 top3 @ 10d,3835,25.47,48.82,-69.93,0.71,0.36,31.6,core6,252,3,10,False
mom[raw ] core6 lb=252 top3 @ 21d,3835,25.46,50.11,-68.8,0.71,0.37,31.6,core6,252,3,21,False
mom[raw ] core6 lb=63 top1 @ 5d,3835,25.43,59.68,-75.45,0.68,0.34,31.4,core6,63,1,5,False
mom[raw ] big8 lb=252 top3 @ 10d,3835,25.32,47.6,-64.61,0.72,0.39,31.0,big8,252,3,10,False
mom[raw ] core6 lb=252 top2 @ 5d,3835,25.26,49.52,-64.55,0.71,0.39,30.8,core6,252,2,5,False
mom[gate] core6 lb=63 top3 @ 10d,3835,25.16,45.06,-60.05,0.73,0.42,30.4,core6,63,3,10,True
mom[gate] all17 lb=252 top2 @ 5d,3835,25.08,53.91,-68.68,0.69,0.37,30.1,all17,252,2,5,True
mom[raw ] core6 lb=252 top2 @ 10d,3835,25.04,50.61,-66.26,0.7,0.38,30.0,core6,252,2,10,False
mom[raw ] core6 lb=252 top2 @ 3d,3835,24.99,49.7,-64.26,0.7,0.39,29.8,core6,252,2,3,False
mom[raw ] big8 lb=63 top2 @ 5d,3835,24.97,47.88,-79.77,0.71,0.31,29.7,big8,63,2,5,False
mom[gate] core6 lb=126 top5 @ 10d,3835,24.94,40.71,-65.26,0.75,0.38,29.6,core6,126,5,10,True
mom[gate] big8 lb=252 top1 @ 5d,3835,24.86,56.86,-74.61,0.68,0.33,29.3,big8,252,1,5,True
mom[raw ] big8 lb=63 top5 @ 21d,3835,24.78,45.95,-73.23,0.71,0.34,29.1,big8,63,5,21,False
mom[gate] core6 lb=63 top3 @ 21d,3835,24.65,46.82,-58.21,0.71,0.42,28.6,core6,63,3,21,True
mom[raw ] big8 lb=63 top4 @ 21d,3835,24.43,45.38,-74.02,0.71,0.33,27.8,big8,63,4,21,False
mom[raw ] big8 lb=21 top5 @ 5d,3835,24.43,43.25,-72.99,0.72,0.33,27.8,big8,21,5,5,False
mom[raw ] all17 lb=252 top2 @ 3d,3835,24.42,53.16,-76.56,0.68,0.32,27.8,all17,252,2,3,False
mom[gate] big8 lb=63 top3 @ 10d,3835,24.21,45.21,-65.51,0.71,0.37,27.1,big8,63,3,10,True
mom[gate] big8 lb=126 top5 @ 10d,3835,24.21,42.46,-60.4,0.73,0.4,27.1,big8,126,5,10,True
mom[raw ] core6 lb=21 top3 @ 3d,3835,24.13,43.81,-79.55,0.71,0.3,26.8,core6,21,3,3,False
mom[raw ] big8 lb=21 top5 @ 10d,3835,24.12,44.45,-74.16,0.71,0.33,26.8,big8,21,5,10,False
mom[raw ] core6 lb=63 top3 @ 21d,3835,24.1,47.11,-73.99,0.7,0.33,26.7,core6,63,3,21,False
mom[gate] big8 lb=63 top5 @ 5d,3835,24.1,40.82,-69.66,0.73,0.35,26.7,big8,63,5,5,True
mom[raw ] core6 lb=21 top5 @ 3d,3835,23.95,42.46,-73.82,0.72,0.32,26.3,core6,21,5,3,False
mom[raw ] big8 lb=252 top1 @ 5d,3835,23.93,57.71,-75.85,0.66,0.32,26.2,big8,252,1,5,False
mom[raw ] core6 lb=21 top2 @ 5d,3835,23.8,46.7,-83.9,0.69,0.28,25.8,core6,21,2,5,False
mom[raw ] all17 lb=252 top3 @ 5d,3835,23.69,47.1,-58.92,0.69,0.4,25.4,all17,252,3,5,False
mom[raw ] big8 lb=252 top3 @ 21d,3835,23.68,48.87,-66.64,0.68,0.36,25.4,big8,252,3,21,False
mom[raw ] all17 lb=252 top5 @ 5d,3835,23.6,39.9,-49.42,0.73,0.48,25.1,all17,252,5,5,False
mom[gate] core6 lb=63 top1 @ 5d,3835,23.59,58.85,-69.28,0.66,0.34,25.1,core6,63,1,5,True
mom[gate] big8 lb=63 top3 @ 5d,3835,23.58,44.15,-72.5,0.7,0.33,25.1,big8,63,3,5,True
mom[raw ] all17 lb=252 top4 @ 3d,3835,23.56,42.88,-57.24,0.71,0.41,25.0,all17,252,4,3,False
mom[gate] all17 lb=252 top3 @ 3d,3835,23.5,47.82,-64.85,0.68,0.36,24.8,all17,252,3,3,True
mom[gate] core6 lb=63 top5 @ 10d,3835,23.46,40.12,-56.52,0.73,0.42,24.7,core6,63,5,10,True
mom[gate] big8 lb=126 top2 @ 3d,3835,23.45,48.76,-68.04,0.68,0.34,24.7,big8,126,2,3,True
mom[gate] core6 lb=63 top4 @ 10d,3835,23.39,42.38,-59.13,0.71,0.4,24.5,core6,63,4,10,True
mom[gate] all17 lb=252 top2 @ 3d,3835,23.13,53.37,-74.84,0.66,0.31,23.7,all17,252,2,3,True
mom[gate] all17 lb=252 top4 @ 5d,3835,23.09,44.11,-57.46,0.69,0.4,23.6,all17,252,4,5,True
mom[gate] big8 lb=63 top5 @ 10d,3835,23.05,41.5,-56.46,0.71,0.41,23.5,big8,63,5,10,True
mom[raw ] big8 lb=21 top5 @ 3d,3835,22.99,42.96,-76.2,0.7,0.3,23.3,big8,21,5,3,False
