label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] all17 lb=252 top1 @ 10d,3835,-5.81,68.49,-96.64,0.26,-0.06,0.4,all17,252,1,10,False
mom[raw ] big8 lb=21 top1 @ 3d,3835,-5.94,56.85,-89.37,0.18,-0.07,0.4,big8,21,1,3,False
mom[gate] all17 lb=252 top1 @ 10d,3835,-6.55,68.43,-96.94,0.25,-0.07,0.4,all17,252,1,10,True
mom[raw ] big8 lb=21 top1 @ 5d,3835,-6.7,55.98,-85.49,0.16,-0.08,0.3,big8,21,1,5,False
mom[gate] core6 lb=21 top1 @ 10d,3835,-6.91,57.8,-94.64,0.17,-0.07,0.3,core6,21,1,10,True
mom[raw ] all17 lb=126 top1 @ 5d,3835,-7.43,71.71,-95.43,0.26,-0.08,0.3,all17,126,1,5,False
mom[raw ] all17 lb=126 top1 @ 10d,3835,-7.57,73.36,-91.26,0.27,-0.08,0.3,all17,126,1,10,False
mom[raw ] all17 lb=21 top4 @ 21d,3835,-7.93,44.57,-92.26,0.04,-0.09,0.3,all17,21,4,21,False
mom[gate] all17 lb=63 top2 @ 10d,3835,-7.97,56.98,-91.54,0.14,-0.09,0.3,all17,63,2,10,True
mom[gate] all17 lb=126 top1 @ 5d,3835,-8.17,71.31,-95.34,0.24,-0.09,0.3,all17,126,1,5,True
mom[gate] all17 lb=126 top1 @ 10d,3835,-8.17,73.05,-91.78,0.26,-0.09,0.3,all17,126,1,10,True
mom[raw ] all17 lb=63 top2 @ 10d,3835,-9.21,56.87,-93.11,0.12,-0.1,0.2,all17,63,2,10,False
mom[gate] big8 lb=21 top1 @ 5d,3835,-9.76,55.13,-87.17,0.09,-0.11,0.2,big8,21,1,5,True
mom[raw ] core6 lb=21 top1 @ 21d,3835,-10.96,59.67,-95.53,0.11,-0.11,0.2,core6,21,1,21,False
mom[gate] all17 lb=21 top5 @ 21d,3835,-11.25,44.17,-94.37,-0.05,-0.12,0.2,all17,21,5,21,True
mom[gate] big8 lb=21 top2 @ 21d,3835,-11.36,50.34,-94.96,0.01,-0.12,0.2,big8,21,2,21,True
mom[raw ] all17 lb=21 top3 @ 21d,3835,-12.04,49.05,-96.12,-0.01,-0.13,0.1,all17,21,3,21,False
mom[gate] all17 lb=21 top4 @ 21d,3835,-12.57,46.28,-96.62,-0.06,-0.13,0.1,all17,21,4,21,True
mom[raw ] big8 lb=21 top1 @ 10d,3835,-12.68,57.81,-92.34,0.06,-0.14,0.1,big8,21,1,10,False
mom[gate] big8 lb=21 top1 @ 10d,3835,-12.94,56.72,-90.69,0.04,-0.14,0.1,big8,21,1,10,True
mom[gate] all17 lb=21 top3 @ 21d,3835,-14.09,49.84,-97.37,-0.05,-0.14,0.1,all17,21,3,21,True
mom[raw ] all17 lb=21 top2 @ 21d,3835,-14.28,56.02,-97.57,0.01,-0.15,0.1,all17,21,2,21,False
mom[gate] all17 lb=21 top1 @ 5d,3835,-14.78,72.26,-99.11,0.15,-0.15,0.1,all17,21,1,5,True
mom[raw ] all17 lb=21 top1 @ 10d,3835,-14.87,73.17,-99.2,0.15,-0.15,0.1,all17,21,1,10,False
mom[raw ] all17 lb=21 top1 @ 5d,3835,-15.15,72.53,-99.14,0.14,-0.15,0.1,all17,21,1,5,False
mom[raw ] all17 lb=63 top1 @ 3d,3835,-15.34,72.74,-97.68,0.14,-0.16,0.1,all17,63,1,3,False
mom[raw ] all17 lb=63 top1 @ 5d,3835,-15.6,72.78,-97.34,0.14,-0.16,0.1,all17,63,1,5,False
mom[gate] all17 lb=21 top2 @ 21d,3835,-15.7,56.27,-98.12,-0.02,-0.16,0.1,all17,21,2,21,True
mom[gate] all17 lb=63 top1 @ 3d,3835,-16.13,72.48,-97.99,0.13,-0.16,0.1,all17,63,1,3,True
mom[gate] all17 lb=63 top1 @ 5d,3835,-16.79,72.52,-97.86,0.12,-0.17,0.1,all17,63,1,5,True
mom[gate] core6 lb=21 top1 @ 21d,3835,-16.79,58.5,-98.27,-0.02,-0.17,0.1,core6,21,1,21,True
mom[gate] all17 lb=21 top1 @ 10d,3835,-18.22,72.79,-99.39,0.09,-0.18,0.0,all17,21,1,10,True
mom[gate] all17 lb=63 top1 @ 21d,3835,-22.65,72.91,-99.12,0.02,-0.23,0.0,all17,63,1,21,True
mom[raw ] big8 lb=21 top1 @ 21d,3835,-23.13,59.03,-99.4,-0.15,-0.23,0.0,big8,21,1,21,False
mom[gate] all17 lb=63 top1 @ 10d,3835,-23.38,74.19,-99.44,0.02,-0.24,0.0,all17,63,1,10,True
mom[raw ] all17 lb=63 top1 @ 21d,3835,-23.39,72.97,-99.24,0.0,-0.24,0.0,all17,63,1,21,False
mom[raw ] all17 lb=63 top1 @ 10d,3835,-23.78,74.23,-99.48,0.01,-0.24,0.0,all17,63,1,10,False
mom[gate] big8 lb=21 top1 @ 21d,3835,-24.43,57.88,-99.54,-0.19,-0.25,0.0,big8,21,1,21,True
mom[raw ] all17 lb=21 top1 @ 21d,3835,-28.42,74.29,-99.91,-0.07,-0.28,0.0,all17,21,1,21,False
mom[gate] all17 lb=21 top1 @ 21d,3835,-29.2,74.11,-99.93,-0.09,-0.29,0.0,all17,21,1,21,True
