lb_l,lb_s,tn,ov,dd_f,rb,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap
120,20,4,2.5,0.25,5,0.261,6.33,-41.8,-0.101,-2.97,-57.1,0.048,1.29,27.1,-67.8,0.7,0.362
120,20,4,2.5,0.25,10,0.243,6.23,-37.7,0.566,18.16,-35.3,0.433,12.69,29.3,-41.1,2.6,0.32299999999999995
120,20,4,2.5,0.3,5,0.25,6.86,-48.5,-0.187,-6.21,-66.1,-0.007,-0.22,30.6,-76.1,0.5,0.437
120,20,4,2.5,0.3,10,0.422,12.55,-45.0,0.525,20.56,-44.5,0.48,16.89,35.2,-48.2,3.3,0.10300000000000004
120,20,4,2.5,0.35,5,0.312,9.76,-54.1,-0.032,-1.17,-67.1,0.111,3.84,34.5,-79.6,0.7,0.344
120,20,4,2.5,0.35,10,0.489,16.2,-51.6,0.572,24.56,-51.7,0.535,20.73,38.8,-54.9,4.4,0.08299999999999996
120,20,4,3.0,0.2,5,0.098,2.12,-42.1,-0.111,-2.97,-56.1,-0.026,-0.64,24.6,-62.7,0.6,0.20900000000000002
120,20,4,3.0,0.2,10,0.475,11.12,-41.1,0.092,2.29,-46.8,0.262,6.33,24.2,-52.7,1.5,0.383
120,20,4,3.0,0.25,5,0.194,4.89,-47.6,-0.104,-3.38,-59.8,0.014,0.4,29.5,-71.5,0.6,0.298
120,20,4,3.0,0.25,10,0.318,8.53,-44.4,0.352,11.46,-37.4,0.337,10.12,30.0,-47.6,1.9,0.033999999999999975
120,20,4,3.0,0.3,5,0.251,7.31,-49.0,-0.114,-3.98,-66.6,0.037,1.19,32.4,-76.7,0.6,0.365
120,20,4,3.0,0.3,10,0.227,7.0,-44.7,0.543,20.86,-44.8,0.413,14.51,35.2,-48.3,2.6,0.31600000000000006
120,20,4,3.0,0.35,5,0.252,8.19,-55.2,-0.185,-6.85,-73.6,0.001,0.04,35.0,-83.0,0.5,0.437
120,20,4,3.0,0.35,10,0.402,14.11,-51.6,0.485,22.38,-52.0,0.449,18.6,41.5,-55.0,3.0,0.08299999999999996
120,40,2,1.5,0.2,5,1.017,22.11,-31.6,-0.05,-1.07,-40.5,0.442,9.55,21.6,-57.7,2.3,1.067
120,40,2,1.5,0.2,10,1.166,28.53,-32.7,-0.131,-2.87,-48.4,0.497,11.51,23.2,-61.1,2.8,1.297
120,40,2,1.5,0.25,5,0.89,22.09,-40.4,-0.123,-2.97,-48.6,0.347,8.51,24.5,-65.5,1.9,1.013
120,40,2,1.5,0.25,10,1.088,29.31,-40.7,0.06,1.66,-45.9,0.523,14.32,27.4,-57.3,3.4,1.028
120,40,2,1.5,0.3,5,0.794,22.01,-47.9,0.098,2.93,-50.0,0.404,11.67,28.9,-59.0,2.4,0.6960000000000001
120,40,2,1.5,0.3,10,1.004,29.23,-47.9,0.201,6.6,-50.6,0.545,16.96,31.2,-53.3,4.0,0.8029999999999999
120,40,2,1.5,0.35,5,0.734,22.32,-54.1,0.178,6.1,-50.0,0.415,13.53,32.6,-61.1,2.6,0.556
120,40,2,1.5,0.35,10,0.938,29.32,-53.6,0.243,8.84,-55.7,0.534,18.22,34.1,-59.1,4.1,0.695
120,40,2,2.0,0.2,5,1.128,27.64,-32.3,-0.034,-0.82,-44.0,0.506,12.22,24.1,-60.5,2.9,1.162
120,40,2,2.0,0.2,10,1.297,35.4,-32.3,-0.249,-6.28,-53.5,0.488,12.81,26.2,-66.6,2.9,1.5459999999999998
120,40,2,2.0,0.25,5,1.04,29.13,-38.3,-0.039,-1.09,-50.2,0.458,12.75,27.9,-67.7,2.8,1.079
120,40,2,2.0,0.25,10,1.195,37.28,-40.0,-0.134,-3.87,-58.9,0.5,14.98,29.9,-71.6,3.3,1.3290000000000002
120,40,2,2.0,0.3,5,0.938,29.31,-46.9,-0.043,-1.31,-53.1,0.414,12.72,30.7,-71.3,2.5,0.981
120,40,2,2.0,0.3,10,1.099,37.94,-47.6,-0.081,-2.6,-60.7,0.481,15.97,33.2,-74.4,3.3,1.18
120,40,2,2.0,0.35,5,0.851,29.23,-54.3,0.001,0.03,-57.6,0.387,13.41,34.7,-74.7,2.3,0.85
120,40,2,2.0,0.35,10,1.038,38.22,-54.5,0.117,4.59,-59.9,0.524,19.99,38.1,-69.9,4.2,0.921
120,40,2,2.5,0.2,5,1.102,36.45,-33.4,0.112,2.85,-47.4,0.624,18.24,29.2,-47.4,4.9,0.9900000000000001
120,40,2,2.5,0.2,10,1.204,36.85,-34.3,-0.482,-11.75,-64.2,0.383,10.51,27.4,-74.4,2.1,1.686
120,40,2,2.5,0.25,5,1.119,34.47,-38.8,-0.031,-0.93,-51.8,0.503,15.29,30.4,-69.4,3.4,1.15
120,40,2,2.5,0.25,10,1.288,43.99,-39.6,-0.239,-7.58,-62.7,0.488,16.04,32.9,-75.7,3.3,1.5270000000000001
120,40,2,2.5,0.3,5,1.05,36.1,-44.8,-0.035,-1.18,-58.6,0.465,15.9,34.2,-75.5,3.1,1.085
120,40,2,2.5,0.3,10,1.207,45.84,-47.1,-0.149,-5.25,-67.5,0.496,18.15,36.6,-79.6,3.7,1.356
120,40,2,2.5,0.35,5,0.965,36.46,-53.2,-0.034,-1.23,-61.6,0.432,16.03,37.1,-78.7,2.8,0.999
120,40,2,2.5,0.35,10,1.103,46.16,-54.2,-0.088,-3.35,-68.8,0.486,19.33,39.8,-81.8,3.6,1.191
120,40,2,3.0,0.2,5,1.112,42.73,-40.1,-0.048,-1.12,-57.2,0.61,18.97,31.1,-57.2,5.0,1.1600000000000001
120,40,2,3.0,0.2,10,1.161,45.34,-40.1,-0.284,-6.59,-66.1,0.546,17.2,31.5,-66.6,4.0,1.445
120,40,2,3.0,0.25,5,1.069,42.64,-41.3,0.164,5.35,-52.7,0.621,22.43,36.1,-53.4,6.1,0.9049999999999999
120,40,2,3.0,0.25,10,1.228,46.36,-41.3,-0.411,-13.05,-69.9,0.408,14.16,34.7,-81.6,2.5,1.639
120,40,2,3.0,0.3,5,1.113,41.45,-44.8,-0.034,-1.22,-59.2,0.5,18.32,36.7,-76.7,3.8,1.147
120,40,2,3.0,0.3,10,1.278,52.41,-46.6,-0.233,-8.89,-70.5,0.485,19.19,39.5,-82.8,3.6,1.5110000000000001
120,40,2,3.0,0.35,5,1.054,43.02,-51.1,-0.03,-1.21,-65.8,0.471,19.05,40.5,-81.5,3.4,1.084
120,40,2,3.0,0.35,10,1.21,54.16,-53.8,-0.16,-6.65,-74.3,0.491,21.2,43.2,-85.5,3.8,1.3699999999999999
120,40,3,1.5,0.2,5,0.577,11.81,-33.6,0.237,5.03,-41.3,0.389,8.14,20.9,-52.6,2.0,0.33999999999999997
120,40,3,1.5,0.2,10,0.816,18.64,-31.9,0.041,0.89,-38.3,0.406,9.02,22.2,-49.2,2.1,0.7749999999999999
120,40,3,1.5,0.25,5,0.612,14.63,-41.0,0.3,8.17,-42.0,0.432,11.13,25.8,-45.4,2.4,0.312
120,40,3,1.5,0.25,10,0.863,22.38,-39.5,0.19,5.05,-47.2,0.494,12.99,26.3,-47.2,3.0,0.673
120,40,3,1.5,0.3,5,0.629,16.55,-46.8,0.352,10.74,-45.7,0.468,13.4,28.7,-51.2,2.9,0.277
120,40,3,1.5,0.3,10,0.868,24.56,-45.5,0.244,7.43,-48.6,0.518,15.28,29.5,-52.0,3.5,0.624
120,40,3,1.5,0.35,5,0.641,18.03,-50.9,0.319,10.34,-48.7,0.454,13.86,30.5,-56.3,2.9,0.322
120,40,3,1.5,0.35,10,0.887,26.53,-49.3,0.196,6.25,-52.5,0.501,15.54,31.0,-54.7,3.4,0.6910000000000001
120,40,3,2.0,0.2,5,0.703,16.33,-31.3,0.217,5.63,-48.5,0.426,10.53,24.7,-57.9,2.3,0.486
120,40,3,2.0,0.2,10,0.81,20.14,-30.8,0.015,0.38,-52.8,0.38,9.43,24.8,-61.0,2.1,0.795
120,40,3,2.0,0.25,5,0.562,14.58,-40.7,0.235,6.49,-51.5,0.379,10.19,26.9,-63.1,2.1,0.32700000000000007
120,40,3,2.0,0.25,10,0.781,22.83,-39.0,-0.023,-0.62,-54.0,0.366,10.12,27.7,-65.1,2.0,0.804
120,40,3,2.0,0.3,5,0.595,17.81,-48.1,0.168,5.57,-49.9,0.352,11.18,31.7,-63.6,2.0,0.42699999999999994
120,40,3,2.0,0.3,10,0.836,27.4,-46.4,0.103,3.31,-58.5,0.441,14.35,32.5,-62.0,2.8,0.733
120,40,3,2.0,0.35,5,0.609,20.08,-54.1,0.321,12.01,-54.0,0.443,15.71,35.5,-58.4,2.9,0.288
120,40,3,2.0,0.35,10,0.853,30.29,-52.6,0.218,8.1,-58.9,0.502,18.26,36.4,-59.4,3.8,0.635
120,40,3,2.5,0.2,5,0.695,17.13,-27.2,0.076,2.16,-53.3,0.338,9.02,26.7,-62.9,1.8,0.619
120,40,3,2.5,0.2,10,0.904,23.06,-30.0,-0.098,-2.56,-54.8,0.355,9.17,25.9,-62.7,1.9,1.002
120,40,3,2.5,0.25,5,0.684,19.9,-38.6,0.217,7.02,-57.8,0.418,12.92,30.9,-67.6,2.5,0.4670000000000001
120,40,3,2.5,0.25,10,0.788,24.34,-38.1,0.015,0.47,-61.6,0.37,11.4,30.8,-70.2,2.1,0.773
120,40,3,2.5,0.3,5,0.555,17.51,-47.5,0.23,7.84,-60.5,0.373,12.27,32.9,-72.1,2.1,0.32500000000000007
120,40,3,2.5,0.3,10,0.754,26.83,-45.9,0.02,0.68,-65.1,0.368,12.66,34.4,-75.6,2.1,0.734
120,40,3,2.5,0.35,5,0.588,21.09,-54.6,0.182,6.55,-63.1,0.367,13.21,35.9,-76.8,2.1,0.40599999999999997
120,40,3,2.5,0.35,10,0.815,32.09,-52.9,0.029,1.12,-66.7,0.396,15.31,38.7,-75.6,2.4,0.7859999999999999
120,40,3,3.0,0.2,5,0.486,12.83,-41.5,0.213,6.04,-49.3,0.333,9.15,27.5,-53.8,1.8,0.273
120,40,3,3.0,0.2,10,0.939,24.98,-35.9,-0.011,-0.29,-56.2,0.424,11.29,26.6,-56.2,2.4,0.95
120,40,3,3.0,0.25,5,0.715,21.91,-34.5,0.124,4.43,-63.1,0.372,12.43,33.4,-72.1,2.1,0.591
120,40,3,3.0,0.25,10,0.913,29.16,-37.2,-0.07,-2.27,-64.4,0.375,12.12,32.3,-72.1,2.2,0.9830000000000001
120,40,3,3.0,0.3,5,0.666,23.37,-45.6,0.212,8.2,-66.1,0.408,15.15,37.1,-75.7,2.5,0.45400000000000007
120,40,3,3.0,0.3,10,0.768,28.41,-45.1,0.015,0.57,-69.1,0.361,13.32,36.9,-77.7,2.1,0.753
120,40,3,3.0,0.35,5,0.552,20.53,-53.9,0.223,9.02,-68.4,0.367,14.3,39.0,-79.5,2.0,0.32900000000000007
120,40,3,3.0,0.35,10,0.734,30.82,-52.5,0.011,0.45,-72.4,0.353,14.36,40.7,-82.4,1.9,0.723
120,40,4,1.5,0.2,5,0.388,7.28,-32.4,0.08,1.65,-37.2,0.214,4.23,19.8,-49.6,1.3,0.308
120,40,4,1.5,0.2,10,0.926,20.01,-32.2,0.31,7.03,-35.7,0.585,12.97,22.2,-35.7,3.3,0.6160000000000001
120,40,4,1.5,0.25,5,0.481,10.48,-38.7,0.126,3.23,-40.0,0.273,6.55,23.9,-46.8,1.5,0.355
120,40,4,1.5,0.25,10,0.951,22.77,-39.1,0.27,6.98,-45.1,0.569,14.21,25.0,-45.1,3.6,0.6809999999999999
120,40,4,1.5,0.3,5,0.523,12.58,-43.2,0.09,2.46,-46.8,0.275,7.09,25.8,-55.3,1.5,0.43300000000000005
120,40,4,1.5,0.3,10,0.971,24.82,-43.5,0.163,4.49,-52.5,0.518,13.8,26.7,-52.5,3.2,0.8079999999999999
120,40,4,1.5,0.35,5,0.555,14.26,-46.0,0.039,1.13,-48.6,0.259,7.15,27.6,-62.3,1.5,0.516
120,40,4,1.5,0.35,10,0.987,26.46,-46.4,0.041,1.19,-56.5,0.454,12.77,28.1,-63.9,2.7,0.946
120,40,4,2.0,0.2,5,0.11,2.11,-31.6,0.158,3.84,-43.9,0.138,3.04,22.1,-52.5,1.1,0.048
120,40,4,2.0,0.2,10,0.74,17.82,-31.6,0.323,7.7,-34.5,0.515,12.34,23.9,-35.0,3.0,0.417
120,40,4,2.0,0.25,5,0.342,8.2,-39.8,0.092,2.4,-47.0,0.201,5.05,25.2,-59.9,1.2,0.25
120,40,4,2.0,0.25,10,0.896,24.94,-39.4,0.299,8.47,-45.3,0.569,16.01,28.1,-45.3,4.0,0.597
120,40,4,2.0,0.3,5,0.443,12.09,-45.9,0.029,0.92,-48.9,0.205,6.03,29.4,-64.3,1.2,0.414
120,40,4,2.0,0.3,10,0.932,28.47,-46.2,0.243,7.94,-53.8,0.547,17.34,31.7,-53.8,4.1,0.6890000000000001
120,40,4,2.0,0.35,5,0.484,14.53,-50.9,0.099,3.43,-55.8,0.262,8.51,32.5,-63.3,1.4,0.385
120,40,4,2.0,0.35,10,0.943,30.75,-51.4,0.203,7.14,-60.6,0.527,17.95,34.0,-60.6,4.0,0.74
120,40,4,2.5,0.2,5,0.248,5.32,-39.1,0.156,4.23,-46.4,0.192,4.73,24.7,-55.7,1.2,0.092
120,40,4,2.5,0.2,10,0.464,11.25,-30.6,0.134,3.21,-44.1,0.286,6.89,24.1,-49.5,1.6,0.33
120,40,4,2.5,0.25,5,0.135,3.28,-38.8,0.147,4.47,-53.1,0.142,3.92,27.7,-62.6,1.0,0.011999999999999983
120,40,4,2.5,0.25,10,0.737,22.28,-38.9,0.291,8.64,-45.1,0.497,14.89,29.9,-45.1,3.3,0.446
120,40,4,2.5,0.3,5,0.315,9.21,-46.7,0.092,2.94,-55.9,0.189,5.81,30.7,-69.1,1.1,0.223
120,40,4,2.5,0.3,10,0.872,29.72,-46.3,0.282,9.63,-54.2,0.552,18.83,34.1,-54.2,4.4,0.5900000000000001
120,40,4,2.5,0.35,5,0.411,13.47,-52.6,-0.022,-0.78,-61.7,0.168,5.75,34.1,-77.2,1.0,0.433
120,40,4,2.5,0.35,10,0.914,33.79,-52.7,0.234,9.08,-61.6,0.538,20.4,37.9,-61.6,4.5,0.68
120,40,4,3.0,0.2,5,0.144,3.33,-46.2,0.191,5.35,-44.6,0.171,4.42,25.9,-53.2,1.1,0.047000000000000014
120,40,4,3.0,0.2,10,0.417,10.15,-29.8,0.067,1.71,-50.0,0.223,5.57,24.9,-54.1,1.3,0.35
120,40,4,3.0,0.25,5,0.221,5.82,-43.4,0.11,3.68,-57.1,0.153,4.66,30.4,-67.3,1.0,0.111
120,40,4,3.0,0.25,10,0.362,11.0,-38.0,-0.052,-1.39,-59.8,0.151,4.29,28.3,-65.7,1.0,0.414
120,40,4,3.0,0.3,5,0.161,4.73,-45.7,0.135,4.89,-61.4,0.145,4.82,33.3,-71.4,0.9,0.025999999999999995
120,40,4,3.0,0.3,10,0.735,26.75,-45.9,0.265,9.42,-55.4,0.483,17.36,35.9,-55.4,3.5,0.47
120,40,4,3.0,0.35,5,0.308,10.61,-53.0,0.088,3.32,-63.8,0.184,6.66,36.2,-76.8,1.0,0.22
120,40,4,3.0,0.35,10,0.852,34.34,-52.8,0.268,10.74,-63.0,0.536,21.55,40.2,-63.0,4.6,0.584
180,20,2,1.5,0.2,5,0.862,21.93,-26.4,-0.005,-0.11,-46.1,0.42,9.99,23.8,-52.1,2.3,0.867
180,20,2,1.5,0.2,10,0.819,18.82,-25.7,0.412,10.55,-26.5,0.587,14.33,24.4,-40.1,3.7,0.407
180,20,2,1.5,0.25,5,0.717,21.08,-32.6,0.462,14.18,-28.0,0.576,17.34,30.1,-35.7,4.3,0.25499999999999995
180,20,2,1.5,0.25,10,0.854,23.91,-34.5,0.545,17.64,-29.1,0.674,20.51,30.4,-46.2,6.2,0.30899999999999994
180,20,2,1.5,0.3,5,0.768,24.9,-38.9,0.511,17.52,-32.6,0.625,20.9,33.5,-42.4,5.8,0.257
180,20,2,1.5,0.3,10,0.836,26.67,-41.7,0.599,21.85,-37.8,0.698,24.06,34.5,-54.2,8.0,0.237
