label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend150d @ 21d,3835,28.74,28.18,-33.37,1.04,0.86,46.7
100% SOXL + trend100d @ 21d,3835,28.68,68.3,-79.88,0.71,0.36,46.4
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend200d @ 21d,3835,28.55,28.55,-37.92,1.02,0.75,45.7
3sleeve 70/10/20 TQQQ/TMF/UGL + trend250d @ 5d,3835,28.39,33.77,-44.68,0.91,0.64,44.8
100% TQQQ + trend150d @ 5d,3835,28.37,46.68,-63.8,0.77,0.44,44.7
100% TQQQ + trend150d @ 10d,3835,28.24,46.47,-71.21,0.77,0.4,44.0
100% TECL + trend150d @ 21d,3835,28.14,49.18,-62.27,0.75,0.45,43.6
3sleeve 70/10/20 TQQQ/TMF/UGL + trend200d @ 21d,3835,27.91,33.88,-51.99,0.9,0.54,42.3
3sleeve 70/10/20 TQQQ/TMF/UGL + trend250d @ 21d,3835,27.9,35.07,-44.06,0.88,0.63,42.3
100% TQQQ + trend200d @ 10d,3835,27.83,47.64,-65.61,0.76,0.42,42.0
100% TQQQ + trend150d @ 3d,3835,27.76,46.21,-61.34,0.76,0.45,41.6
100% TECL + trend200d @ 3d,3835,27.75,50.01,-52.59,0.74,0.53,41.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend250d @ 10d,3835,27.49,38.19,-52.59,0.83,0.52,40.3
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend250d @ 21d,3835,27.34,32.72,-45.94,0.9,0.6,39.6
100% TQQQ + trend250d @ 3d,3835,27.22,47.88,-65.95,0.75,0.41,39.0
HFEA-Tech 60/40 TQQQ/TMF + trend150d @ 21d,3835,27.07,28.59,-43.35,0.98,0.62,38.3
100% TECL + trend250d @ 3d,3835,27.07,51.53,-61.62,0.73,0.44,38.3
HFEA-Tech 80/20 TQQQ/TMF + trend250d @ 10d,3835,26.96,37.61,-49.01,0.82,0.55,37.8
HFEA-Tech 60/40 TQQQ/TMF + trend200d @ 21d,3835,26.81,28.95,-42.13,0.97,0.64,37.1
3sleeve 80/10/10 TQQQ/TMF/UGL + trend200d @ 5d,3835,26.74,37.33,-47.78,0.82,0.56,36.8
HFEA-Tech 80/20 TQQQ/TMF + trend150d @ 10d,3835,26.71,36.24,-54.98,0.84,0.49,36.7
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend250d @ 10d,3835,26.7,32.12,-42.86,0.9,0.62,36.6
100% TQQQ + trend100d @ 21d,3835,26.65,45.3,-70.47,0.75,0.38,36.4
3sleeve 80/10/10 TQQQ/TMF/UGL + trend150d @ 10d,3835,26.63,36.77,-58.05,0.83,0.46,36.3
100% TECL + trend150d @ 5d,3835,26.56,49.47,-60.19,0.73,0.44,36.0
100% TECL + trend100d @ 21d,3835,26.44,48.73,-62.27,0.73,0.42,35.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend150d @ 5d,3835,26.3,36.91,-50.71,0.82,0.52,34.9
100% SOXL + trend150d @ 5d,3835,26.23,68.16,-84.59,0.69,0.31,34.7
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend250d @ 5d,3835,26.2,31.79,-42.33,0.89,0.62,34.5
3sleeve 80/10/10 TQQQ/TMF/UGL + trend200d @ 10d,3835,26.2,37.71,-52.59,0.81,0.5,34.5
3sleeve 50/20/30 TQQQ/TMF/UGL + trend150d @ 21d,3835,26.17,25.1,-35.09,1.05,0.75,34.4
HFEA-Tech 80/20 TQQQ/TMF + trend200d @ 5d,3835,26.15,36.75,-43.54,0.82,0.6,34.3
HFEA-Tech 80/20 TQQQ/TMF + trend150d @ 5d,3835,26.13,36.36,-46.72,0.82,0.56,34.2
HFEA-Tech 80/20 TQQQ/TMF + trend200d @ 10d,3835,26.05,37.12,-49.01,0.81,0.53,33.9
3sleeve 70/10/20 TQQQ/TMF/UGL + trend250d @ 10d,3835,26.04,33.87,-46.76,0.85,0.56,33.9
100% TQQQ + trend100d @ 5d,3835,25.94,44.65,-59.2,0.74,0.44,33.4
3sleeve 80/10/10 TQQQ/TMF/UGL + trend150d @ 3d,3835,25.8,36.6,-49.87,0.81,0.52,32.9
100% SOXL + trend150d @ 10d,3835,25.76,67.26,-82.75,0.68,0.31,32.7
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend200d @ 3d,3835,25.75,30.96,-40.37,0.9,0.64,32.7
100% TQQQ + trend200d @ 3d,3835,25.7,46.98,-62.69,0.73,0.41,32.5
HFEA-Tech 80/20 TQQQ/TMF + trend150d @ 3d,3835,25.64,36.09,-49.83,0.81,0.51,32.2
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend250d @ 21d,3835,25.64,29.37,-40.4,0.93,0.63,32.3
3sleeve 80/10/10 TQQQ/TMF/UGL + trend250d @ 3d,3835,25.49,37.86,-53.53,0.79,0.48,31.7
100% SOXL + trend100d @ 5d,3835,25.49,66.35,-80.69,0.68,0.32,31.7
100% TECL + trend150d @ 10d,3835,25.38,49.63,-64.53,0.71,0.39,31.2
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend250d @ 3d,3835,25.27,31.61,-42.22,0.87,0.6,30.8
3sleeve 70/10/20 TQQQ/TMF/UGL + trend200d @ 5d,3835,25.2,33.14,-42.94,0.85,0.59,30.6
3sleeve 70/10/20 TQQQ/TMF/UGL + trend150d @ 10d,3835,25.16,32.63,-51.67,0.85,0.49,30.4
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend250d @ 10d,3835,25.05,29.05,-38.62,0.92,0.65,30.0
100% TECL + trend200d @ 10d,3835,25.02,50.25,-65.32,0.7,0.38,29.9
3sleeve 80/10/10 TQQQ/TMF/UGL + trend100d @ 21d,3835,25.02,36.16,-59.6,0.8,0.42,29.9
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend200d @ 10d,3835,24.99,31.49,-41.42,0.87,0.6,29.8
3sleeve 70/10/20 TQQQ/TMF/UGL + trend200d @ 10d,3835,24.82,33.46,-46.76,0.83,0.53,29.2
3sleeve 70/10/20 TQQQ/TMF/UGL + trend150d @ 5d,3835,24.74,32.74,-45.3,0.84,0.55,28.9
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend250d @ 5d,3835,24.7,28.72,-37.44,0.91,0.66,28.8
HFEA-Tech 80/20 TQQQ/TMF + trend250d @ 3d,3835,24.54,37.28,-53.53,0.78,0.46,28.2
100% UPRO + trend150d @ 21d,3835,24.51,36.23,-53.07,0.79,0.46,28.1
HFEA-Tech 80/20 TQQQ/TMF + trend100d @ 21d,3835,24.49,35.83,-59.74,0.79,0.41,28.0
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend200d @ 3d,3835,24.46,28.11,-38.36,0.92,0.64,27.9
3sleeve 70/10/20 TQQQ/TMF/UGL + trend250d @ 3d,3835,24.45,33.56,-48.53,0.82,0.5,27.9
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend100d @ 21d,3835,24.36,30.91,-42.28,0.86,0.58,27.6
3sleeve 80/10/10 TQQQ/TMF/UGL + trend200d @ 3d,3835,24.33,37.18,-51.2,0.77,0.48,27.5
3sleeve 70/10/20 TQQQ/TMF/UGL + trend150d @ 3d,3835,24.3,32.48,-43.19,0.83,0.56,27.4
HFEA-Tech 60/40 TQQQ/TMF + trend250d @ 21d,3835,24.26,29.63,-40.79,0.88,0.59,27.2
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend150d @ 10d,3835,24.17,30.46,-36.95,0.86,0.65,27.0
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend200d @ 10d,3835,24.1,28.7,-38.05,0.9,0.63,26.7
3sleeve 50/20/30 TQQQ/TMF/UGL + trend200d @ 21d,3835,24.09,25.54,-34.41,0.97,0.7,26.7
3sleeve 80/10/10 TQQQ/TMF/UGL + trend100d @ 5d,3835,24.06,35.27,-45.06,0.79,0.53,26.6
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend250d @ 3d,3835,23.97,28.55,-38.81,0.9,0.62,26.3
HFEA-Tech 80/20 TQQQ/TMF + trend100d @ 5d,3835,23.94,34.79,-40.66,0.79,0.59,26.2
3sleeve 70/10/20 TQQQ/TMF/UGL + trend100d @ 21d,3835,23.9,32.2,-52.93,0.83,0.45,26.1
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend150d @ 5d,3835,23.84,30.53,-40.66,0.85,0.59,25.9
100% SOXL + trend100d @ 10d,3835,23.77,66.57,-85.75,0.66,0.28,25.7
HFEA-Tech 80/20 TQQQ/TMF + trend200d @ 3d,3835,23.75,36.62,-50.92,0.77,0.47,25.6
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend150d @ 3d,3835,23.74,30.31,-43.33,0.86,0.55,25.6
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend200d @ 5d,3835,23.74,31.2,-43.46,0.84,0.55,25.6
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend150d @ 3d,3835,23.7,27.54,-38.56,0.91,0.61,25.5
3sleeve 70/10/20 TQQQ/TMF/UGL + trend200d @ 3d,3835,23.31,32.99,-44.59,0.8,0.52,24.3
HFEA-Tech 60/40 TQQQ/TMF + trend150d @ 10d,3835,23.19,27.99,-42.28,0.89,0.55,23.9
100% UPRO + trend200d @ 21d,3835,23.14,37.35,-61.54,0.75,0.38,23.7
HFEA-Tech 60/40 TQQQ/TMF + trend250d @ 5d,3835,23.13,28.81,-40.07,0.87,0.58,23.7
3sleeve 50/20/30 TQQQ/TMF/UGL + trend250d @ 21d,3835,23.13,26.14,-33.78,0.93,0.68,23.7
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend100d @ 21d,3835,23.12,28.33,-39.6,0.88,0.58,23.7
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend150d @ 10d,3835,23.02,27.64,-33.72,0.89,0.68,23.4
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend200d @ 5d,3835,23.02,28.31,-39.4,0.87,0.58,23.4
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend150d @ 21d,3835,22.92,21.73,-26.84,1.06,0.85,23.1
100% TECL + trend200d @ 5d,3835,22.83,50.37,-68.8,0.66,0.33,22.9
3sleeve 50/20/30 TQQQ/TMF/UGL + trend250d @ 5d,3835,22.75,25.39,-35.75,0.94,0.64,22.6
3sleeve 70/10/20 TQQQ/TMF/UGL + trend100d @ 5d,3835,22.61,31.27,-40.36,0.81,0.56,22.2
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend150d @ 5d,3835,22.43,27.73,-36.58,0.87,0.61,21.7
HFEA-Tech 60/40 TQQQ/TMF + trend250d @ 10d,3835,22.26,28.84,-40.88,0.84,0.54,21.3
100% TECL + trend100d @ 10d,3835,22.23,47.23,-64.85,0.66,0.34,21.2
HFEA-Tech 60/40 TQQQ/TMF + trend200d @ 10d,3835,22.21,28.54,-36.35,0.85,0.61,21.2
100% TQQQ + trend100d @ 10d,3835,22.0,44.85,-66.89,0.67,0.33,20.6
HFEA-Tech 60/40 TQQQ/TMF + trend150d @ 5d,3835,21.91,28.04,-35.53,0.85,0.62,20.4
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend200d @ 21d,3835,21.89,21.95,-33.27,1.01,0.66,20.3
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend100d @ 5d,3835,21.89,29.11,-36.58,0.83,0.6,20.3
3sleeve 50/20/30 TQQQ/TMF/UGL + trend250d @ 10d,3835,21.64,25.45,-37.23,0.9,0.58,19.7
HFEA-Tech 60/40 TQQQ/TMF + trend150d @ 3d,3835,21.58,27.98,-39.23,0.84,0.55,19.6
3sleeve 50/20/30 TQQQ/TMF/UGL + trend150d @ 10d,3835,21.37,24.66,-33.16,0.91,0.64,19.1
100% UPRO + trend200d @ 3d,3835,21.28,36.04,-52.68,0.72,0.4,18.8
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend100d @ 5d,3835,21.21,26.62,-34.11,0.86,0.62,18.7
HFEA-Tech 60/40 TQQQ/TMF + trend200d @ 5d,3835,21.18,28.3,-34.38,0.82,0.62,18.6
100% TECL + trend100d @ 5d,3835,21.13,46.98,-67.49,0.65,0.31,18.5
100% UPRO + trend200d @ 10d,3835,20.98,37.1,-49.74,0.7,0.42,18.1
3sleeve 50/20/30 TQQQ/TMF/UGL + trend200d @ 10d,3835,20.93,25.24,-29.12,0.88,0.72,18.0
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend100d @ 10d,3835,20.75,29.81,-39.88,0.78,0.52,17.6
3sleeve 80/10/10 TQQQ/TMF/UGL + trend100d @ 10d,3835,20.7,35.54,-52.99,0.71,0.39,17.5
3sleeve 50/20/30 TQQQ/TMF/UGL + trend200d @ 5d,3835,20.62,25.03,-29.79,0.87,0.69,17.3
HFEA-Tech 60/40 TQQQ/TMF + trend100d @ 21d,3835,20.56,28.41,-48.38,0.8,0.43,17.2
3sleeve 50/20/30 TQQQ/TMF/UGL + trend150d @ 5d,3835,20.51,24.69,-28.84,0.88,0.71,17.1
100% TQQQ + trend100d @ 3d,3835,20.5,43.56,-55.55,0.65,0.37,17.1
3sleeve 50/20/30 TQQQ/TMF/UGL + trend250d @ 3d,3835,20.44,25.22,-38.18,0.86,0.54,17.0
100% UPRO + trend150d @ 3d,3835,20.3,35.61,-50.23,0.7,0.4,16.6
3sleeve 50/20/30 TQQQ/TMF/UGL + trend100d @ 21d,3835,20.3,24.79,-37.75,0.87,0.54,16.7
HFEA-Tech 80/20 TQQQ/TMF + trend100d @ 10d,3835,20.29,35.04,-52.39,0.7,0.39,16.6
3sleeve 50/20/30 TQQQ/TMF/UGL + trend150d @ 3d,3835,20.24,24.59,-32.97,0.87,0.61,16.5
100% UPRO + trend50d @ 5d,3835,20.23,31.84,-45.48,0.74,0.44,16.5
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend150d @ 21d,3835,20.19,18.72,-23.32,1.08,0.87,16.4
HFEA-Tech 60/40 TQQQ/TMF + trend100d @ 5d,3835,20.1,27.02,-32.29,0.81,0.62,16.2
HFEA-Tech 60/40 TQQQ/TMF + trend250d @ 3d,3835,19.87,28.59,-44.5,0.78,0.45,15.8
HFEA-Tech 60/40 TQQQ/TMF + trend200d @ 3d,3835,19.82,28.22,-41.68,0.78,0.48,15.7
100% UPRO + trend250d @ 10d,3835,19.8,38.8,-50.46,0.66,0.39,15.6
100% UPRO + trend250d @ 21d,3835,19.76,38.89,-63.76,0.66,0.31,15.5
3sleeve 50/20/30 TQQQ/TMF/UGL + trend200d @ 3d,3835,19.74,24.91,-34.86,0.85,0.57,15.5
3sleeve 70/10/20 TQQQ/TMF/UGL + trend100d @ 10d,3835,19.69,31.57,-47.94,0.73,0.41,15.4
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend100d @ 10d,3835,19.66,27.33,-36.07,0.79,0.55,15.4
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend250d @ 21d,3835,19.47,22.39,-36.28,0.91,0.54,15.0
100% TECL + trend150d @ 3d,3835,19.44,49.33,-66.4,0.61,0.29,14.9
100% UPRO + trend50d @ 10d,3835,19.36,33.71,-60.53,0.7,0.32,14.8
3sleeve 80/10/10 TQQQ/TMF/UGL + trend100d @ 3d,3835,19.25,34.57,-45.16,0.68,0.43,14.6
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend200d @ 21d,3835,18.95,18.93,-27.26,1.01,0.7,14.0
HFEA-Tech 80/20 TQQQ/TMF + trend100d @ 3d,3835,18.9,34.15,-45.06,0.68,0.42,13.9
3sleeve 50/20/30 TQQQ/TMF/UGL + trend100d @ 5d,3835,18.75,23.66,-29.23,0.85,0.64,13.7
100% SOXL + trend100d @ 3d,3835,18.74,66.36,-88.35,0.6,0.21,13.6
100% UPRO + trend100d @ 21d,3835,18.73,36.83,-54.08,0.65,0.35,13.6
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend200d @ 10d,3835,18.72,21.82,-29.37,0.9,0.64,13.6
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend250d @ 10d,3835,18.64,22.03,-33.66,0.89,0.55,13.5
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend150d @ 10d,3835,18.44,21.36,-30.06,0.9,0.61,13.1
3sleeve 70/10/20 TQQQ/TMF/UGL + trend100d @ 3d,3835,18.28,30.73,-40.03,0.7,0.46,12.9
100% UPRO + trend150d @ 5d,3835,18.28,36.0,-50.61,0.65,0.36,12.9
100% UPRO + trend100d @ 10d,3835,18.23,35.86,-59.56,0.65,0.31,12.8
100% UPRO + trend100d @ 5d,3835,18.21,33.99,-49.96,0.66,0.36,12.8
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend150d @ 3d,3835,17.91,21.17,-32.48,0.88,0.55,12.3
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend200d @ 3d,3835,17.88,21.45,-32.92,0.87,0.54,12.2
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend250d @ 5d,3835,17.86,21.98,-32.89,0.86,0.54,12.2
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend100d @ 21d,3835,17.83,21.93,-36.15,0.86,0.49,12.1
100% UPRO + trend150d @ 10d,3835,17.78,36.54,-63.3,0.63,0.28,12.1
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend150d @ 5d,3835,17.51,21.25,-29.75,0.87,0.59,11.7
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend250d @ 21d,3835,17.46,19.38,-30.46,0.93,0.57,11.6
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend100d @ 3d,3835,17.45,28.97,-41.42,0.7,0.42,11.6
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend100d @ 3d,3835,17.38,26.53,-36.0,0.74,0.48,11.5
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend50d @ 5d,3835,16.96,27.41,-40.97,0.71,0.41,10.9
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend250d @ 3d,3835,16.94,21.77,-35.12,0.83,0.48,10.8
HFEA-Tech 60/40 TQQQ/TMF + trend100d @ 10d,3835,16.8,27.24,-47.91,0.71,0.35,10.6
100% UPRO + trend250d @ 5d,3835,16.77,38.35,-57.48,0.6,0.29,10.6
100% TECL + trend50d @ 10d,3835,16.76,44.3,-67.0,0.57,0.25,10.6
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend200d @ 5d,3835,16.75,21.67,-32.63,0.82,0.51,10.6
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend250d @ 10d,3835,16.65,18.96,-29.37,0.91,0.57,10.4
100% TECL + trend50d @ 5d,3835,16.57,43.23,-67.06,0.57,0.25,10.3
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend200d @ 10d,3835,16.49,18.8,-24.74,0.91,0.67,10.2
3sleeve 50/20/30 TQQQ/TMF/UGL + trend100d @ 10d,3835,16.42,24.02,-37.16,0.75,0.44,10.1
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend250d @ 5d,3835,16.41,18.95,-28.48,0.9,0.58,10.1
100% UPRO + trend250d @ 3d,3835,16.39,37.87,-55.63,0.59,0.29,10.1
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend100d @ 5d,3835,16.36,20.37,-30.89,0.85,0.53,10.0
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend50d @ 5d,3835,16.36,25.29,-34.46,0.73,0.47,10.0
HFEA-Tech 80/20 TQQQ/TMF + trend50d @ 10d,3835,16.35,33.84,-59.27,0.62,0.28,10.0
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend50d @ 10d,3835,16.35,28.17,-48.04,0.68,0.34,10.0
100% TQQQ + trend50d @ 5d,3835,16.33,41.05,-69.53,0.58,0.23,10.0
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend150d @ 10d,3835,16.23,18.39,-25.18,0.91,0.64,9.9
100% UPRO + trend200d @ 5d,3835,16.18,37.03,-59.15,0.59,0.27,9.8
3sleeve 80/10/10 TQQQ/TMF/UGL + trend50d @ 10d,3835,16.04,34.19,-62.79,0.61,0.26,9.6
100% TECL + trend50d @ 21d,3835,15.9,45.59,-62.73,0.55,0.25,9.4
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend100d @ 21d,3835,15.87,18.75,-30.14,0.88,0.53,9.4
100% TQQQ + trend50d @ 10d,3835,15.8,43.09,-75.48,0.56,0.21,9.3
HFEA-Tech 80/20 TQQQ/TMF + trend50d @ 5d,3835,15.76,32.52,-55.02,0.61,0.29,9.3
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend200d @ 3d,3835,15.74,18.48,-27.93,0.88,0.56,9.2
100% SOXL + trend50d @ 3d,3835,15.73,62.37,-81.03,0.55,0.19,9.2
3sleeve 80/10/10 TQQQ/TMF/UGL + trend50d @ 5d,3835,15.72,32.7,-58.35,0.61,0.27,9.2
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend150d @ 3d,3835,15.64,18.22,-27.28,0.89,0.57,9.1
HFEA-Tech 60/40 TQQQ/TMF + trend100d @ 3d,3835,15.61,26.85,-39.01,0.68,0.4,9.1
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend50d @ 10d,3835,15.59,25.92,-45.35,0.69,0.34,9.1
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend150d @ 5d,3835,15.52,18.3,-24.76,0.88,0.63,9.0
3sleeve 70/10/20 TQQQ/TMF/UGL + trend50d @ 10d,3835,15.48,30.37,-56.53,0.63,0.27,8.9
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend250d @ 3d,3835,15.38,18.76,-30.36,0.86,0.51,8.8
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend200d @ 5d,3835,15.27,18.66,-27.0,0.86,0.57,8.7
HFEA-Tech 60/40 TQQQ/TMF + trend50d @ 10d,3835,15.23,26.75,-46.51,0.66,0.33,8.7
3sleeve 50/20/30 TQQQ/TMF/UGL + trend100d @ 3d,3835,15.2,23.51,-33.66,0.72,0.45,8.6
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend50d @ 3d,3835,14.98,27.18,-43.1,0.65,0.35,8.4
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend100d @ 10d,3835,14.97,21.02,-34.93,0.77,0.43,8.4
3sleeve 70/10/20 TQQQ/TMF/UGL + trend50d @ 5d,3835,14.93,29.06,-53.47,0.63,0.28,8.3
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL + trend50d @ 21d,3835,14.89,28.9,-53.24,0.63,0.28,8.3
100% UPRO + trend100d @ 3d,3835,14.78,33.72,-55.25,0.58,0.27,8.1
100% SOXL + trend50d @ 5d,3835,14.67,62.64,-75.35,0.53,0.19,8.0
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend50d @ 3d,3835,14.67,25.03,-38.8,0.67,0.38,8.0
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend50d @ 10d,3835,14.62,20.17,-35.69,0.78,0.41,8.0
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend100d @ 5d,3835,14.42,17.54,-26.03,0.86,0.55,7.8
EW5 UPRO/TQQQ/SOXL/TMF/UGL + trend50d @ 21d,3835,13.98,26.62,-54.93,0.63,0.25,7.3
3sleeve 50/20/30 TQQQ/TMF/UGL + trend50d @ 10d,3835,13.91,23.24,-39.97,0.68,0.35,7.3
100% TECL + trend100d @ 3d,3835,13.86,46.64,-65.12,0.51,0.21,7.2
HFEA-Tech 60/40 TQQQ/TMF + trend50d @ 5d,3835,13.69,26.18,-41.19,0.62,0.33,7.0
100% UPRO + trend50d @ 21d,3835,13.51,34.66,-65.12,0.54,0.21,6.9
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend50d @ 5d,3835,13.43,19.56,-29.31,0.74,0.46,6.8
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend100d @ 3d,3835,13.28,20.41,-36.31,0.71,0.37,6.7
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend100d @ 10d,3835,13.26,18.06,-28.66,0.78,0.46,6.7
