lookback,top_n,cap,rebal,overlay_base,pdot_floor,nav_win,pdot_win,skip_recent,nav_floor_mult,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar,step
140,3,1.0,21,5.5,0.3,15,378,0,0.33,0.262,11.78,-53.2,1.136,64.3,-32.4,0.779,40.24,51.7,-53.2,23.9,0.8739999999999999,0.262,0.7563909774436091,1
150,3,1.0,21,5.5,0.3,15,378,0,0.33,-0.316,-8.41,-51.0,0.155,5.96,-54.8,-0.019,-0.62,33.6,-67.0,0.5,0.471,-0.316,-0.009253731343283582,1
180,3,1.0,21,5.5,0.3,15,378,0,0.33,-0.326,-8.74,-49.7,-0.024,-0.91,-70.4,-0.134,-4.5,33.7,-74.2,0.3,0.302,-0.326,-0.060646900269541774,1
210,3,1.0,21,5.5,0.3,15,378,0,0.33,0.637,23.65,-41.6,0.108,4.96,-72.1,0.322,13.52,42.0,-72.1,1.3,0.529,0.108,0.18751733703190016,1
120,3,1.0,21,5.5,0.3,15,378,5,0.33,0.647,37.27,-47.6,1.03,65.14,-50.7,0.862,52.38,60.7,-50.7,64.2,0.383,0.647,1.0331360946745562,1
120,3,1.0,21,5.5,0.3,15,378,10,0.33,0.435,20.0,-45.0,0.431,17.82,-50.2,0.432,18.82,43.5,-61.9,3.0,0.0040000000000000036,0.431,0.3040387722132472,1
120,3,1.0,21,5.5,0.3,15,378,15,0.33,0.416,19.29,-40.9,0.75,37.7,-54.9,0.603,29.27,48.5,-54.9,8.1,0.334,0.416,0.5331511839708561,1
120,3,1.0,21,5.5,0.3,15,378,21,0.33,0.564,27.28,-40.9,0.669,32.84,-48.1,0.621,30.29,48.8,-48.1,9.1,0.1050000000000001,0.564,0.6297297297297297,1
120,3,1.0,21,5.0,0.25,12,252,0,0.25,0.155,5.84,-52.2,0.341,14.8,-75.8,0.262,10.69,40.9,-75.8,1.2,0.18600000000000003,0.155,0.14102902374670184,2
120,3,1.0,21,5.0,0.25,15,252,0,0.25,0.717,40.24,-43.3,0.2,8.16,-76.3,0.472,22.85,48.4,-76.3,3.5,0.5169999999999999,0.2,0.299475753604194,2
120,3,1.0,21,5.0,0.25,17,252,0,0.25,0.589,30.73,-43.3,0.443,15.99,-58.9,0.515,22.74,44.2,-58.9,4.6,0.14599999999999996,0.443,0.3860780984719864,2
120,3,1.0,21,5.0,0.25,20,252,0,0.25,0.667,35.64,-43.3,0.556,25.68,-71.9,0.609,30.24,49.6,-71.9,7.6,0.11099999999999999,0.556,0.4205841446453407,2
120,3,1.0,21,5.0,0.25,12,252,0,0.33,0.16,6.08,-52.9,0.422,18.77,-75.5,0.312,12.96,41.6,-75.5,1.5,0.262,0.16,0.17165562913907287,2
120,3,1.0,21,5.0,0.25,15,252,0,0.33,0.699,38.78,-43.3,0.398,17.61,-75.3,0.55,27.31,49.7,-75.3,5.4,0.30099999999999993,0.398,0.3626826029216467,2
120,3,1.0,21,5.0,0.25,17,252,0,0.33,0.526,26.37,-43.3,0.596,23.42,-58.7,0.556,24.77,44.6,-58.7,5.6,0.06999999999999995,0.526,0.4219761499148211,2
