date,pick_1,pick_2,pick_3,n_positive
2024-04-18,SOXL,BTC_USD,FAS,19
2024-05-17,SOXL,BTC_USD,LABU,19
2024-06-18,SOXL,TECL,TQQQ,15
2024-07-19,NUGT,BTC_USD,ETH_USD,17
2024-08-19,NUGT,UGL,DRN,17
2024-09-18,NUGT,DRN,UGL,15
2024-10-17,DRN,LABU,YINN,16
2024-11-15,FAS,DRN,UPRO,13
2024-12-17,BTC_USD,FAS,DRN,12
2025-01-21,BTC_USD,FAS,YINN,12
2025-02-20,YINN,BTC_USD,FAS,13
2025-03-21,YINN,BTC_USD,FAS,6
2025-04-22,UGL,NUGT,BTC_USD,3
2025-05-21,NUGT,YINN,UGL,6
2025-06-23,NUGT,UGL,YINN,8
2025-07-23,NUGT,YINN,UGL,14
2025-08-21,NUGT,ETH_USD,BTC_USD,13
2025-09-22,ETH_USD,NUGT,SOXL,15
2025-10-21,SOXL,NUGT,TECL,19
2025-11-19,LABU,NUGT,SOXL,17
2025-12-19,LABU,NUGT,UGL,16
2026-01-22,NUGT,LABU,SOXL,15
2026-02-23,NUGT,SOXL,LABU,16
2026-03-24,ERX,UCO,LABU,7
