Date,HY_mid,HY_long,HY_short,JNK_mid,IG_mid,MidCorp,ShortCorp,IG5yr,EM_mid,EM_long,Muni_short,Muni_mid,MBS,TIPS
2025-05-28,3.1440734039798004e-05,1.1040720537653227e-05,-0.0002096554720883215,0.00014574874018237808,0.00026817643503109813,-0.0002246892040077351,-2.0817041750890628e-05,-0.0003712005311347355,-0.0001595914622466077,-0.0005393625091717677,-0.0005480514737282319,-0.0004905431328762488,0.001362053362459295,-0.0005848751129098535
2025-05-29,0.0005271217298741489,0.00014557154012472505,0.000889455913577633,0.00025973544953798527,0.00044068268144867046,0.0007367991453667167,0.0002250036422013252,0.0007524543907188545,0.0005300161773576116,9.930514895492397e-05,-0.0008051547945417228,-0.0009633375505783803,0.0005082607104227106,0.00028408995235672425
2025-05-30,0.00017799532776518264,0.0006584688521597886,0.00018936766295346466,0.00043916583491973896,-8.228551121547585e-06,-0.0002712776890029518,0.0002056520660176644,-2.2601349184027744e-05,-0.0020748661177489203,-0.0005428743040213407,-0.003307070643276976,-0.003539030014738157,-0.00013033239887918916,0.0014669258070498076
2025-06-02,0.0006126771623600249,0.0011784462979698956,0.0002819529860738091,0.0007569849969975863,0.0004734837575568968,0.0006388862526621338,0.00043717101878930895,0.0003070886730348419,0.0019690642960365832,0.0029526686520623038,-0.0015148756181382235,-0.0011573107806081358,-0.0004353257280825637,-0.0012610794343132794
2025-06-03,0.0021143453261681044,0.00214831238335245,0.0020275396194210657,0.0025290966310886655,0.0013992615268783942,0.0012106480174534282,3.4721972475060476e-05,0.001343865544557645,0.003880212627769046,0.0038470843022839147,0.000585507172925617,0.0008782583368431434,0.0002669064205879604,-0.0003240820823023939
2025-06-04,0.00022626992981143843,-0.0004318675380760805,0.00091466823450737,0.0006164122259256068,0.0001449989099825428,0.0006298704805786509,0.00012382696521581315,0.00046947904841052046,-0.0013058270983505038,-0.002031629308409005,-0.000515166393128417,-0.0010727035506828643,0.00042281028444566236,-0.0006991980321592742
2025-06-05,-0.0014755358386681567,-0.002237778216484709,-0.0015617119269477368,-0.001415715781552476,-0.00018300084273876983,-0.0010398968903504772,-0.0004791921513509032,-0.0009431971759472262,-0.00039442488747707576,-0.0026690797172010763,0.001661863996887565,0.001949172880795695,-0.0011671690355613343,-0.0011031558651676855
2025-06-06,0.001652985801507871,0.0016728371626695486,0.0007757003750475449,0.0019075853609138954,0.001678310814630277,0.0010282685064501246,-0.000268723110753133,0.0011563357777737626,0.003909163354550502,0.0029749529657986428,-0.0005644279848303914,0.0006687287820240587,0.0014145423464125423,-0.00040645817228626355
2025-06-09,9.765251365711992e-05,0.0003543089172245041,0.00011704671471905102,0.0006349714892736767,0.001231519661798209,0.0008720271063903159,0.00015124713881221592,0.0009601546541826761,0.0013023989748288337,0.002168015347438592,0.0014523903523993005,0.0016630753472022708,0.0009750103666211205,0.0002589720266750386
2025-06-10,0.0020160745329831538,0.001667104523485793,0.002394884736199865,0.0018107103379508918,0.0007684360313434144,0.0008031786020832155,0.0005084127036802943,0.000669406536621795,0.0032456504965612714,0.0025788049757905457,-0.0002899304802124192,-0.0007651597654733118,0.001712086631896985,-0.0005986410809267874
2025-06-11,-0.001174523616564092,-0.0006797593345080665,-0.0010745512991845914,-0.0014552158640131182,-0.0008677016153847512,3.7153429985922574e-06,2.7059106497567993e-05,8.726358481468688e-05,0.00012339488395835636,0.0018860297615530329,-0.0005813146363657074,-0.0005759004444642153,0.0001768393284424883,-0.0009171175438972765
2025-06-12,0.00017727725347078244,-0.0005548297530657781,0.0007078343458782513,0.00029076485792580483,0.001334569942806143,0.0007680575406793745,0.0003890008129514965,0.0006600130692901215,-0.001213458998575002,-0.00249475372565763,0.003092954718176077,0.0024745534526173715,0.0005350382284086959,0.0001806002744387152
2025-06-13,-0.0022022665730400716,-0.0016565219682060039,-0.002651186608063234,-0.002306023480413603,-0.0023946886946693627,-0.002164232386721844,-0.0007839433111566659,-0.001890815800826803,-0.0038218560495807117,-0.002927455973137506,-0.0009554205974225678,-0.0006208268214597879,-0.00181982038331813,0.0008050340411722948
2025-06-16,0.0026528185124436447,0.0034492646147504013,0.0020780275145071223,0.002938741418558072,0.001033335675815753,0.0009543842240942581,0.0005246195881716922,0.0008659691469155354,0.003059584186380215,0.004684452416490907,0.0009635999251344358,0.0017933703543479397,0.0011267983130372377,0.0003812639247316918
2025-06-17,-0.002196040757044722,-0.0028323326583967654,-0.0013713470115993107,-0.002427564272565106,-0.0013307571295065428,-0.0004564907120462006,-6.72825387686137e-05,-0.0004860266034436016,-0.002569508043276759,-0.003529530019229816,0.0002903492157748862,-0.0009080806585121757,-0.0010996012546363862,0.0022333889303449797
2025-06-18,0.001372734526738301,0.0012687014054839998,0.00126930596746761,0.0014272739974357605,0.00012127253235958855,0.00015881816184960807,-0.00019465300294203717,0.00018870831315264368,-0.001092306541186462,-0.0012711118628483628,-0.0017276572980100316,-0.0013665094243197622,-0.00010460653878444483,0.0003397530706011315
2025-06-20,0.003003090912559995,0.003405004714019762,0.002780927001475906,0.0028824082383498667,0.00021309343300328592,0.00031674021749471563,0.0004060119469633239,0.00018606723977580256,0.0008844676532646821,0.0019735327995606938,-0.0012440470562419927,-0.0009064334480188883,0.00021858574269683587,0.0013475288660410789
2025-06-23,0.0011056294538914272,0.0014180715919240691,0.0012049471446208262,0.0011951268090059685,-0.0009098325376735127,-0.0002547036923488317,6.706022493844729e-05,-0.00019871612223268343,0.00046769089590668195,0.0017047340546883128,-0.0009440561642916905,-0.00100254039837579,-0.0004676984426730327,-0.0013475917513011896
2025-06-24,0.001984428747519924,0.0017200347896772776,0.0023273467464463606,0.0019249831810647993,0.001313365416017549,0.0017286663443919176,0.0007660897097811906,0.0013218504277586799,0.00365142221291183,0.0034507030867275868,-8.002715191355431e-05,-0.00036068547589697994,0.002226534479488448,-0.0008753954412628186
2025-06-25,-0.0003423480215463911,-0.00042870916476605593,-0.00031023260797716283,0.0002169018974564734,-0.0016031205669051725,-0.0012471543820736027,-0.0006477446398556067,-0.0007581316796825004,-0.000829993681082193,-0.0009894833774330748,-0.0003812051924493757,-0.0007262832164533445,-0.00014129694783084252,0.00028735312947651405
2025-06-26,0.002078743191169373,0.0021532291635672544,0.0022603825703380073,0.0024109226266217105,0.00019516466615830284,0.00039379453253590886,0.0004596400659367477,0.0006528666816712518,0.0006141457714595217,0.0012669615319486907,-0.00035793065731588034,-0.0003999643143323588,0.0008311730828893995,0.0007067547738177833
2025-06-27,8.575511518790204e-05,0.00041471792549475635,-0.0003129383801694964,-0.00023771355022252669,0.0009027554349164872,0.0005525242754961088,0.00017829103838851526,0.000195158977620336,0.0009152705338783401,0.0013891250368150317,0.00027974231625976255,0.0007774484241867233,-0.0017277751216122862,0.0003490643016197932
2025-06-30,0.0029692449426492315,0.0024489861234271823,0.0034874890412160673,0.002508702824642056,0.0016180108226422152,0.0017126068043071749,0.000399186731693365,0.0018734068326615849,0.0029302009389708754,0.00215999480637688,0.0003991897706653721,-6.379826132585668e-05,0.00047168725728658715,7.876039634035397e-05
2025-07-01,-0.0008432890796440249,-0.00161504965081878,-0.0007276764212647827,-0.00030756652016771874,0.003020880213915386,0.002349781441242754,0.00035374688181005927,0.0021837082738906492,0.0032212654863842515,0.0010684251835281402,0.0024985973085796887,0.0025906907455624396,0.0006328013989210816,0.0006053326062170903
2025-07-02,0.002341865313212519,0.0027832902460686757,0.0019333071149127542,0.002436367371133739,0.0018659537471504362,0.0008307597679202544,0.0003964828776366053,0.0011362571867982812,0.0004617505672380106,0.001290006362331697,0.0008585186930154311,0.001333802653858035,0.001245205600566378,0.0008476878536597427
2025-07-03,0.0013898780565907286,0.00161617342192249,0.0011794938553543887,0.0013865218457888855,0.0010002730653123205,0.0012525407681002617,0.0005363242968388388,0.0010492073295084374,0.004085213506073186,0.0042014884652615755,0.0008204815710484395,0.001187929634137711,-0.0003806469775240718,0.00042058084932568426
2025-07-07,-0.0026561018631412548,-0.0019867505699296202,-0.0032366978468954845,-0.002912517416369281,-0.002872970069770553,-0.002107557212187021,-0.0007241473657875347,-0.0023557778735672965,-0.0029412079305206488,-0.0016972657532911485,0.0005652827873189849,0.0009229194441417024,-0.000867956063416248,0.0006881917112850182
2025-07-08,-0.0010424202924357567,-0.0011888235369931631,-0.0014349741164561155,-0.0012252986149416055,-0.0014148174587543534,-0.0017259843293997545,-0.0007766212547921528,-0.0013257027606119395,-0.002148415413514915,-0.00269819173634613,-0.0017203081631007894,-0.0008711404682662299,0.001792806178041526,9.723165121805174e-05
2025-07-09,0.0016010314784328072,0.0012460344773254754,0.0023292090796576343,0.0014440007708279067,0.0006738911251473649,0.0010404420139591393,0.000897572557509365,0.0013346901862083074,0.0035894589525216278,0.0033899230142178855,-5.0796576279530476e-05,-0.001011248785201101,0.0005623444487505075,0.0005253683260790592
2025-07-10,-0.0008808078909346179,-0.001096492267252044,-0.0009973294757630313,-0.00040185011595118445,0.0006984369127430742,0.0002846280581964765,0.0,9.441306475921948e-05,-0.0011598570058600649,-0.0017591375275389355,0.0,0.0001987903922975554,-9.112308203377883e-05,5.36645208295959e-05
2025-07-11,-0.00022100591463904942,0.000734609557343779,-0.0011290550139350295,-0.0007407404856800365,-0.0015409721787880458,-0.0013406422967455452,-0.0005980741387389516,-0.001605557310581162,-0.002074247525925357,-0.00032616955228415446,-0.0026015534751908415,-0.0014488001575303415,-0.0001568469163388958,0.0012414962588174205
2025-07-14,0.0008437921695027608,0.0010505769877372365,0.0006903162236957388,0.0010264169429564862,0.00013686738284116073,-5.338815586228518e-05,-0.00014361062926772963,0.0003794413324116107,0.00039553637706779093,0.0008510798770765768,-0.001340851579745251,-0.001021109302866407,-0.0012571856315320962,0.00090334380386389
2025-07-15,-0.002129707926889754,-0.0019950132505279243,-0.0025221815727724,-0.0023478551414905643,0.0002233295724940825,-0.00038264799059624724,8.534043509723314e-06,-0.000567915054998988,-7.507640779026888e-05,-0.0002498617576665481,-0.0002423700145378295,0.00013085772123092704,0.0006192741081719687,-0.0002199382476398672
2025-07-16,0.002019281187042699,0.00242829315339633,0.001983946876202584,0.0016780871479729063,-0.0011282249784786928,-0.00017638704103331007,6.701451230908123e-05,-0.0003855275767587693,-0.0010995222764254569,0.0002675977350211382,-0.00436900240273645,-0.0043186959970984255,-0.0006074900400472737,0.0016709840990916018
2025-07-17,0.0010697148406680357,0.0010329195089613004,0.0011752779514421763,0.00131401474786612,0.0027221824437886916,0.00176458286414783,0.0008094972921382291,0.001993240854714846,0.0013060182476943747,0.001174638320651785,-0.0008964230375600669,-0.0009879575669820549,0.0008082372821892334,0.0011114416332694164
2025-07-18,0.0007620514625406321,0.0011535246014790896,0.0009640143990993416,0.0008430426942949734,-0.0008394788096198415,-6.140566361675882e-05,0.0003882198093013351,9.616456990835026e-05,0.0003294433343992804,0.0016435249637130327,-0.0014873479816814156,-0.0018474370399638909,-0.0009234001339148029,-0.0006257004832145282
2025-07-21,0.0006060309495059795,0.00010023351889074431,0.0010792768593312482,0.0005848763496141722,0.0004808112896393505,0.0008333886666558087,0.0004200929859111514,0.0007597346888313862,0.0014695707083675529,0.0006636224909099485,0.0020816985328906065,0.001554590288074683,-0.0001418238194134955,0.0003768151589048172
2025-07-22,0.0011172433967590106,0.0008812805523320875,0.0013920719087592882,0.00123822348629275,-0.00038022447571350653,0.00011518736756890207,-0.0002283740058089289,0.00037742700788945564,-0.00017842362547978714,-0.0004000170669917532,-0.0004314297168254793,-0.0005088430321737282,0.00039446847259937525,-0.0008657156377951376
2025-07-23,0.0012789389674178263,0.0012848758406000963,0.0009025600942775859,0.0014979395435099688,0.0019152226167272655,0.0011224981673828467,-8.441234525578736e-06,0.0007513192735393434,0.002824409950480725,0.0023836914638883855,0.0005182844633265734,0.0009366222072675627,-0.0008451382836322545,-0.001681284547911954
2025-07-24,-0.0009200926181285876,-0.0009945092782370456,-0.000839455004911872,-0.0011233492112991883,-3.783586961016595e-05,0.00010977956992650395,0.0004956643343966467,-0.00019117300250495175,0.0007675551371256481,0.0003951878570882106,0.0008040660733867656,0.00043689186344645866,0.0008166932051335899,0.001650674850971997
