,ENSEMBLE,NOVA11,NOVA16,NOVA18_LO,NOVA19,NOVA20_A
2018-02-23,0.011861555467966646,0.0170707338294487,0.0476425846211356,0.0079967346794217,0.0126909207385622,0.0002179355443383
2018-02-26,0.010985873608395657,0.012200504600081,0.0347281134289887,0.0049954636655294,0.0101606234182107,0.0111122878664504
2018-02-27,-0.013293354224537087,-0.0135856903407949,-0.0386261841392285,-0.0089814054957844,-0.0112065919975533,-0.0124864152989326
2018-02-28,-0.0107224365636406,-0.0115194777850266,-0.032615148782233,-0.0052543105637582,-0.0114780322550893,-0.0101302452888926
2018-03-01,-0.01305148782516255,-0.0143979514773761,-0.0406953185022231,-0.0043692258473724,-0.0136670917013003,-0.0145407654020583
2018-03-02,0.0035861808553788507,0.0008362883344598,0.0154261061044906,0.0041076591003534,-0.000925098496758,0.0051550297384639
2018-03-05,0.008986352773083486,0.0041072159193469,0.0337512604271306,0.0035576871710809,0.0127611207196128,0.011557918771849
2018-03-06,0.0025320197611115214,0.0009008803088571,0.0079023365887915,0.004045514448349,-0.000435545587174,0.0025351239470714
2018-03-07,-7.811413495457581e-05,-0.0001302197755174,-0.0011003054133456,-0.000671604337303,0.0023725782605105,-0.0005
2018-03-08,0.002604736522862949,0.0016490923704673,0.0133570996069074,0.0002838226492424,0.0081984291842001,-0.000109317356955
2018-03-09,0.009714675039625862,0.0063253799203451,0.0520451504757046,0.0079020310910813,0.0140566278638473,0.0002190665622734
2018-03-12,-0.000438240189603214,-0.0003757587363036,-0.0035520375876008,0.0004946109001259,-0.0018765314044821,0.0001091014354792
2018-03-13,-0.003264248586185608,-0.0022965579780689,-0.0192494398557622,-0.0037179701128152,-0.001525334130395,0.0
2018-03-14,-0.0024559000130354087,-0.0018235590405217,-0.0159926681888012,-0.0006508387806352,-0.004745511836333,0.0
2018-03-15,-0.0006596679915210869,-0.0004575936287641,-0.0035596342341115,-0.0014534576235558,0.0011550570544658,-0.0001090895336545
2018-03-16,0.0008136268689642927,0.0005262657033699,0.0034379302986691,0.0003415746509899,0.0019672528355448,0.0002186107267918
2018-03-19,-0.006980788962337887,-0.0048081021245485,-0.040771323197376,-0.0059899934809972,-0.0076911772896615,0.0
2018-03-20,0.0009146054310698269,0.0005337236456978,0.0044813784087922,0.001653724307694,-6.805362110950402e-05,-0.0001094853566393
2018-03-21,7.243366333551335e-05,-0.000541434289092,-0.0051479844272465,0.0035710088831036,-0.0039765311450916,0.0002179751616386
2018-03-22,-0.012980634403357021,-0.0088122163196174,-0.0664002484142856,-0.0117571909424798,-0.0177884804731254,0.0001097792743458
2018-03-23,-0.011301255678910407,-0.0075039485715981,-0.0740519647578298,-0.0067698853496215,-0.0154110378830857,0.0001092576270385
2018-03-26,0.014394082305853395,0.0096518990165562,0.0828130228618093,0.0124222809129499,0.0168982527032503,-0.0001092456911134
2018-03-27,-0.012301827126144606,-0.0059041949428829,-0.052509272298472,-0.00879276853008,-0.0032910412522141,-0.0175116636855808
2018-03-28,-0.0019059047966075878,-0.0009796076181074,-0.0083801428496076,-0.002702442620671,0.0028712890000876,-0.0029548223270203
2018-03-29,0.010511839898586273,0.0046814050778437,0.0422549114789934,0.0070042785289774,0.0090817018341164,0.0127774488603993
2018-04-02,-0.016822072092568297,-0.0077056085708945,-0.0686149145450361,-0.0093618811101991,-0.0157907604909416,-0.0215843827350136
2018-04-03,0.009175557434337105,0.0123177683579687,0.0098168388872949,0.0038866431644325,0.0090378008488695,0.0128168388872949
2018-04-04,0.00859243984183723,0.0124859811224852,0.0106992256253275,0.0033552513693597,0.0088074446795084,0.0106992256253275
2018-04-05,0.005677745395527362,0.0072993958050702,0.0078917290182944,0.0019996436978442,0.0061796744281498,0.0078917290182944
2018-04-06,-0.011628623076452387,-0.0233852202209009,-0.0222855210999832,-0.0072610886495473,-0.0136364144859156,-0.0005
2018-04-09,0.003125352293989701,0.0043188391003091,0.0049284254734376,0.0036485435070253,0.0039116144675899,0.0001095874450267
2018-04-10,0.008865820102379839,0.0168901320602178,0.0159001603988502,0.0090301404996136,0.0059536748395267,-0.0001095754369345
2018-04-11,-0.0021458852771459778,-0.0051295179999932,-0.0052421944227787,0.0005809699405371,-0.0051224288046177,0.0002188693488498
2018-04-12,0.0031809277056372457,0.0084343555499846,0.0082269496117419,0.0009280134866742,0.0017904786138582,0.0
2018-04-13,-0.0009383383768763785,-0.003092822925114,-0.0029330001245375,-0.0010259843893575,0.0022673588576162,0.0
