dd_win,dd_floor,vol_win,vol_pct,is_sr,oos_sr,full_sr,is_cagr,oos_cagr,full_cagr,mdd,avg_mult
378,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.15,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.2,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
504,-0.35,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
378,-0.1,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.25,60,0.95,1.3299,1.7362,1.5257,0.1794,0.3434,0.2507,-0.2628,0.9146981627296588
252,-0.2,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.1,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.1,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
252,-0.35,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.15,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.15,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.2,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
378,-0.25,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
504,-0.35,30,0.99,1.3279,1.7024,1.5077,0.1902,0.3474,0.2587,-0.2725,0.9619422572178478
