label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,window,cohort
HFEA-Tech 60/40 TQQQ/TMF,1066,-8.38,47.3,-74.39,0.05,-0.11,0.7,2022-2026 post-peak,2022-2026 post-peak
invvol core6 lb=63,1066,22.52,37.91,-43.58,0.72,0.52,2.4,2022-2026 post-peak,2022-2026 post-peak
invvol-s core6 lb=63 tv=25%,1066,27.5,46.24,-46.28,0.76,0.59,2.8,2022-2026 post-peak,2022-2026 post-peak
100% TQQQ,1066,1.36,69.52,-81.05,0.37,0.02,1.1,2022-2026 post-peak,2022-2026 post-peak
EW5 UPRO/TQQQ/SOXL/TMF/UGL,3835,31.32,38.82,-68.73,0.9,0.46,63.2,Full LETF 2011-2026,Full LETF 2011-2026
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,3835,32.85,42.58,-70.19,0.88,0.47,75.4,Full LETF 2011-2026,Full LETF 2011-2026
3sleeve 70/10/20 TQQQ/TMF/UGL,3835,33.57,43.26,-71.17,0.89,0.47,81.9,Full LETF 2011-2026,Full LETF 2011-2026
3sleeve 50/20/30 TQQQ/TMF/UGL,3835,28.24,32.83,-65.32,0.92,0.43,44.1,Full LETF 2011-2026,Full LETF 2011-2026
theme4 SSO/TQQQ/UBT/UGL 25%,3835,22.37,25.27,-52.81,0.93,0.42,21.6,Full LETF 2011-2026,Full LETF 2011-2026
HFEA 55/45 UPRO/TMF,3835,20.16,29.73,-67.88,0.77,0.3,16.4,Full LETF 2011-2026,Full LETF 2011-2026
HFEA-Tech 60/40 TQQQ/TMF,3835,28.69,37.48,-75.46,0.86,0.38,46.4,Full LETF 2011-2026,Full LETF 2011-2026
invvol core6 lb=63,3835,28.36,33.27,-60.74,0.92,0.47,44.7,Full LETF 2011-2026,Full LETF 2011-2026
invvol-s core6 lb=63 tv=25%,3835,35.31,45.53,-63.25,0.89,0.56,99.7,Full LETF 2011-2026,Full LETF 2011-2026
100% TQQQ,3835,36.42,61.3,-81.66,0.82,0.45,112.8,Full LETF 2011-2026,Full LETF 2011-2026
EW5 UPRO/TQQQ/SOXL/TMF/UGL,2829,30.04,41.7,-68.73,0.84,0.44,19.1,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
EW6 UPRO/TQQQ/SOXL/TECL/TMF/UGL,2829,32.03,45.77,-70.19,0.84,0.46,22.6,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
3sleeve 70/10/20 TQQQ/TMF/UGL,2829,31.64,46.06,-71.17,0.83,0.44,21.9,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
3sleeve 50/20/30 TQQQ/TMF/UGL,2829,26.95,35.12,-65.32,0.86,0.41,14.6,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
theme4 SSO/TQQQ/UBT/UGL 25%,2829,21.39,26.92,-52.81,0.86,0.41,8.8,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
HFEA 55/45 UPRO/TMF,2829,12.32,32.19,-67.88,0.52,0.18,3.7,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
HFEA-Tech 60/40 TQQQ/TMF,2829,21.19,40.77,-75.46,0.68,0.28,8.7,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
invvol core6 lb=63,2829,27.24,34.78,-61.13,0.87,0.45,14.9,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
invvol-s core6 lb=63 tv=25%,2829,33.7,47.38,-63.41,0.85,0.53,26.1,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
100% TQQQ,2829,31.98,64.83,-81.66,0.76,0.39,22.5,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
EW5 + 20% BTC,2829,41.07,38.83,-67.26,1.08,0.61,47.6,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
EW5 + 10% BTC,2829,35.77,39.69,-67.72,0.97,0.53,31.0,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
TQQQ 60 / TMF 20 / BTC 20,2829,38.77,43.94,-75.41,0.97,0.51,39.6,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
invvol core6+BTC lb=63,2829,33.11,33.21,-60.79,1.03,0.54,24.8,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
invvol-s core6+BTC lb=63 tv=25%,2829,46.49,47.51,-65.55,1.04,0.71,72.7,Full LETF+BTC 2015-2026,Full LETF+BTC 2015-2026
