lb,tn,cap,rb,ov,dd_f,nw,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar
60,2,1.0,5,2.0,0.3,40,0.821,32.1,-43.2,-0.156,-5.45,-71.8,0.318,11.74,36.9,-71.8,1.7,0.977,-0.156,0.16350974930362117
60,2,1.0,5,2.5,0.15,10,-0.757,-12.04,-51.2,-0.29,-6.04,-53.3,-0.469,-8.79,18.7,-70.9,0.3,0.467,-0.757,-0.1239774330042313
60,2,1.0,5,2.5,0.15,20,0.264,5.57,-25.0,-0.809,-10.67,-51.9,-0.187,-3.23,17.3,-60.8,0.6,1.073,-0.809,-0.053125000000000006
60,2,1.0,5,2.5,0.15,40,0.279,6.94,-35.5,-0.328,-6.39,-46.6,-0.013,-0.29,22.1,-52.2,0.7,0.607,-0.328,-0.005555555555555555
60,2,1.0,5,2.5,0.2,10,-0.302,-6.39,-37.7,-0.415,-8.79,-50.4,-0.363,-7.69,21.2,-68.6,0.3,0.11299999999999999,-0.415,-0.1120991253644315
60,2,1.0,5,2.5,0.2,20,0.167,4.86,-34.3,-0.478,-9.9,-61.1,-0.126,-3.14,24.9,-64.9,0.5,0.645,-0.478,-0.04838212634822804
60,2,1.0,5,2.5,0.2,40,-0.154,-4.17,-42.1,-0.252,-5.55,-54.8,-0.201,-4.92,24.4,-61.1,0.4,0.098,-0.252,-0.08052373158756138
60,2,1.0,5,2.5,0.25,10,0.307,11.06,-39.7,-0.053,-1.7,-63.6,0.122,4.15,34.1,-63.6,0.8,0.36,-0.053,0.06525157232704402
60,2,1.0,5,2.5,0.25,20,0.525,22.07,-43.5,-0.377,-11.51,-74.6,0.107,3.87,36.3,-76.5,0.7,0.902,-0.377,0.05058823529411765
60,2,1.0,5,2.5,0.25,40,0.379,14.33,-44.2,-0.463,-13.4,-76.8,-0.021,-0.7,33.3,-78.5,0.5,0.8420000000000001,-0.463,-0.008917197452229299
60,2,1.0,5,2.5,0.3,10,0.639,27.61,-44.9,-0.082,-3.27,-72.8,0.263,10.87,41.3,-72.8,1.2,0.721,-0.082,0.1493131868131868
60,2,1.0,5,2.5,0.3,20,0.768,35.34,-46.7,-0.41,-13.11,-79.8,0.233,9.08,39.1,-79.8,1.2,1.178,-0.41,0.11378446115288221
60,2,1.0,5,2.5,0.3,40,0.714,31.0,-46.3,-0.447,-14.3,-81.1,0.171,6.45,37.7,-81.1,0.9,1.161,-0.447,0.07953144266337855
60,2,1.0,5,3.0,0.15,10,-0.716,-11.17,-48.5,-0.058,-1.24,-32.2,-0.306,-5.79,18.9,-63.2,0.4,0.6579999999999999,-0.716,-0.09161392405063291
60,2,1.0,5,3.0,0.15,20,-0.503,-10.05,-48.3,-0.526,-9.03,-52.8,-0.513,-9.5,18.5,-73.1,0.3,0.02300000000000002,-0.526,-0.12995896032831739
60,2,1.0,5,3.0,0.15,40,-0.565,-10.32,-48.0,-0.222,-4.89,-48.2,-0.362,-7.38,20.4,-70.7,0.3,0.34299999999999997,-0.565,-0.10438472418670437
