date,pick_1,pick_2,pick_3,n_positive
2021-12-08,SOXL,TMF,TECL,11
2021-12-15,DRN,UCO,UPRO,10
2021-12-22,TMF,DRN,UBT,6
2021-12-30,NUGT,DRN,UCO,14
2022-01-06,ERX,UCO,FAS,4
2022-01-13,ERX,FAS,UCO,6
2022-01-21,YINN,UCO,NUGT,8
2022-01-28,UCO,ERX,,2
2022-02-04,ERX,ETH_USD,FAS,10
2022-02-11,NUGT,ETH_USD,ERX,11
2022-02-18,NUGT,UGL,,2
2022-02-28,NUGT,UGL,UCO,9
2022-03-07,UCO,ERX,NUGT,8
2022-03-14,NUGT,UCO,ERX,5
2022-03-21,SOXL,FAS,TQQQ,13
2022-03-28,YINN,SOXL,TQQQ,16
2022-04-04,YINN,LABU,ETH_USD,15
2022-04-11,NUGT,DRN,UGL,5
2022-04-19,ERX,DRN,NUGT,4
2022-04-26,UCO,TYD,,2
2022-05-03,YINN,,,1
2022-05-10,ERX,,,1
2022-05-17,ERX,UCO,TYD,3
2022-05-24,ERX,UCO,DRN,11
2022-06-01,ERX,UCO,YINN,13
2022-06-08,YINN,UCO,LABU,13
2022-06-15,YINN,UCO,,2
2022-06-23,LABU,,,1
2022-06-30,LABU,TMF,DRN,6
2022-07-08,LABU,TQQQ,TECL,13
2022-07-15,LABU,ETH_USD,SOXL,14
2022-07-22,SOXL,ETH_USD,TMF,14
2022-07-29,ETH_USD,SOXL,ERX,18
2022-08-05,LABU,SOXL,TECL,15
2022-08-12,LABU,FAS,TQQQ,14
2022-08-19,ERX,FAS,UCO,9
2022-08-26,ERX,YINN,UCO,3
2022-09-02,ERX,,,1
2022-09-12,ETH_USD,LABU,BTC_USD,10
2022-09-19,NUGT,FAS,,2
2022-09-26,,,,0
2022-10-03,NUGT,UGL,BTC_USD,3
2022-10-10,ERX,UCO,NUGT,6
2022-10-17,ERX,UCO,FAS,5
2022-10-24,ERX,TECL,FAS,12
2022-10-31,ERX,SOXL,FAS,14
2022-11-07,YINN,EDC,UCO,16
2022-11-14,YINN,SOXL,EDC,18
2022-11-21,SOXL,TMF,YINN,16
2022-11-29,TMF,YINN,UBT,7
2022-12-06,YINN,TMF,ETH_USD,10
2022-12-13,YINN,TMF,SOXL,17
2022-12-20,UGL,NUGT,UCO,4
2022-12-28,UCO,ERX,,2
2023-01-05,YINN,NUGT,EDC,9
2023-01-12,SOXL,YINN,LABU,19
2023-01-20,BTC_USD,SOXL,ETH_USD,20
2023-01-27,BTC_USD,TQQQ,SOXL,17
2023-02-03,SOXL,TQQQ,TECL,13
2023-02-10,TECL,SOXL,TQQQ,8
2023-02-17,UCO,BTC_USD,ETH_USD,3
2023-02-27,BTC_USD,ETH_USD,,2
2023-03-06,UCO,ERX,TECL,4
2023-03-13,TMF,NUGT,UGL,7
2023-03-20,BTC_USD,NUGT,UGL,11
2023-03-27,TQQQ,TECL,NUGT,12
2023-04-03,UCO,ERX,YINN,19
2023-04-11,NUGT,UCO,ERX,20
2023-04-18,ETH_USD,LABU,FAS,11
2023-04-25,LABU,TYD,FAS,3
2023-05-02,TYD,TMF,UBT,5
2023-05-09,LABU,TECL,YINN,12
2023-05-16,LABU,YINN,TQQQ,7
2023-05-23,SOXL,TQQQ,TECL,8
2023-05-31,SOXL,TECL,TQQQ,8
2023-06-07,SOXL,TECL,TQQQ,13
2023-06-14,YINN,SOXL,EDC,13
2023-06-22,TQQQ,BTC_USD,TECL,11
2023-06-29,BTC_USD,ETH_USD,UCO,8
2023-07-07,DRN,UCO,ERX,9
2023-07-14,NUGT,YINN,UCO,17
2023-07-21,FAS,NUGT,LABU,19
2023-07-28,YINN,UCO,ERX,12
2023-08-04,YINN,UCO,ERX,4
2023-08-11,ERX,UCO,BTC_USD,3
2023-08-18,ERX,,,1
2023-08-25,TECL,,,1
2023-09-01,YINN,TECL,SOXL,18
2023-09-11,UCO,TQQQ,TECL,14
2023-09-18,UCO,NUGT,ERX,6
2023-09-25,BTC_USD,ETH_USD,UCO,4
2023-10-02,BTC_USD,ETH_USD,,2
2023-10-09,TECL,SOXL,TQQQ,5
2023-10-16,NUGT,DRN,UGL,14
2023-10-23,BTC_USD,NUGT,UGL,6
2023-10-30,BTC_USD,ETH_USD,UGL,3
2023-11-06,DRN,LABU,EDC,17
2023-11-13,SOXL,TECL,TQQQ,16
2023-11-20,SOXL,TECL,TQQQ,16
2023-11-28,NUGT,LABU,DRN,17
2023-12-05,LABU,BTC_USD,DRN,12
2023-12-12,LABU,SOXL,FAS,14
2023-12-19,SOXL,LABU,TQQQ,18
2023-12-27,LABU,NUGT,SOXL,19
2024-01-04,LABU,BTC_USD,ETH_USD,3
2024-01-11,ETH_USD,BTC_USD,,2
2024-01-19,SOXL,TECL,TQQQ,9
2024-01-26,SOXL,TECL,UCO,9
2024-02-02,ERX,FAS,UPRO,15
2024-02-09,SOXL,BTC_USD,ETH_USD,14
2024-02-16,YINN,ETH_USD,BTC_USD,13
2024-02-26,ETH_USD,YINN,LABU,12
2024-03-04,BTC_USD,SOXL,ETH_USD,20
2024-03-11,BTC_USD,NUGT,ETH_USD,16
2024-03-18,ERX,UCO,NUGT,9
2024-03-25,ERX,UCO,UPRO,8
2024-04-02,NUGT,ERX,UGL,13
2024-04-09,NUGT,UGL,YINN,8
