label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
mom all17 lb=126 skip=21 top5 CP tv=15% vw=252d,3835,7.66,15.55,-27.27,0.55,0.28,3.1
mom all17 lb=126 skip=21 top5 CP tv=20% vw=63d,3835,10.34,22.4,-32.08,0.55,0.32,4.5
mom all17 lb=126 skip=21 top5 CP tv=20% vw=126d,3835,11.22,22.88,-33.41,0.58,0.34,5.0
mom all17 lb=126 skip=21 top5 CP tv=20% vw=252d,3835,9.74,20.73,-35.18,0.55,0.28,4.1
mom all17 lb=252 skip=0 top3 RAW,3835,20.0,48.91,-74.36,0.62,0.27,16.0
mom all17 lb=252 skip=0 top3 CP tv=12% vw=63d,3835,7.22,12.8,-25.11,0.61,0.29,2.9
mom all17 lb=252 skip=0 top3 CP tv=12% vw=126d,3835,6.61,12.8,-26.57,0.56,0.25,2.6
mom all17 lb=252 skip=0 top3 CP tv=12% vw=252d,3835,7.26,13.35,-25.86,0.59,0.28,2.9
mom all17 lb=252 skip=0 top3 CP tv=15% vw=63d,3835,8.82,16.0,-30.57,0.61,0.29,3.6
mom all17 lb=252 skip=0 top3 CP tv=15% vw=126d,3835,8.05,16.0,-32.36,0.56,0.25,3.2
mom all17 lb=252 skip=0 top3 CP tv=15% vw=252d,3835,8.84,16.67,-31.55,0.59,0.28,3.6
mom all17 lb=252 skip=0 top3 CP tv=20% vw=63d,3835,11.29,21.33,-38.98,0.61,0.29,5.1
mom all17 lb=252 skip=0 top3 CP tv=20% vw=126d,3835,10.22,21.32,-41.31,0.56,0.25,4.4
mom all17 lb=252 skip=0 top3 CP tv=20% vw=252d,3835,11.34,22.07,-40.34,0.6,0.28,5.1
mom all17 lb=252 skip=0 top5 RAW,3835,20.63,42.34,-62.85,0.66,0.33,17.4
mom all17 lb=252 skip=0 top5 CP tv=12% vw=63d,3835,7.29,12.87,-21.96,0.61,0.33,2.9
mom all17 lb=252 skip=0 top5 CP tv=12% vw=126d,3835,7.08,12.88,-23.38,0.6,0.3,2.8
mom all17 lb=252 skip=0 top5 CP tv=12% vw=252d,3835,7.78,13.42,-23.74,0.63,0.33,3.1
mom all17 lb=252 skip=0 top5 CP tv=15% vw=63d,3835,8.91,16.09,-27.02,0.61,0.33,3.7
mom all17 lb=252 skip=0 top5 CP tv=15% vw=126d,3835,8.64,16.09,-28.65,0.6,0.3,3.5
mom all17 lb=252 skip=0 top5 CP tv=15% vw=252d,3835,9.44,16.63,-29.05,0.63,0.32,3.9
mom all17 lb=252 skip=0 top5 CP tv=20% vw=63d,3835,11.4,21.45,-35.04,0.61,0.33,5.2
mom all17 lb=252 skip=0 top5 CP tv=20% vw=126d,3835,10.93,21.34,-36.91,0.59,0.3,4.8
mom all17 lb=252 skip=0 top5 CP tv=20% vw=252d,3835,12.28,21.88,-37.34,0.64,0.33,5.8
mom all17 lb=252 skip=21 top3 RAW,3835,23.41,53.12,-75.91,0.67,0.31,24.6
mom all17 lb=252 skip=21 top3 CP tv=12% vw=63d,3835,8.21,13.01,-24.1,0.67,0.34,3.3
mom all17 lb=252 skip=21 top3 CP tv=12% vw=126d,3835,7.63,12.96,-24.95,0.63,0.31,3.1
mom all17 lb=252 skip=21 top3 CP tv=12% vw=252d,3835,8.23,13.46,-24.66,0.66,0.33,3.3
mom all17 lb=252 skip=21 top3 CP tv=15% vw=63d,3835,10.08,16.26,-29.32,0.67,0.34,4.3
mom all17 lb=252 skip=21 top3 CP tv=15% vw=126d,3835,9.33,16.2,-30.45,0.63,0.31,3.9
mom all17 lb=252 skip=21 top3 CP tv=15% vw=252d,3835,10.06,16.8,-30.11,0.65,0.33,4.3
mom all17 lb=252 skip=21 top3 CP tv=20% vw=63d,3835,12.98,21.68,-37.36,0.67,0.35,6.4
mom all17 lb=252 skip=21 top3 CP tv=20% vw=126d,3835,11.95,21.59,-38.98,0.63,0.31,5.6
mom all17 lb=252 skip=21 top3 CP tv=20% vw=252d,3835,13.0,22.25,-38.55,0.66,0.34,6.4
mom all17 lb=252 skip=21 top5 RAW,3835,22.45,46.46,-72.73,0.67,0.31,21.8
mom all17 lb=252 skip=21 top5 CP tv=12% vw=63d,3835,8.22,13.13,-22.46,0.67,0.37,3.3
mom all17 lb=252 skip=21 top5 CP tv=12% vw=126d,3835,7.61,13.08,-22.82,0.63,0.33,3.1
mom all17 lb=252 skip=21 top5 CP tv=12% vw=252d,3835,8.11,13.66,-23.51,0.64,0.35,3.3
mom all17 lb=252 skip=21 top5 CP tv=15% vw=63d,3835,10.08,16.41,-27.43,0.67,0.37,4.3
mom all17 lb=252 skip=21 top5 CP tv=15% vw=126d,3835,9.3,16.34,-27.97,0.63,0.33,3.9
mom all17 lb=252 skip=21 top5 CP tv=15% vw=252d,3835,9.85,16.93,-28.77,0.64,0.34,4.2
mom all17 lb=252 skip=21 top5 CP tv=20% vw=63d,3835,12.97,21.88,-35.15,0.67,0.37,6.4
mom all17 lb=252 skip=21 top5 CP tv=20% vw=126d,3835,11.81,21.68,-36.04,0.62,0.33,5.5
mom all17 lb=252 skip=21 top5 CP tv=20% vw=252d,3835,12.83,22.29,-37.0,0.65,0.35,6.3
