label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family,cohort
LETF+BTCETH 2018+ :: 3sleeve 80/10/10 TQQQ/TMF/UGL,2074,28.87,56.85,-75.5,0.73,0.38,8.1,fixed,LETF+BTCETH 2018+
LETF-only 2018+ :: 3sleeve 80/10/10 TQQQ/TMF/UGL,2074,28.87,56.85,-75.5,0.73,0.38,8.1,fixed,LETF-only 2018+
LETF-only 2018+ :: invvol-s core6 lb=126 tv=40%,2074,28.82,75.42,-83.36,0.72,0.35,8.0,invvol-scaled,LETF-only 2018+
LETF+BTCETH 2018+ :: invvol-s core6 lb=126 tv=40%,2074,28.82,75.42,-83.36,0.72,0.35,8.0,invvol-scaled,LETF+BTCETH 2018+
LETF-only 2018+ :: EW5 UPRO/TQQQ/SOXL/TMF/UGL,2074,28.57,46.15,-68.73,0.78,0.42,7.9,fixed,LETF-only 2018+
LETF+BTC 2015+ :: mom core6+BTC lb=126 top3,2829,28.57,55.1,-77.89,0.74,0.37,16.8,mom,LETF+BTC 2015+
LETF+BTCETH 2018+ :: EW5 UPRO/TQQQ/SOXL/TMF/UGL,2074,28.57,46.15,-68.73,0.78,0.42,7.9,fixed,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: TQQQ 50 / TMF 20 / UGL 10 / BTC 15 / ETH 5,2074,28.36,42.53,-71.25,0.8,0.4,7.8,fixed-crypto,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: 3sleeve 50/20/10 TQQQ/TMF/UGL + 15% BTC + 5% ETH,2074,28.36,42.53,-71.25,0.8,0.4,7.8,fixed-crypto,LETF+BTCETH 2018+
LETF-only 2015+ :: HFEA-Tech 80/20 TQQQ/TMF,2829,28.28,51.57,-78.0,0.74,0.36,16.4,fixed,LETF-only 2015+
LETF+BTC 2015+ :: HFEA-Tech 80/20 TQQQ/TMF,2829,28.28,51.57,-78.0,0.74,0.36,16.4,fixed,LETF+BTC 2015+
LETF+BTC 2015+ :: invvol core6 lb=126,2829,28.26,35.06,-61.71,0.89,0.46,16.4,invvol,LETF+BTC 2015+
LETF-only 2015+ :: invvol core6 lb=126,2829,28.26,35.06,-61.71,0.89,0.46,16.4,invvol,LETF-only 2015+
LETF+BTCETH 2018+ :: 3sleeve 50/20/20 TQQQ/TMF/UGL + 10% BTC + 5% ETH,2074,28.24,38.56,-67.14,0.84,0.42,7.7,fixed-crypto,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: 3sleeve 50/20/20 TQQQ/TMF/UGL + 10% BTC,2074,27.81,39.81,-67.79,0.82,0.41,7.5,fixed-crypto,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: TQQQ 60 / TMF 20 / BTC 20,2074,27.57,47.98,-75.41,0.75,0.37,7.4,fixed-crypto,LETF+BTCETH 2018+
LETF-only 2018+ :: invvol-s core6 lb=63 tv=25%,2074,27.41,48.03,-61.92,0.75,0.44,7.3,invvol-scaled,LETF-only 2018+
LETF+BTCETH 2018+ :: invvol-s core6 lb=63 tv=25%,2074,27.41,48.03,-61.92,0.75,0.44,7.3,invvol-scaled,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: invvol core6 lb=63,2074,27.28,37.61,-60.77,0.83,0.45,7.3,invvol,LETF+BTCETH 2018+
LETF-only 2018+ :: invvol core6 lb=63,2074,27.28,37.61,-60.77,0.83,0.45,7.3,invvol,LETF-only 2018+
LETF-only 2015+ :: invvol core6 lb=63,2829,27.24,34.78,-61.13,0.87,0.45,14.9,invvol,LETF-only 2015+
LETF+BTC 2015+ :: invvol core6 lb=63,2829,27.24,34.78,-61.13,0.87,0.45,14.9,invvol,LETF+BTC 2015+
LETF+BTC 2015+ :: 3sleeve 50/20/30 TQQQ/TMF/UGL,2829,26.95,35.12,-65.32,0.86,0.41,14.6,fixed,LETF+BTC 2015+
LETF-only 2015+ :: 3sleeve 50/20/30 TQQQ/TMF/UGL,2829,26.95,35.12,-65.32,0.86,0.41,14.6,fixed,LETF-only 2015+
LETF-only 2018+ :: 3sleeve 50/20/30 TQQQ/TMF/UGL,2074,26.87,38.67,-65.32,0.81,0.41,7.1,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: 3sleeve 50/20/30 TQQQ/TMF/UGL,2074,26.87,38.67,-65.32,0.81,0.41,7.1,fixed,LETF+BTCETH 2018+
LETF+BTC 2015+ :: mom core6+BTC lb=63 top4,2829,26.81,46.74,-75.93,0.74,0.35,14.4,mom,LETF+BTC 2015+
LETF+BTCETH 2018+ :: mom core6+BTC lb=63 top3,2074,26.67,50.25,-69.96,0.72,0.38,7.0,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: invvol core6 lb=126,2074,26.3,37.92,-61.25,0.81,0.43,6.8,invvol,LETF+BTCETH 2018+
LETF-only 2018+ :: invvol core6 lb=126,2074,26.3,37.92,-61.25,0.81,0.43,6.8,invvol,LETF-only 2018+
LETF-only 2018+ :: mom core6 lb=63 top4,2074,25.61,52.31,-77.69,0.7,0.33,6.5,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6 lb=63 top4,2074,25.61,52.31,-77.69,0.7,0.33,6.5,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: invvol-s core6 lb=126 tv=25%,2074,25.45,47.14,-65.07,0.72,0.39,6.5,invvol-scaled,LETF-only 2018+
LETF+BTCETH 2018+ :: invvol-s core6 lb=126 tv=25%,2074,25.45,47.14,-65.07,0.72,0.39,6.5,invvol-scaled,LETF+BTCETH 2018+
LETF-only 2018+ :: HFEA-Tech 80/20 TQQQ/TMF,2074,24.61,56.5,-78.0,0.67,0.32,6.1,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: HFEA-Tech 80/20 TQQQ/TMF,2074,24.61,56.5,-78.0,0.67,0.32,6.1,fixed,LETF+BTCETH 2018+
LETF+BTC 2015+ :: mom core6 lb=63 top4,2829,24.21,49.78,-78.1,0.69,0.31,11.4,mom,LETF+BTC 2015+
LETF-only 2015+ :: mom core6 lb=63 top4,2829,24.21,49.78,-78.1,0.69,0.31,11.4,mom,LETF-only 2015+
LETF-only 2015+ :: mom core6 lb=126 top3,2829,23.64,57.25,-78.01,0.66,0.3,10.8,mom,LETF-only 2015+
LETF+BTC 2015+ :: mom core6 lb=126 top3,2829,23.64,57.25,-78.01,0.66,0.3,10.8,mom,LETF+BTC 2015+
LETF+BTC 2015+ :: mom core6+BTC lb=63 top3,2829,23.34,48.78,-78.59,0.68,0.3,10.5,mom,LETF+BTC 2015+
LETF-only 2018+ :: mom core6 lb=63 top3,2074,23.26,52.65,-75.43,0.66,0.31,5.6,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6 lb=63 top3,2074,23.26,52.65,-75.43,0.66,0.31,5.6,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,2074,21.86,29.67,-52.81,0.82,0.41,5.1,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,2074,21.86,29.67,-52.81,0.82,0.41,5.1,fixed,LETF+BTCETH 2018+
LETF-only 2015+ :: theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,2829,21.39,26.92,-52.81,0.86,0.41,8.8,fixed,LETF-only 2015+
LETF+BTC 2015+ :: theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,2829,21.39,26.92,-52.81,0.86,0.41,8.8,fixed,LETF+BTC 2015+
LETF+BTC 2015+ :: HFEA-Tech 60/40 TQQQ/TMF,2829,21.19,40.77,-75.46,0.68,0.28,8.7,fixed,LETF+BTC 2015+
LETF-only 2015+ :: HFEA-Tech 60/40 TQQQ/TMF,2829,21.19,40.77,-75.46,0.68,0.28,8.7,fixed,LETF-only 2015+
LETF-only 2018+ :: mom core6 lb=126 top4,2074,20.41,59.17,-75.04,0.62,0.27,4.6,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6 lb=126 top4,2074,20.41,59.17,-75.04,0.62,0.27,4.6,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=63 top4,2074,19.4,50.31,-77.34,0.61,0.25,4.3,mom,LETF+BTCETH 2018+
