pair,horizon,n_trades,active_days,sharpe
SCHP-MUB,5,132,315,-0.20247358428187415
SCHP-VTEB,5,118,294,0.23010376269783006
TIP-EMB,5,178,438,-0.10968184514575029
TIP-VWOB,5,126,274,-0.48903355713238583
SCHP-EMB,5,156,315,-0.1640121663311643
SCHP-VWOB,5,120,267,-0.409527476444646
TIP-FLOT,5,126,303,-0.14004436036275467
SCHP-FLOT,5,132,303,-0.17788378522370385
TIP-MBB,5,218,476,-0.25239765808591336
TIP-VMBS,5,170,390,-0.12728426011420862
SCHP-MBB,5,152,312,-0.36528487612688776
SCHP-VMBS,5,150,317,-0.31699331854402113
MUB-EMB,5,194,411,0.030168407737289578
MUB-VWOB,5,126,290,-0.15118070609702555
VTEB-EMB,5,118,279,-0.15331001905916541
VTEB-VWOB,5,120,258,-0.13000712886003635
MUB-FLOT,5,140,318,-0.7463530230121123
VTEB-FLOT,5,134,355,-0.9718962004930363
MUB-MBB,5,210,475,0.02590433916599234
MUB-VMBS,5,176,412,0.07798780907171347
VTEB-MBB,5,150,342,0.13387444700175335
VTEB-VMBS,5,158,358,0.13294443203337353
EMB-FLOT,5,150,359,0.26774640145559103
VWOB-FLOT,5,142,352,-0.356821317988709
EMB-MBB,5,208,434,-0.27522754840301517
EMB-VMBS,5,178,358,-0.009769629019141787
VWOB-MBB,5,122,251,-0.08074004569968805
VWOB-VMBS,5,124,253,-0.26324711689865243
FLOT-MBB,5,226,554,-0.9090639431553793
FLOT-VMBS,5,242,575,-0.8631192059173832
IEI-GOVT,5,224,442,-1.1696843186411467
TLH-TLT,5,182,433,-0.23573478139017148
TLH-SPTL,5,166,323,-0.3006652628077303
TLH-VGLT,5,134,288,-0.16296337753423898
TLT-SPTL,5,172,349,-0.4744965848063498
TLT-VGLT,5,128,270,-0.9527194855006864
SPTL-VGLT,5,122,126,-1.1075211606018462
LQD-VCIT,5,214,520,-0.4785775129493879
LQD-IGIB,5,214,482,-0.3990910443471079
VCIT-IGIB,5,96,229,-0.6484785484358597
HYG-JNK,5,98,206,-0.2294732510395865
