label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,recipe,rebal_days
4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL @ 5d,3835,28.67,34.77,-65.21,0.9,0.44,46.3,4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL,5
4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL @ 10d,3835,28.67,34.77,-65.21,0.9,0.44,46.3,4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL,10
4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL @ 21d,3835,28.67,34.77,-65.21,0.9,0.44,46.3,4sleeve 20/40/20/20 UPRO/TQQQ/TMF/UGL,21
EW5 UPRO/TQQQ/TECL/TMF/UGL @ 3d,3835,28.65,35.37,-64.39,0.89,0.44,46.2,EW5 UPRO/TQQQ/TECL/TMF/UGL,3
EW5 UPRO/TQQQ/TECL/TMF/UGL @ 5d,3835,28.65,35.37,-64.39,0.89,0.44,46.2,EW5 UPRO/TQQQ/TECL/TMF/UGL,5
EW5 UPRO/TQQQ/TECL/TMF/UGL @ 10d,3835,28.65,35.37,-64.39,0.89,0.44,46.2,EW5 UPRO/TQQQ/TECL/TMF/UGL,10
EW5 UPRO/TQQQ/TECL/TMF/UGL @ 21d,3835,28.65,35.37,-64.39,0.89,0.44,46.2,EW5 UPRO/TQQQ/TECL/TMF/UGL,21
3sleeve 50/20/30 TQQQ/TMF/UGL @ 3d,3835,28.24,32.83,-65.32,0.92,0.43,44.1,3sleeve 50/20/30 TQQQ/TMF/UGL,3
3sleeve 50/20/30 TQQQ/TMF/UGL @ 5d,3835,28.24,32.83,-65.32,0.92,0.43,44.1,3sleeve 50/20/30 TQQQ/TMF/UGL,5
3sleeve 50/20/30 TQQQ/TMF/UGL @ 10d,3835,28.24,32.83,-65.32,0.92,0.43,44.1,3sleeve 50/20/30 TQQQ/TMF/UGL,10
3sleeve 50/20/30 TQQQ/TMF/UGL @ 21d,3835,28.24,32.83,-65.32,0.92,0.43,44.1,3sleeve 50/20/30 TQQQ/TMF/UGL,21
3sleeve 50/30/20 TQQQ/TMF/UGL @ 3d,3835,27.34,32.49,-68.67,0.91,0.4,39.6,3sleeve 50/30/20 TQQQ/TMF/UGL,3
