label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,recipe,rebal_days
UPRO/UGL 60/40 @ 10d,3835,24.35,34.13,-56.22,0.81,0.43,27.6,UPRO/UGL 60/40,10
UPRO/UGL 60/40 @ 3d,3835,24.35,34.13,-56.22,0.81,0.43,27.6,UPRO/UGL 60/40,3
UPRO/UGL 60/40 @ 5d,3835,24.35,34.13,-56.22,0.81,0.43,27.6,UPRO/UGL 60/40,5
3sleeve 40/30/30 TQQQ/TMF/UGL @ 10d,3835,24.21,28.77,-64.37,0.9,0.38,27.1,3sleeve 40/30/30 TQQQ/TMF/UGL,10
3sleeve 40/30/30 TQQQ/TMF/UGL @ 5d,3835,24.21,28.77,-64.37,0.9,0.38,27.1,3sleeve 40/30/30 TQQQ/TMF/UGL,5
3sleeve 40/30/30 TQQQ/TMF/UGL @ 21d,3835,24.21,28.77,-64.37,0.9,0.38,27.1,3sleeve 40/30/30 TQQQ/TMF/UGL,21
3sleeve 40/30/30 TQQQ/TMF/UGL @ 3d,3835,24.21,28.77,-64.37,0.9,0.38,27.1,3sleeve 40/30/30 TQQQ/TMF/UGL,3
3sleeve 60/10/30 UPRO/TMF/UGL @ 3d,3835,24.11,32.27,-53.47,0.83,0.45,26.8,3sleeve 60/10/30 UPRO/TMF/UGL,3
3sleeve 60/10/30 UPRO/TMF/UGL @ 10d,3835,24.11,32.27,-53.47,0.83,0.45,26.8,3sleeve 60/10/30 UPRO/TMF/UGL,10
3sleeve 60/10/30 UPRO/TMF/UGL @ 5d,3835,24.11,32.27,-53.47,0.83,0.45,26.8,3sleeve 60/10/30 UPRO/TMF/UGL,5
3sleeve 60/10/30 UPRO/TMF/UGL @ 21d,3835,24.11,32.27,-53.47,0.83,0.45,26.8,3sleeve 60/10/30 UPRO/TMF/UGL,21
HFEA 70/30 UPRO/TMF @ 5d,3835,23.92,34.71,-64.36,0.79,0.37,26.1,HFEA 70/30 UPRO/TMF,5
HFEA 70/30 UPRO/TMF @ 21d,3835,23.92,34.71,-64.36,0.79,0.37,26.1,HFEA 70/30 UPRO/TMF,21
HFEA 70/30 UPRO/TMF @ 10d,3835,23.92,34.71,-64.36,0.79,0.37,26.1,HFEA 70/30 UPRO/TMF,10
HFEA 70/30 UPRO/TMF @ 3d,3835,23.92,34.71,-64.36,0.79,0.37,26.1,HFEA 70/30 UPRO/TMF,3
3sleeve 60/20/20 UPRO/TMF/UGL @ 5d,3835,23.57,31.08,-57.11,0.84,0.41,25.0,3sleeve 60/20/20 UPRO/TMF/UGL,5
3sleeve 60/20/20 UPRO/TMF/UGL @ 10d,3835,23.57,31.08,-57.11,0.84,0.41,25.0,3sleeve 60/20/20 UPRO/TMF/UGL,10
3sleeve 60/20/20 UPRO/TMF/UGL @ 3d,3835,23.57,31.08,-57.11,0.84,0.41,25.0,3sleeve 60/20/20 UPRO/TMF/UGL,3
3sleeve 60/20/20 UPRO/TMF/UGL @ 21d,3835,23.57,31.08,-57.11,0.84,0.41,25.0,3sleeve 60/20/20 UPRO/TMF/UGL,21
3sleeve 40/40/20 TQQQ/TMF/UGL @ 21d,3835,23.06,29.17,-67.91,0.86,0.34,23.5,3sleeve 40/40/20 TQQQ/TMF/UGL,21
3sleeve 40/40/20 TQQQ/TMF/UGL @ 10d,3835,23.06,29.17,-67.91,0.86,0.34,23.5,3sleeve 40/40/20 TQQQ/TMF/UGL,10
3sleeve 40/40/20 TQQQ/TMF/UGL @ 3d,3835,23.06,29.17,-67.91,0.86,0.34,23.5,3sleeve 40/40/20 TQQQ/TMF/UGL,3
3sleeve 40/40/20 TQQQ/TMF/UGL @ 5d,3835,23.06,29.17,-67.91,0.86,0.34,23.5,3sleeve 40/40/20 TQQQ/TMF/UGL,5
3sleeve 60/30/10 UPRO/TMF/UGL @ 3d,3835,22.72,30.65,-61.26,0.82,0.37,22.6,3sleeve 60/30/10 UPRO/TMF/UGL,3
3sleeve 60/30/10 UPRO/TMF/UGL @ 10d,3835,22.72,30.65,-61.26,0.82,0.37,22.6,3sleeve 60/30/10 UPRO/TMF/UGL,10
3sleeve 60/30/10 UPRO/TMF/UGL @ 5d,3835,22.72,30.65,-61.26,0.82,0.37,22.6,3sleeve 60/30/10 UPRO/TMF/UGL,5
3sleeve 60/30/10 UPRO/TMF/UGL @ 21d,3835,22.72,30.65,-61.26,0.82,0.37,22.6,3sleeve 60/30/10 UPRO/TMF/UGL,21
UPRO/UGL 50/50 @ 10d,3835,22.67,31.26,-49.92,0.81,0.45,22.4,UPRO/UGL 50/50,10
UPRO/UGL 50/50 @ 21d,3835,22.67,31.26,-49.92,0.81,0.45,22.4,UPRO/UGL 50/50,21
UPRO/UGL 50/50 @ 3d,3835,22.67,31.26,-49.92,0.81,0.45,22.4,UPRO/UGL 50/50,3
UPRO/UGL 50/50 @ 5d,3835,22.67,31.26,-49.92,0.81,0.45,22.4,UPRO/UGL 50/50,5
4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL @ 3d,3835,22.57,27.06,-54.92,0.89,0.41,22.1,4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL,3
4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL @ 10d,3835,22.57,27.06,-54.92,0.89,0.41,22.1,4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL,10
4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL @ 5d,3835,22.57,27.06,-54.92,0.89,0.41,22.1,4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL,5
4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL @ 21d,3835,22.57,27.06,-54.92,0.89,0.41,22.1,4sleeve 20/20/20/40 UPRO/TQQQ/TMF/UGL,21
3sleeve 50/10/40 UPRO/TMF/UGL @ 10d,3835,22.45,29.18,-48.78,0.84,0.46,21.8,3sleeve 50/10/40 UPRO/TMF/UGL,10
3sleeve 50/10/40 UPRO/TMF/UGL @ 3d,3835,22.45,29.18,-48.78,0.84,0.46,21.8,3sleeve 50/10/40 UPRO/TMF/UGL,3
3sleeve 50/10/40 UPRO/TMF/UGL @ 21d,3835,22.45,29.18,-48.78,0.84,0.46,21.8,3sleeve 50/10/40 UPRO/TMF/UGL,21
3sleeve 50/10/40 UPRO/TMF/UGL @ 5d,3835,22.45,29.18,-48.78,0.84,0.46,21.8,3sleeve 50/10/40 UPRO/TMF/UGL,5
theme4 SSO/TECL/TMF/UGL 25/25/25/25 @ 21d,3835,22.44,26.9,-56.48,0.89,0.4,21.8,theme4 SSO/TECL/TMF/UGL 25/25/25/25,21
theme4 SSO/TECL/TMF/UGL 25/25/25/25 @ 5d,3835,22.44,26.9,-56.48,0.89,0.4,21.8,theme4 SSO/TECL/TMF/UGL 25/25/25/25,5
theme4 SSO/TECL/TMF/UGL 25/25/25/25 @ 10d,3835,22.44,26.9,-56.48,0.89,0.4,21.8,theme4 SSO/TECL/TMF/UGL 25/25/25/25,10
theme4 SSO/TECL/TMF/UGL 25/25/25/25 @ 3d,3835,22.44,26.9,-56.48,0.89,0.4,21.8,theme4 SSO/TECL/TMF/UGL 25/25/25/25,3
theme4 SSO/TQQQ/TMF/UGL 25/25/25/25 @ 10d,3835,22.4,26.13,-57.84,0.9,0.39,21.7,theme4 SSO/TQQQ/TMF/UGL 25/25/25/25,10
theme4 SSO/TQQQ/TMF/UGL 25/25/25/25 @ 3d,3835,22.4,26.13,-57.84,0.9,0.39,21.7,theme4 SSO/TQQQ/TMF/UGL 25/25/25/25,3
theme4 SSO/TECL/UBT/UGL 25/25/25/25 @ 3d,3835,22.4,26.11,-51.62,0.91,0.43,21.7,theme4 SSO/TECL/UBT/UGL 25/25/25/25,3
theme4 SSO/TECL/UBT/UGL 25/25/25/25 @ 5d,3835,22.4,26.11,-51.62,0.91,0.43,21.7,theme4 SSO/TECL/UBT/UGL 25/25/25/25,5
theme4 SSO/TECL/UBT/UGL 25/25/25/25 @ 21d,3835,22.4,26.11,-51.62,0.91,0.43,21.7,theme4 SSO/TECL/UBT/UGL 25/25/25/25,21
theme4 SSO/TECL/UBT/UGL 25/25/25/25 @ 10d,3835,22.4,26.11,-51.62,0.91,0.43,21.7,theme4 SSO/TECL/UBT/UGL 25/25/25/25,10
theme4 SSO/TQQQ/TMF/UGL 25/25/25/25 @ 21d,3835,22.4,26.13,-57.84,0.9,0.39,21.7,theme4 SSO/TQQQ/TMF/UGL 25/25/25/25,21
theme4 SSO/TQQQ/TMF/UGL 25/25/25/25 @ 5d,3835,22.4,26.13,-57.84,0.9,0.39,21.7,theme4 SSO/TQQQ/TMF/UGL 25/25/25/25,5
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 @ 5d,3835,22.37,25.27,-52.81,0.93,0.42,21.6,theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,5
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 @ 10d,3835,22.37,25.27,-52.81,0.93,0.42,21.6,theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,10
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 @ 21d,3835,22.37,25.27,-52.81,0.93,0.42,21.6,theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,21
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 @ 3d,3835,22.37,25.27,-52.81,0.93,0.42,21.6,theme4 SSO/TQQQ/UBT/UGL 25/25/25/25,3
theme4 SSO/TECL/TYD/UGL 25/25/25/25 @ 3d,3835,22.11,26.29,-49.19,0.89,0.45,20.9,theme4 SSO/TECL/TYD/UGL 25/25/25/25,3
theme4 SSO/TECL/TYD/UGL 25/25/25/25 @ 21d,3835,22.11,26.29,-49.19,0.89,0.45,20.9,theme4 SSO/TECL/TYD/UGL 25/25/25/25,21
theme4 SSO/TECL/TYD/UGL 25/25/25/25 @ 10d,3835,22.11,26.29,-49.19,0.89,0.45,20.9,theme4 SSO/TECL/TYD/UGL 25/25/25/25,10
theme4 SSO/TECL/TYD/UGL 25/25/25/25 @ 5d,3835,22.11,26.29,-49.19,0.89,0.45,20.9,theme4 SSO/TECL/TYD/UGL 25/25/25/25,5
theme4 SSO/TQQQ/TYD/UGL 25/25/25/25 @ 10d,3835,22.09,25.43,-50.25,0.91,0.44,20.9,theme4 SSO/TQQQ/TYD/UGL 25/25/25/25,10
theme4 SSO/TQQQ/TYD/UGL 25/25/25/25 @ 5d,3835,22.09,25.43,-50.25,0.91,0.44,20.9,theme4 SSO/TQQQ/TYD/UGL 25/25/25/25,5
theme4 SSO/TQQQ/TYD/UGL 25/25/25/25 @ 3d,3835,22.09,25.43,-50.25,0.91,0.44,20.9,theme4 SSO/TQQQ/TYD/UGL 25/25/25/25,3
theme4 SSO/TQQQ/TYD/UGL 25/25/25/25 @ 21d,3835,22.09,25.43,-50.25,0.91,0.44,20.9,theme4 SSO/TQQQ/TYD/UGL 25/25/25/25,21
3sleeve 30/10/60 TQQQ/TMF/UGL @ 3d,3835,21.94,28.28,-50.98,0.84,0.43,20.5,3sleeve 30/10/60 TQQQ/TMF/UGL,3
3sleeve 30/10/60 TQQQ/TMF/UGL @ 5d,3835,21.94,28.28,-50.98,0.84,0.43,20.5,3sleeve 30/10/60 TQQQ/TMF/UGL,5
3sleeve 30/10/60 TQQQ/TMF/UGL @ 21d,3835,21.94,28.28,-50.98,0.84,0.43,20.5,3sleeve 30/10/60 TQQQ/TMF/UGL,21
3sleeve 30/10/60 TQQQ/TMF/UGL @ 10d,3835,21.94,28.28,-50.98,0.84,0.43,20.5,3sleeve 30/10/60 TQQQ/TMF/UGL,10
3sleeve 50/20/30 UPRO/TMF/UGL @ 10d,3835,21.92,27.82,-53.58,0.85,0.41,20.4,3sleeve 50/20/30 UPRO/TMF/UGL,10
3sleeve 50/20/30 UPRO/TMF/UGL @ 21d,3835,21.92,27.82,-53.58,0.85,0.41,20.4,3sleeve 50/20/30 UPRO/TMF/UGL,21
3sleeve 50/20/30 UPRO/TMF/UGL @ 5d,3835,21.92,27.82,-53.58,0.85,0.41,20.4,3sleeve 50/20/30 UPRO/TMF/UGL,5
3sleeve 50/20/30 UPRO/TMF/UGL @ 3d,3835,21.92,27.82,-53.58,0.85,0.41,20.4,3sleeve 50/20/30 UPRO/TMF/UGL,3
3sleeve 40/50/10 TQQQ/TMF/UGL @ 5d,3835,21.61,30.37,-71.28,0.8,0.3,19.6,3sleeve 40/50/10 TQQQ/TMF/UGL,5
3sleeve 40/50/10 TQQQ/TMF/UGL @ 10d,3835,21.61,30.37,-71.28,0.8,0.3,19.6,3sleeve 40/50/10 TQQQ/TMF/UGL,10
3sleeve 40/50/10 TQQQ/TMF/UGL @ 21d,3835,21.61,30.37,-71.28,0.8,0.3,19.6,3sleeve 40/50/10 TQQQ/TMF/UGL,21
3sleeve 40/50/10 TQQQ/TMF/UGL @ 3d,3835,21.61,30.37,-71.28,0.8,0.3,19.6,3sleeve 40/50/10 TQQQ/TMF/UGL,3
HFEA 60/40 UPRO/TMF @ 3d,3835,21.58,31.01,-66.11,0.79,0.33,19.6,HFEA 60/40 UPRO/TMF,3
HFEA 60/40 UPRO/TMF @ 21d,3835,21.58,31.01,-66.11,0.79,0.33,19.6,HFEA 60/40 UPRO/TMF,21
HFEA 60/40 UPRO/TMF @ 10d,3835,21.58,31.01,-66.11,0.79,0.33,19.6,HFEA 60/40 UPRO/TMF,10
HFEA 60/40 UPRO/TMF @ 5d,3835,21.58,31.01,-66.11,0.79,0.33,19.6,HFEA 60/40 UPRO/TMF,5
3sleeve 30/20/50 TQQQ/TMF/UGL @ 21d,3835,21.41,26.88,-55.57,0.86,0.39,19.2,3sleeve 30/20/50 TQQQ/TMF/UGL,21
3sleeve 30/20/50 TQQQ/TMF/UGL @ 5d,3835,21.41,26.88,-55.57,0.86,0.39,19.2,3sleeve 30/20/50 TQQQ/TMF/UGL,5
3sleeve 30/20/50 TQQQ/TMF/UGL @ 3d,3835,21.41,26.88,-55.57,0.86,0.39,19.2,3sleeve 30/20/50 TQQQ/TMF/UGL,3
3sleeve 30/20/50 TQQQ/TMF/UGL @ 10d,3835,21.41,26.88,-55.57,0.86,0.39,19.2,3sleeve 30/20/50 TQQQ/TMF/UGL,10
theme4 UPRO/QLD/TMF/UGL 25/25/25/25 @ 21d,3835,21.38,25.36,-55.74,0.89,0.38,19.1,theme4 UPRO/QLD/TMF/UGL 25/25/25/25,21
theme4 UPRO/QLD/TMF/UGL 25/25/25/25 @ 5d,3835,21.38,25.36,-55.74,0.89,0.38,19.1,theme4 UPRO/QLD/TMF/UGL 25/25/25/25,5
theme4 UPRO/QLD/TMF/UGL 25/25/25/25 @ 3d,3835,21.38,25.36,-55.74,0.89,0.38,19.1,theme4 UPRO/QLD/TMF/UGL 25/25/25/25,3
theme4 UPRO/QLD/TMF/UGL 25/25/25/25 @ 10d,3835,21.38,25.36,-55.74,0.89,0.38,19.1,theme4 UPRO/QLD/TMF/UGL 25/25/25/25,10
theme4 UPRO/QLD/UBT/UGL 25/25/25/25 @ 21d,3835,21.34,24.51,-50.62,0.91,0.42,19.0,theme4 UPRO/QLD/UBT/UGL 25/25/25/25,21
theme4 UPRO/QLD/UBT/UGL 25/25/25/25 @ 5d,3835,21.34,24.51,-50.62,0.91,0.42,19.0,theme4 UPRO/QLD/UBT/UGL 25/25/25/25,5
theme4 UPRO/QLD/UBT/UGL 25/25/25/25 @ 3d,3835,21.34,24.51,-50.62,0.91,0.42,19.0,theme4 UPRO/QLD/UBT/UGL 25/25/25/25,3
theme4 UPRO/QLD/UBT/UGL 25/25/25/25 @ 10d,3835,21.34,24.51,-50.62,0.91,0.42,19.0,theme4 UPRO/QLD/UBT/UGL 25/25/25/25,10
100% SSO @ 10d,3835,21.17,34.25,-59.34,0.73,0.36,18.6,100% SSO,10
100% SSO @ 5d,3835,21.17,34.25,-59.34,0.73,0.36,18.6,100% SSO,5
100% SSO @ 3d,3835,21.17,34.25,-59.34,0.73,0.36,18.6,100% SSO,3
100% SSO @ 21d,3835,21.17,34.25,-59.34,0.73,0.36,18.6,100% SSO,21
3sleeve 50/30/20 UPRO/TMF/UGL @ 3d,3835,21.09,27.31,-58.4,0.84,0.36,18.4,3sleeve 50/30/20 UPRO/TMF/UGL,3
3sleeve 50/30/20 UPRO/TMF/UGL @ 10d,3835,21.09,27.31,-58.4,0.84,0.36,18.4,3sleeve 50/30/20 UPRO/TMF/UGL,10
3sleeve 50/30/20 UPRO/TMF/UGL @ 21d,3835,21.09,27.31,-58.4,0.84,0.36,18.4,3sleeve 50/30/20 UPRO/TMF/UGL,21
3sleeve 50/30/20 UPRO/TMF/UGL @ 5d,3835,21.09,27.31,-58.4,0.84,0.36,18.4,3sleeve 50/30/20 UPRO/TMF/UGL,5
theme4 UPRO/QLD/TYD/UGL 25/25/25/25 @ 21d,3835,21.06,24.7,-48.14,0.9,0.44,18.3,theme4 UPRO/QLD/TYD/UGL 25/25/25/25,21
theme4 UPRO/QLD/TYD/UGL 25/25/25/25 @ 3d,3835,21.06,24.7,-48.14,0.9,0.44,18.3,theme4 UPRO/QLD/TYD/UGL 25/25/25/25,3
theme4 UPRO/QLD/TYD/UGL 25/25/25/25 @ 5d,3835,21.06,24.7,-48.14,0.9,0.44,18.3,theme4 UPRO/QLD/TYD/UGL 25/25/25/25,5
theme4 UPRO/QLD/TYD/UGL 25/25/25/25 @ 10d,3835,21.06,24.7,-48.14,0.9,0.44,18.3,theme4 UPRO/QLD/TYD/UGL 25/25/25/25,10
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL @ 3d,3835,20.62,26.92,-63.69,0.83,0.32,17.3,4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,3
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL @ 5d,3835,20.62,26.92,-63.69,0.83,0.32,17.3,4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,5
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL @ 10d,3835,20.62,26.92,-63.69,0.83,0.32,17.3,4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,10
4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL @ 21d,3835,20.62,26.92,-63.69,0.83,0.32,17.3,4sleeve 20/20/40/20 UPRO/TQQQ/TMF/UGL,21
3sleeve 30/30/40 TQQQ/TMF/UGL @ 21d,3835,20.6,26.34,-59.85,0.84,0.34,17.3,3sleeve 30/30/40 TQQQ/TMF/UGL,21
3sleeve 30/30/40 TQQQ/TMF/UGL @ 3d,3835,20.6,26.34,-59.85,0.84,0.34,17.3,3sleeve 30/30/40 TQQQ/TMF/UGL,3
3sleeve 30/30/40 TQQQ/TMF/UGL @ 5d,3835,20.6,26.34,-59.85,0.84,0.34,17.3,3sleeve 30/30/40 TQQQ/TMF/UGL,5
3sleeve 30/30/40 TQQQ/TMF/UGL @ 10d,3835,20.6,26.34,-59.85,0.84,0.34,17.3,3sleeve 30/30/40 TQQQ/TMF/UGL,10
UPRO/UGL 40/60 @ 21d,3835,20.57,29.33,-44.01,0.79,0.47,17.2,UPRO/UGL 40/60,21
UPRO/UGL 40/60 @ 5d,3835,20.57,29.33,-44.01,0.79,0.47,17.2,UPRO/UGL 40/60,5
UPRO/UGL 40/60 @ 3d,3835,20.57,29.33,-44.01,0.79,0.47,17.2,UPRO/UGL 40/60,3
UPRO/UGL 40/60 @ 10d,3835,20.57,29.33,-44.01,0.79,0.47,17.2,UPRO/UGL 40/60,10
3sleeve 40/10/50 UPRO/TMF/UGL @ 3d,3835,20.36,27.07,-44.95,0.82,0.45,16.8,3sleeve 40/10/50 UPRO/TMF/UGL,3
3sleeve 40/10/50 UPRO/TMF/UGL @ 21d,3835,20.36,27.07,-44.95,0.82,0.45,16.8,3sleeve 40/10/50 UPRO/TMF/UGL,21
3sleeve 40/10/50 UPRO/TMF/UGL @ 10d,3835,20.36,27.07,-44.95,0.82,0.45,16.8,3sleeve 40/10/50 UPRO/TMF/UGL,10
3sleeve 40/10/50 UPRO/TMF/UGL @ 5d,3835,20.36,27.07,-44.95,0.82,0.45,16.8,3sleeve 40/10/50 UPRO/TMF/UGL,5
3sleeve 50/40/10 UPRO/TMF/UGL @ 5d,3835,19.98,27.68,-63.05,0.8,0.32,16.0,3sleeve 50/40/10 UPRO/TMF/UGL,5
3sleeve 50/40/10 UPRO/TMF/UGL @ 10d,3835,19.98,27.68,-63.05,0.8,0.32,16.0,3sleeve 50/40/10 UPRO/TMF/UGL,10
3sleeve 50/40/10 UPRO/TMF/UGL @ 21d,3835,19.98,27.68,-63.05,0.8,0.32,16.0,3sleeve 50/40/10 UPRO/TMF/UGL,21
3sleeve 50/40/10 UPRO/TMF/UGL @ 3d,3835,19.98,27.68,-63.05,0.8,0.32,16.0,3sleeve 50/40/10 UPRO/TMF/UGL,3
HFEA-Tech 40/60 TQQQ/TMF @ 3d,3835,19.89,32.29,-74.93,0.72,0.27,15.8,HFEA-Tech 40/60 TQQQ/TMF,3
HFEA-Tech 40/60 TQQQ/TMF @ 21d,3835,19.89,32.29,-74.93,0.72,0.27,15.8,HFEA-Tech 40/60 TQQQ/TMF,21
HFEA-Tech 40/60 TQQQ/TMF @ 10d,3835,19.89,32.29,-74.93,0.72,0.27,15.8,HFEA-Tech 40/60 TQQQ/TMF,10
HFEA-Tech 40/60 TQQQ/TMF @ 5d,3835,19.89,32.29,-74.93,0.72,0.27,15.8,HFEA-Tech 40/60 TQQQ/TMF,5
3sleeve 40/20/40 UPRO/TMF/UGL @ 21d,3835,19.86,25.57,-50.36,0.84,0.39,15.7,3sleeve 40/20/40 UPRO/TMF/UGL,21
3sleeve 40/20/40 UPRO/TMF/UGL @ 3d,3835,19.86,25.57,-50.36,0.84,0.39,15.7,3sleeve 40/20/40 UPRO/TMF/UGL,3
3sleeve 40/20/40 UPRO/TMF/UGL @ 10d,3835,19.86,25.57,-50.36,0.84,0.39,15.7,3sleeve 40/20/40 UPRO/TMF/UGL,10
3sleeve 40/20/40 UPRO/TMF/UGL @ 5d,3835,19.86,25.57,-50.36,0.84,0.39,15.7,3sleeve 40/20/40 UPRO/TMF/UGL,5
3sleeve 30/40/30 TQQQ/TMF/UGL @ 5d,3835,19.49,26.71,-63.83,0.8,0.31,15.0,3sleeve 30/40/30 TQQQ/TMF/UGL,5
3sleeve 30/40/30 TQQQ/TMF/UGL @ 3d,3835,19.49,26.71,-63.83,0.8,0.31,15.0,3sleeve 30/40/30 TQQQ/TMF/UGL,3
3sleeve 30/40/30 TQQQ/TMF/UGL @ 21d,3835,19.49,26.71,-63.83,0.8,0.31,15.0,3sleeve 30/40/30 TQQQ/TMF/UGL,21
3sleeve 30/40/30 TQQQ/TMF/UGL @ 10d,3835,19.49,26.71,-63.83,0.8,0.31,15.0,3sleeve 30/40/30 TQQQ/TMF/UGL,10
theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25 @ 21d,3835,19.34,40.02,-61.76,0.64,0.31,14.7,theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25,21
theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25 @ 3d,3835,19.34,40.02,-61.76,0.64,0.31,14.7,theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25,3
theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25 @ 5d,3835,19.34,40.02,-61.76,0.64,0.31,14.7,theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25,5
theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25 @ 10d,3835,19.34,40.02,-61.76,0.64,0.31,14.7,theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25,10
theme4 UPRO/TECL/UBT/NUGT 25/25/25/25 @ 10d,3835,19.32,40.65,-60.51,0.64,0.32,14.7,theme4 UPRO/TECL/UBT/NUGT 25/25/25/25,10
theme4 UPRO/TECL/UBT/NUGT 25/25/25/25 @ 21d,3835,19.32,40.65,-60.51,0.64,0.32,14.7,theme4 UPRO/TECL/UBT/NUGT 25/25/25/25,21
theme4 UPRO/TECL/UBT/NUGT 25/25/25/25 @ 5d,3835,19.32,40.65,-60.51,0.64,0.32,14.7,theme4 UPRO/TECL/UBT/NUGT 25/25/25/25,5
theme4 UPRO/TECL/UBT/NUGT 25/25/25/25 @ 3d,3835,19.32,40.65,-60.51,0.64,0.32,14.7,theme4 UPRO/TECL/UBT/NUGT 25/25/25/25,3
theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25 @ 10d,3835,19.32,40.64,-65.67,0.64,0.29,14.7,theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25,10
theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25 @ 3d,3835,19.32,40.64,-65.67,0.64,0.29,14.7,theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25,3
theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25 @ 5d,3835,19.32,40.64,-65.67,0.64,0.29,14.7,theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25,5
theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25 @ 21d,3835,19.32,40.64,-65.67,0.64,0.29,14.7,theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25,21
theme4 UPRO/TECL/TMF/NUGT 25/25/25/25 @ 21d,3835,19.31,41.25,-64.51,0.64,0.3,14.7,theme4 UPRO/TECL/TMF/NUGT 25/25/25/25,21
theme4 UPRO/TECL/TMF/NUGT 25/25/25/25 @ 10d,3835,19.31,41.25,-64.51,0.64,0.3,14.7,theme4 UPRO/TECL/TMF/NUGT 25/25/25/25,10
theme4 UPRO/TECL/TMF/NUGT 25/25/25/25 @ 3d,3835,19.31,41.25,-64.51,0.64,0.3,14.7,theme4 UPRO/TECL/TMF/NUGT 25/25/25/25,3
theme4 UPRO/TECL/TMF/NUGT 25/25/25/25 @ 5d,3835,19.31,41.25,-64.51,0.64,0.3,14.7,theme4 UPRO/TECL/TMF/NUGT 25/25/25/25,5
3sleeve 40/30/30 UPRO/TMF/UGL @ 5d,3835,19.06,24.97,-55.55,0.82,0.34,14.2,3sleeve 40/30/30 UPRO/TMF/UGL,5
3sleeve 40/30/30 UPRO/TMF/UGL @ 3d,3835,19.06,24.97,-55.55,0.82,0.34,14.2,3sleeve 40/30/30 UPRO/TMF/UGL,3
3sleeve 40/30/30 UPRO/TMF/UGL @ 21d,3835,19.06,24.97,-55.55,0.82,0.34,14.2,3sleeve 40/30/30 UPRO/TMF/UGL,21
3sleeve 40/30/30 UPRO/TMF/UGL @ 10d,3835,19.06,24.97,-55.55,0.82,0.34,14.2,3sleeve 40/30/30 UPRO/TMF/UGL,10
theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25 @ 21d,3835,19.03,40.2,-59.97,0.64,0.32,14.2,theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25,21
theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25 @ 3d,3835,19.03,40.2,-59.97,0.64,0.32,14.2,theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25,3
theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25 @ 10d,3835,19.03,40.2,-59.97,0.64,0.32,14.2,theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25,10
theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25 @ 5d,3835,19.03,40.2,-59.97,0.64,0.32,14.2,theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25,5
theme4 UPRO/TECL/TYD/NUGT 25/25/25/25 @ 3d,3835,19.0,40.85,-58.98,0.63,0.32,14.1,theme4 UPRO/TECL/TYD/NUGT 25/25/25/25,3
theme4 UPRO/TECL/TYD/NUGT 25/25/25/25 @ 10d,3835,19.0,40.85,-58.98,0.63,0.32,14.1,theme4 UPRO/TECL/TYD/NUGT 25/25/25/25,10
