mom_lb,mode,w_eq,w_rt,w_ra,gross,trend_ma,is_sh,is_cagr,is_vol,is_mdd,full_sh,full_cagr,oos_sh,oos_cagr,turnover
63,invvol,0.4,0.4,0.2,1.0,200,0.9008447506685943,0.09792465675499784,0.11051243660603156,-0.16254817354388862,0.7695295284969088,0.08953041185706057,0.6431008414692898,0.079426447423945,17.332207605170794
126,invvol,0.5,0.3,0.2,1.25,200,0.9004288776819681,0.14235860876481987,0.16255593042483976,-0.17865339041212003,0.7921760272073022,0.13338946540739594,0.6897745783724062,0.12259598713030662,18.941394667678768
189,invvol,0.45,0.35,0.2,1.0,200,0.9001807497285977,0.1052460653699081,0.119075366491406,-0.1511628370787652,0.874886066534262,0.11202702032639422,0.8579472262363862,0.12031466479959319,16.417265450083924
63,invvol,0.45,0.35,0.2,1.75,200,0.900066799465853,0.17680144636618889,0.20417175456355086,-0.27478823672889907,0.7478621009848856,0.15391600868866795,0.6041949384150361,0.12673155741471565,24.042729535038895
252,invvol,0.6,0.25,0.15,1.75,200,0.8996125168633002,0.21469920218568372,0.2516236986200034,-0.35125862815535325,0.8247154601833391,0.2077303301817437,0.7556254388177545,0.1993242000762132,20.645184029041786
126,invvol,0.45,0.35,0.2,1.25,200,0.8984256343185438,0.13321211280318712,0.15213338233532744,-0.1744358000889391,0.7907911227793158,0.12469056401816503,0.6876976945996247,0.11443192844079975,19.227868800832773
63,invvol,0.45,0.35,0.2,1.5,200,0.8980973812415047,0.15231406063423858,0.17500315714245787,-0.2395603951037587,0.7497742803360842,0.13456022601281026,0.6099883723828521,0.11337520065989493,21.98367885673443
252,invvol,0.6,0.25,0.15,1.5,200,0.8974495216879358,0.18549265628235534,0.21567363306622436,-0.30763860450610503,0.8254719771930785,0.18137309568347937,0.7593470047041856,0.17639140340937898,19.257626658130498
126,invvol,0.5,0.3,0.2,1.0,200,0.8965024066642281,0.11414339321480216,0.13003576852131302,-0.14580256279727133,0.799736093548525,0.1093840756663913,0.708981160098839,0.1036338325320767,16.996177445701147
63,invvol,0.45,0.35,0.2,1.25,200,0.8958138864313426,0.1274456372597188,0.14583698223815342,-0.20309214496425765,0.7562438481521258,0.11503037660693338,0.6252228391357009,0.10014249290184374,19.64287634583534
252,invvol,0.6,0.25,0.15,1.25,200,0.8949819844009864,0.15558669553259263,0.17971966325385796,-0.2617317304803666,0.8284359974943094,0.15419139232508794,0.7678416665431635,0.15249983319124683,17.670819372456176
126,invvol,0.45,0.35,0.2,1.0,200,0.8942220551878008,0.10670775422103773,0.12169881074456267,-0.14242175150981284,0.7988918834655219,0.10219358439671011,0.7083609728657759,0.09673836165778815,17.225356752224346
252,invvol,0.6,0.25,0.15,1.0,200,0.8930306526349902,0.12525190053479585,0.14377221225669315,-0.21407654623024686,0.8380779756099569,0.12677887580795844,0.7893063887734211,0.1286353263037867,15.381967465233949
63,invvol,0.45,0.35,0.2,1.0,200,0.8927928365116232,0.10222018222093388,0.11667243168367525,-0.1652612864971943,0.7667993611008388,0.09479663210993539,0.6493582765541751,0.0858519979122816,17.158862958700325
189,invvol,0.4,0.4,0.2,1.75,200,0.8910919062106161,0.16800355737921224,0.1959312587619284,-0.24245387861778345,0.858504318290445,0.17438288336430485,0.8323660777131858,0.18217388072183005,23.277338639220996
126,invvol,0.4,0.4,0.2,1.75,200,0.8908863115990157,0.17184816346650278,0.20072632901780696,-0.2300299736106507,0.7738002150042521,0.15559260413133402,0.6585941655442377,0.13616194877169518,23.453386449211216
189,invvol,0.4,0.4,0.2,1.5,200,0.8890786386212839,0.14469425914822143,0.16793632225096425,-0.20953666891620293,0.8620438609730676,0.1517300352645503,0.8415737797768887,0.1603292264951517,21.210659143393464
126,invvol,0.4,0.4,0.2,1.5,200,0.8887711850065185,0.14802177128177196,0.17204185738103137,-0.20057411564219507,0.7765461123152669,0.1358652105531215,0.6663726795865992,0.12128065468860094,21.530563890371585
189,invvol,0.4,0.4,0.2,1.25,200,0.8866469768596644,0.12102685174453387,0.1399455765906462,-0.17627188643701164,0.8689844453056715,0.12878496443225318,0.8580849350512971,0.13827508014889411,18.918266853498412
126,invvol,0.4,0.4,0.2,1.25,200,0.8858296807181238,0.12375093810540361,0.1433582660668455,-0.17037661118787006,0.7818865087150397,0.11563912232914264,0.6802840178247221,0.10587046141966261,19.522126133782205
63,invvol,0.5,0.3,0.2,1.75,200,0.8838930058936381,0.18311990179476267,0.2170731184035515,-0.2799373328981266,0.7424195661576488,0.16178641218452028,0.6119274733884268,0.13640496792100487,23.603170407295526
189,invvol,0.4,0.4,0.2,1.0,200,0.883542662942436,0.0970516129611032,0.11195845376352276,-0.14262336386103192,0.880105113141251,0.10534422167016522,0.883732620955313,0.1154952819946593,16.50445664679464
63,invvol,0.5,0.3,0.2,1.5,200,0.8819964393746444,0.15799674871077696,0.18605972158965636,-0.24398490081596358,0.7437188619710343,0.1416073289425086,0.6163844421041099,0.12202285492303044,21.64738652903349
126,invvol,0.4,0.4,0.2,1.0,200,0.8813577958362704,0.09907916690474261,0.11468003387674686,-0.13914695648385556,0.7905297213797685,0.09478627933658323,0.7024809338470357,0.08959747121144157,17.4607626185839
252,invvol,0.5,0.3,0.2,1.75,200,0.8805917146029464,0.18789805498060597,0.22426538366824908,-0.32302883799568516,0.8426270117011512,0.1929422235534004,0.811197494082929,0.19909436414382786,21.71114732935282
63,invvol,0.5,0.3,0.2,1.25,200,0.8797568256112711,0.13237798329190298,0.15504852409778047,-0.20691545009866374,0.7487874493142532,0.12104334563403896,0.628688026613169,0.10743605875976492,19.430087137644968
252,invvol,0.5,0.3,0.2,1.5,200,0.8783142293098082,0.16212642455107407,0.19221855019484094,-0.2819122234429752,0.8434660397887702,0.16781854466368817,0.8152032561841334,0.17476595031873887,20.248029599237782
63,invvol,0.5,0.3,0.2,1.0,200,0.8769244989805436,0.10632472223927159,0.12404040961048356,-0.16887670957798528,0.7586571779414679,0.0998569721977296,0.6511231558782973,0.09205626223775609,16.988631592148025
252,invvol,0.5,0.3,0.2,1.25,200,0.8760342526601173,0.13590208766872425,0.16017692651364387,-0.23919924293760864,0.8487931080969883,0.14262228099918794,0.8282791760544042,0.1508336829074688,18.227634763769867
252,invvol,0.5,0.3,0.2,1.0,200,0.8741953055366071,0.10934688550340499,0.12813964488934068,-0.1951738378986413,0.8597811340228919,0.11704149421974597,0.8523451322275685,0.12645409033599742,15.77760729959414
189,invvol,0.5,0.25,0.25,1.75,200,0.873795146766876,0.19041311785967685,0.22990954057825966,-0.27248988342019265,0.8360352295611446,0.19932324886657327,0.8095757041460521,0.21022933598714122,22.56899295487484
252,invvol,0.45,0.35,0.2,1.75,200,0.8730917209454743,0.17462190271010747,0.2096614385742286,-0.3060247411399444,0.8500027583063278,0.182516736101896,0.8326297636138873,0.1921719782873026,22.18152990029287
126,invvol,0.5,0.25,0.25,1.75,200,0.8727292032291324,0.19442754392963257,0.2355377868532964,-0.266239902387298,0.7863891725020186,0.18553924626420804,0.7076058063813968,0.17483816658897022,22.629213729356174
189,invvol,0.5,0.25,0.25,1.5,200,0.8717661902454561,0.16446191289332868,0.197052434237582,-0.2362255250601646,0.8368117287698764,0.1736020751226539,0.8130961565694643,0.18479420276804182,20.95486157614765
252,invvol,0.45,0.35,0.2,1.5,200,0.8708301054510509,0.15056963951085,0.17970209422078914,-0.2666139925266504,0.8516235771246098,0.15863087246201224,0.8382415985384066,0.1684927101034268,20.543806502866587
126,invvol,0.5,0.25,0.25,1.5,200,0.8707219960871065,0.16800602329811598,0.20187755007233724,-0.23235890859839026,0.7871882441592646,0.16212068509525368,0.7112289052644029,0.15501603784246765,20.95310886996298
189,invvol,0.5,0.25,0.25,1.25,200,0.8693272859371687,0.1379121027982786,0.16420195955801803,-0.19921277074909416,0.839805674743847,0.14725013261438935,0.82141038319664,0.1586890343521432,19.06442660468265
252,invvol,0.45,0.35,0.2,1.25,200,0.8687409895718311,0.12617342096974138,0.14974854544484145,-0.2258338966653547,0.8587931417241249,0.1349072149027053,0.854946167350468,0.1456006404508028,18.295101921498947
126,invvol,0.5,0.25,0.25,1.25,200,0.8680145932836671,0.14088317111796123,0.1682201135254421,-0.1973684384682759,0.7897034548027952,0.13786014749412834,0.7189942151878561,0.13420112178444588,19.17193081333146
252,invvol,0.45,0.35,0.2,1.0,200,0.8667694495932428,0.10145185792461153,0.11979754987909817,-0.18398119127671375,0.8706123187350117,0.11062456161456358,0.8809737355495845,0.12186244209709307,15.831581025777405
189,invvol,0.5,0.25,0.25,1.0,200,0.8666737878533192,0.11091300295755602,0.13136477544851646,-0.16151543151877046,0.8490643800576373,0.12073446833796408,0.8423494146426291,0.13277395492047783,16.62138444774203
126,invvol,0.5,0.25,0.25,1.0,200,0.8642101762179963,0.11315985660675532,0.13456836100388628,-0.16135854231622693,0.7969679876944218,0.11312162662901781,0.7373778622638265,0.11307521926033459,17.180606362223305
63,invvol,0.6,0.25,0.15,1.75,200,0.861569387966926,0.19582225401460351,0.2417249364682862,-0.305906704508767,0.7183459929385798,0.169551397412826,0.5854866753385408,0.13843433783632775,22.459830220268284
63,invvol,0.35,0.35,0.3,1.75,200,0.861448170764268,0.160006302597691,0.19432565152687845,-0.26625022022792,0.7430796562257908,0.14862353008304918,0.6394205570285229,0.13495544941851279,25.414488934547652
63,invvol,0.6,0.25,0.15,1.5,200,0.8594820212048614,0.16938071935271393,0.20719513591451333,-0.2671025810451988,0.7193501092196375,0.14910498754866808,0.5895389016935261,0.12496318128147998,20.66804778584975
63,invvol,0.35,0.35,0.3,1.5,200,0.8591708490115336,0.13788219444735939,0.16656136904032406,-0.23209465402322138,0.7447093287303392,0.12981363104300248,0.6448350352660103,0.12009567411810163,23.20750608933659
63,invvol,0.5,0.25,0.25,1.75,200,0.8580699338966287,0.1812981318108482,0.223464587273367,-0.28851416191746515,0.742856803547531,0.16758092336166786,0.6418737323920641,0.15114284040711023,23.892687738171176
63,invvol,0.6,0.25,0.15,1.25,200,0.8573486290346999,0.14228951479531315,0.17265753706400291,-0.22696947842974158,0.7225914355587176,0.12770579691593964,0.598107820963356,0.11025192629550151,18.71515311566579
63,invvol,0.35,0.35,0.3,1.25,200,0.8569282270486548,0.11546412029127162,0.13880428782647813,-0.19666739250490173,0.7514200653291595,0.11097492431189471,0.6602349442119582,0.10554955359339657,20.639382773617523
63,invvol,0.5,0.25,0.25,1.5,200,0.8563193581451984,0.156689160482814,0.1915351887724965,-0.25171638774816285,0.7441359725569817,0.1468473918821429,0.6460947018799514,0.1350124761296423,21.88487013863603
252,invvol,0.4,0.4,0.2,1.75,200,0.855391485622606,0.1607790216991707,0.19713801284035837,-0.2893167610905739,0.8516896854606568,0.1714111513724217,0.8529276296236246,0.18444893542207952,22.651134151253373
252,invvol,0.5,0.25,0.25,1.75,200,0.8550956989555033,0.1860871697614559,0.2309593750328595,-0.3289262123942479,0.8322338551717778,0.19672011338842532,0.8178312513729132,0.2097561092050617,21.951926004745914
126,best,0.5,0.3,0.2,1.75,200,0.854777043902174,0.2668052683755986,0.3478679973331712,-0.4195084131006461,0.6694963101264165,0.19187094777904123,0.4611350475835232,0.10683575361180497,25.40669909222639
63,invvol,0.6,0.25,0.15,1.0,200,0.8547318974759127,0.11457253759409114,0.1381252862316779,-0.18545078840971518,0.7314444874232618,0.10571678976649812,0.6183278871678047,0.09506088913169997,16.429137494237374
63,invvol,0.5,0.25,0.25,1.25,200,0.8540986606481147,0.13146708175589739,0.15960906309364378,-0.21369723277096275,0.7476255159572736,0.12533716505167658,0.6551303827178226,0.11794038682421193,19.71360534339683
63,invvol,0.35,0.35,0.3,1.0,200,0.8537234029156828,0.09266075892781833,0.11105040068664186,-0.16009587029977024,0.7622833875402903,0.09147334512251692,0.6847433276833479,0.09003362263435188,17.956068100926064
252,invvol,0.4,0.4,0.2,1.5,200,0.8534992794712709,0.13867890930189097,0.16897104386931364,-0.251326018008188,0.8556382339884671,0.1492658142900527,0.8629894524146409,0.1622501076525238,20.629437012018748
126,best,0.5,0.3,0.2,1.5,200,0.8534330229063005,0.23341195304428597,0.29816178669110416,-0.36810339502526335,0.6700884653872937,0.17198535558141304,0.46392712255984536,0.10151297077976396,23.323136506989428
252,invvol,0.5,0.25,0.25,1.5,200,0.8529313084826182,0.16083685142270143,0.1979548973120151,-0.2869985742225649,0.8330635937983619,0.17135817931558184,0.8216505143367596,0.18425873353574085,20.443737218426705
126,best,0.5,0.3,0.2,1.25,200,0.8516681254229757,0.19793256344882626,0.24845754088878055,-0.3138926058833873,0.6727539908254037,0.1498535054131227,0.47160909771786347,0.09407371862038927,21.06523024633481
63,invvol,0.5,0.25,0.25,1.0,200,0.8513433810645401,0.10574092354119968,0.12768947075945855,-0.17447209387718166,0.757106742188391,0.10345053437389784,0.6765014130042623,0.10067649970995096,17.21544615674951
252,invvol,0.4,0.4,0.2,1.25,200,0.8512745124089162,0.116172806116702,0.14080642995221637,-0.21247903546744296,0.8633314342793043,0.12685397184259228,0.8810676359321234,0.13995777938772536,18.366460679125744
252,invvol,0.5,0.25,0.25,1.25,200,0.8505883560766909,0.13500376585199203,0.16495479459697468,-0.24358180876226565,0.836429419812213,0.14543584021627032,0.8307285630546976,0.1582287495295025,18.596979241006228
252,invvol,0.4,0.4,0.2,1.0,200,0.8491722338822942,0.09339046185877575,0.11264456480158458,-0.17279759891190616,0.8760130131199557,0.10400001722114927,0.9092358039743013,0.11701788378712741,15.888668031878845
126,best,0.5,0.3,0.2,1.0,200,0.8490932638859493,0.16059323996534247,0.19875794319907464,-0.25711175435395994,0.677983299652976,0.12538388678921009,0.485653457610639,0.08407390357716116,18.695245908625978
252,invvol,0.5,0.25,0.25,1.0,200,0.8487932577310041,0.10878347131416355,0.13196334649966623,-0.19877934834031008,0.8469896007112888,0.11947153673091981,0.8536760401897375,0.1325848156350251,16.07308288138323
126,best,0.45,0.35,0.2,1.75,200,0.8364769446877726,0.24832030941380046,0.3309507151803359,-0.4259194330854823,0.6548877043623126,0.17880474851352446,0.44801806847018516,0.09959776295509748,25.79080000213092
126,best,0.45,0.35,0.2,1.5,200,0.8350983307024654,0.21710556430074823,0.28366167162518074,-0.37414671035769964,0.6558109037631606,0.16005792074731207,0.451584195190933,0.0943862504647881,23.622789699113532
126,best,0.45,0.35,0.2,1.25,200,0.8333111843798361,0.1840327195584437,0.23637503402471863,-0.3194162555257819,0.6592226624683624,0.13943994429897932,0.4609469932333927,0.08755745600799147,21.265647641067165
126,best,0.45,0.35,0.2,1.0,200,0.8305995643654082,0.1492599119537612,0.1890929283187947,-0.2619446621794064,0.6647452665586822,0.1165855007146388,0.47587753450121834,0.07816632315414784,18.855579824411862
63,best,0.6,0.25,0.15,1.75,200,0.8291459224418595,0.25080470386840803,0.3404747632865924,-0.47357117532594273,0.6261389414438462,0.17785487798041832,0.43002276626224734,0.09499102078118393,25.474802090436413
63,best,0.6,0.25,0.15,1.5,200,0.8276718705322476,0.21969653476875828,0.2918351473435125,-0.42034997531214835,0.6268603264624093,0.16117086716788087,0.43293880749375996,0.09388460983484559,23.252309388851003
63,best,0.6,0.25,0.15,1.25,200,0.8261680051485775,0.1866425118341506,0.24318751333460664,-0.36281307644080407,0.6291823904120224,0.14169907257576364,0.43910569250928405,0.089421371058797,20.868704451500168
63,best,0.6,0.25,0.15,1.0,200,0.824328438238187,0.15180097270478,0.19454493210551957,-0.30083127473696525,0.6355224275896028,0.11990559980570725,0.45365388836510634,0.08237087959299272,18.151978562904873
126,invvol,0.35,0.35,0.3,1.75,200,0.8093074081566207,0.1544217785179678,0.20301111075129805,-0.25626485034138347,0.7570796211788431,0.15545943102417903,0.71261468947566,0.15672033869549806,24.35401644729003
126,best,0.4,0.4,0.2,1.75,200,0.8077270036602652,0.22846037817967457,0.31733407363218696,-0.4324429383476849,0.6326305127776988,0.164295305034585,0.42976673766705054,0.09088914556118266,26.185797391749063
126,invvol,0.35,0.35,0.3,1.5,200,0.8069719821773992,0.13338988278615482,0.1740001913544559,-0.22369772939452415,0.758187563656798,0.1356240897354981,0.7171689659104438,0.13834221581325457,22.40193504039793
126,best,0.4,0.4,0.2,1.5,200,0.8063853927097543,0.19985787849313752,0.2719916558501184,-0.3802782429384808,0.6344729906073487,0.1472883967713381,0.43531323912895603,0.08655721861873422,23.872630412546883
63,best,0.45,0.35,0.2,1.75,200,0.8057160119564122,0.21828895979816565,0.3020602079532869,-0.4233599424533828,0.601716577345497,0.1532107371288376,0.3938564197826289,0.07886280733498996,26.83764037461643
126,best,0.4,0.4,0.2,1.25,200,0.8045188744362481,0.1694960660785252,0.2266504327244643,-0.3250051421933592,0.6380549482224182,0.12832870623670112,0.4452279079964363,0.0802961754986955,21.473848235594954
63,best,0.45,0.35,0.2,1.5,200,0.8043936916504083,0.19070424874205893,0.2589045505971434,-0.37373479781322927,0.6030462973464225,0.13791352550226876,0.3979532583140062,0.07696359590365143,24.379316719229458
126,invvol,0.35,0.35,0.3,1.25,200,0.8041019693673206,0.1118644521173564,0.14499348727954434,-0.19014210071922188,0.76331255974814,0.1156019798129595,0.7303007200475824,0.12015602424098026,20.27161835819046
63,best,0.5,0.3,0.2,1.75,200,0.8035200051508057,0.22669770884449392,0.31748790057433085,-0.4469323026372273,0.6079183550370154,0.1615644180428133,0.41290379620028445,0.08712567315805142,26.497125383566313
63,best,0.45,0.35,0.2,1.25,200,0.8028598284521408,0.1616268594891923,0.21575233864821394,-0.32099897986259474,0.6075337488584763,0.1210039762153794,0.40872162123853156,0.07359421429272928,21.63924123124787
63,best,0.5,0.3,0.2,1.5,200,0.8022320289292066,0.19845565922974728,0.27212627463080247,-0.39541217618744084,0.6088311912971718,0.1458278291270516,0.41607780853078147,0.08503626740645642,24.127919365837027
126,best,0.4,0.4,0.2,1.0,200,0.801684650551595,0.13754119585711333,0.18131440705290783,-0.26682190890144974,0.6438510499236892,0.10735947520287459,0.46103684741763884,0.07179455731177198,19.022140300034092
63,best,0.45,0.35,0.2,1.0,200,0.8008463015900605,0.13117975708388552,0.1725988923867086,-0.2647276126257735,0.6148588905194337,0.10201651138912404,0.4257738195370032,0.06762239630625833,18.755954867030344
63,best,0.5,0.3,0.2,1.25,200,0.8007107994160828,0.1684903600110097,0.22676768199680425,-0.3403260984654016,0.6123801791153543,0.12809525063314608,0.42483577216756857,0.08092969395760385,21.497197834981247
63,best,0.4,0.4,0.2,1.75,200,0.8003964299196514,0.20868477452677436,0.2894360090215174,-0.3993150498610867,0.5898375477610857,0.14356058699555208,0.36951708128410193,0.06920030442370817,27.158697366177975
126,invvol,0.35,0.35,0.3,1.0,200,0.7996480115237786,0.0898091518381594,0.11599225388454047,-0.15548735345347264,0.7716870895542541,0.0948900114974014,0.7515161551058408,0.10108974366923729,18.060356398110493
63,best,0.4,0.4,0.2,1.5,200,0.7990454352323754,0.18210807029880005,0.24808783442522092,-0.35173991721121667,0.5922925461245632,0.12927907303430075,0.3760224046970702,0.06830997853187437,24.554438714626663
189,invvol,0.6,0.25,0.15,1.75,150,0.7990296487770102,0.1811507350906818,0.24674667786374618,-0.3523546997318062,0.7940310528172528,0.19648509141854809,0.7973906822973762,0.2153679444884673,24.299885844413254
63,best,0.5,0.3,0.2,1.0,200,0.7987996365064789,0.1369756913918192,0.18141012473504436,-0.2812747762657326,0.6192914547908029,0.1082056434898424,0.44079764850541775,0.0742568686853915,18.642320150017046
63,best,0.4,0.4,0.2,1.25,200,0.7974412067590725,0.15418305042265934,0.20673930298528254,-0.3014186978801141,0.5970265867548589,0.11327193368646893,0.3875012127929291,0.06555177916476085,21.785176227412204
126,best,0.5,0.25,0.25,1.75,200,0.7970191028405484,0.2531454045371746,0.3689618524285965,-0.46309167577248,0.6467331709610715,0.1890144529832647,0.47732018392181963,0.11555699503406447,25.633968526252982
189,invvol,0.6,0.25,0.15,1.5,150,0.7964324479782546,0.15711180624847843,0.21149343956835923,-0.3099540206514011,0.7944774642215503,0.1717780367665087,0.8008528791132653,0.18983207888728404,22.534439787515684
126,best,0.5,0.25,0.25,1.5,200,0.7957326956664136,0.22313360488616452,0.31624191146950503,-0.4079121211287243,0.6472761314245034,0.17073086607806842,0.47994589191986664,0.110124434836393,23.528612981588815
63,best,0.4,0.4,0.2,1.0,200,0.7953341619891681,0.12502692857477848,0.16538963600775886,-0.24801443912258292,0.604753014120248,0.09543169025924003,0.4056760245324811,0.060548898698091325,18.872702863961813
126,best,0.5,0.25,0.25,1.25,200,0.793998767895214,0.19050694133146018,0.26352457081101277,-0.34917113582624304,0.6489852880755664,0.14951933620173152,0.48556372093186045,0.10165421542850606,21.318184239686328
189,invvol,0.6,0.25,0.15,1.25,150,0.7938538794601537,0.1323394282526904,0.1762370680921085,-0.26490477009632285,0.7970615683801294,0.14622515729134022,0.808573551514994,0.163310705473106,20.523433777072253
189,invvol,0.6,0.25,0.15,1.0,150,0.7924240432917196,0.10708648844046298,0.1409866816164226,-0.21731208561827053,0.8060036262307108,0.12037087930826074,0.8278703812655385,0.136711806140984,17.8010433053264
126,best,0.5,0.25,0.25,1.0,200,0.7915654742853687,0.15554718515825106,0.2108124839771478,-0.28698109692697404,0.6539217312008568,0.12585824267898693,0.4988464550794328,0.09084061243066888,18.897609103307193
252,best,0.6,0.25,0.15,1.75,200,0.7911161168526305,0.24261700099049155,0.3550077780057087,-0.5161448488161275,0.7227024505406174,0.2244058297109237,0.6561063178487357,0.2026567264891601,22.983788995908625
189,invvol,0.35,0.35,0.3,1.75,200,0.7908768446134038,0.14490446121755984,0.19536265670781797,-0.2559787252824922,0.8241483597776154,0.17024264449432502,0.8673937421312511,0.20175657847417394,24.181377680802996
252,best,0.6,0.25,0.15,1.5,200,0.789582781441205,0.2135752253319747,0.3042881284366889,-0.4580676272806491,0.7232453844955654,0.2007454389894039,0.65881001929157,0.18535289920453235,21.262145201159218
189,invvol,0.35,0.35,0.3,1.5,200,0.7884621346789635,0.12517037941551812,0.16744201578791998,-0.2208679266709812,0.8254758093748146,0.14798915150447378,0.8723313920148765,0.17631268158612046,22.25974076039994
126,invvol,0.45,0.35,0.2,1.75,150,0.7878820524655701,0.15380624420399225,0.20963827839616486,-0.28949377500413376,0.7590246652170914,0.15962039463039623,0.7367919803487664,0.16671784506941423,24.93102805256694
