,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2010-09-30,-0.004813734827965334,-0.0036964445672689195,-0.0036964445672689195,-0.007798174886185616
2010-10-01,-0.038357186488717374,-0.024191557344047987,-0.024191557344047987,0.016027390922036533
2010-10-04,0.026240491739227875,0.006540409978463613,0.006540409978463613,0.006522073459508393
2010-10-05,0.05801895928950758,0.022514225078526406,0.022514225078526406,0.018384393055692172
2010-10-06,0.00287099458342695,-0.002955721839656311,-0.002955721839656311,0.001775673325870697
2010-10-07,-0.013354005811373007,-0.003409266894043861,-0.003409266894043861,0.008862804627283838
2010-10-08,0.02136076676949982,0.01323599977509593,0.01323599977509593,-0.008052784324011797
2010-10-11,0.00017832984630848398,-0.003082017518957092,-0.003082017518957092,0.004428005584628858
2010-10-12,0.04260441038760051,0.028415531013520123,0.028415531013520123,-0.018221908107256324
2010-10-13,0.02294562510148852,0.005726523205037859,0.005726523205037859,0.006585880884427464
2010-10-14,0.022942811304249043,0.019928827298811624,0.019928827298811624,-0.018884739285453866
2010-10-15,0.023935019428861257,0.018283543613672126,0.018283543613672126,0.004092074471902851
2010-10-18,-0.06377303841738603,-0.02782368545315206,-0.02782368545315206,-0.0040756261016248185
2010-10-19,0.01262470106965425,0.00648560971330614,0.00648560971330614,0.008184365324377607
2010-10-20,0.032580033959218616,0.02115164425170235,0.02115164425170235,-0.0007512971752728914
2010-10-21,-0.026780102983170857,-0.007819465845030793,-0.007819465845030793,-0.011885533853926988
2010-10-22,0.045058480690538756,0.020600814753501284,0.020600814753501284,0.014768970532051728
2010-10-25,-0.032852969911060806,-0.008805982224401432,-0.008805982224401432,-0.02340616832061604
2010-10-26,-0.0004872592583526771,0.0060132947921018864,0.0060132947921018864,-0.015670603532575877
2010-10-27,0.044455246001266074,0.024860848222459486,0.024860848222459486,-0.0005
2010-10-28,0.005047936134093586,-0.005302056287341372,-0.005302056287341372,0.0
2010-10-29,0.021697506973950217,0.004264404656550536,0.004264404656550536,0.0
2010-11-01,0.012847107411813163,0.010615774043140291,0.010615774043140291,0.0
2010-11-02,0.01742208887930865,0.006565267967287847,0.006565267967287847,0.0
2010-11-03,0.07125443410562521,0.02974173074360187,0.02974173074360187,0.0
2010-11-04,0.01315080517532092,0.002533349970930354,0.002533349970930354,0.0
2010-11-05,-0.010939889325156372,-0.0042959766995877,-0.0042959766995877,-0.0075869714828566415
2010-11-08,0.03721669255931116,0.013705128532074173,0.013705128532074173,-0.006096888064259676
2010-11-09,-0.047929238147431295,-0.015523274492040273,-0.015523274492040273,-0.0005
2010-11-10,-0.05254886609861564,-0.02339747314483609,-0.02339747314483609,0.0
2010-11-11,0.0016908967641936826,0.008073386195769805,0.008073386195769805,0.0
2010-11-12,-0.04624964489624535,-0.01304634383603731,-0.01304634383603731,0.0
2010-11-15,-0.0641319134796577,-0.03232537148115544,-0.03232537148115544,0.0
2010-11-16,-0.03503659208605648,-0.017176120700805764,-0.017176120700805764,0.0
2010-11-17,0.038101454466048734,0.026420778245788368,0.026420778245788368,0.0
2010-11-18,0.015127169919888503,0.007239331235100455,0.007239331235100455,0.0
2010-11-19,0.0027708282678145643,-0.00359323220887775,-0.00359323220887775,0.0
2010-11-22,0.022239404926032436,0.004408185475099247,0.004408185475099247,0.0
2010-11-23,0.0040268384139124725,0.00758052501433637,0.00758052501433637,0.0
2010-11-24,-5.5783956089188625e-05,0.0,0.0,0.0
2010-11-25,-0.0006792963837325538,0.007919695285263595,0.007919695285263595,0.0
2010-11-26,3.1335229849596574e-05,-0.00432170794796094,-0.00432170794796094,0.0
2010-11-29,-0.01562341444921989,-0.019334699580947023,-0.019334699580947023,0.0
2010-11-30,0.023325692676159,0.026421739173209113,0.026421739173209113,0.0
2010-12-01,0.016926521179814327,0.014766307905376364,0.014766307905376364,0.0
2010-12-02,0.021235952849444167,0.008755878317342702,-0.0005,0.0
2010-12-03,0.022503214955007355,0.013530340491934245,0.0,0.0
2010-12-06,0.027151921284525593,0.0227961539552215,0.0,0.0
2010-12-07,-0.050863303140538926,-0.016500415858431094,0.0,0.0
2010-12-08,0.021177923935577627,0.013772169399555834,0.0,0.0
2010-12-09,-0.013236131042114754,-0.004322223991156671,0.0,0.0
2010-12-10,0.018993870361306616,0.015628619031629265,0.0,0.0
2010-12-13,-0.01458974837090938,-0.01038081211956321,0.0,0.0
2010-12-14,-0.013473116803522917,-0.0018513812188337697,0.0,0.0
2010-12-15,-0.018270444129511954,-0.006429382148568363,0.0,0.0
2010-12-16,0.028801831456991507,0.01617755528990905,0.0,0.0
2010-12-17,0.022576256699605647,0.0025716427528377217,0.0,0.0
2010-12-20,0.00603566575001306,0.006351386037221074,0.0,0.0
2010-12-21,0.008391890425636395,0.0029130436125950343,0.0,0.0
2010-12-22,-0.016827731868463855,-0.0031471057187504314,0.0,0.0
2010-12-23,-7.740614887468619e-05,0.0,0.0,0.0
2010-12-24,-0.013572983391239461,-0.005098524892764633,-0.005598524892764634,0.0
2010-12-27,0.038148239159064005,0.008664080075874603,0.008664080075874603,0.0
2010-12-28,-0.006658068838420606,-0.0019355737555378782,-0.0019355737555378782,0.0
2010-12-29,0.002771988698936121,-0.000969856814947323,-0.000969856814947323,0.0
2010-12-30,-0.013598929754797604,-0.0075227377372631965,-0.0075227377372631965,0.0
2010-12-31,0.05054720473466472,0.013691861949510997,0.013691861949510997,0.0
2011-01-03,0.07575154193898788,0.02014016815459385,0.02014016815459385,0.0
2011-01-04,-0.06368084789292008,-0.014777013810112094,-0.014777013810112094,0.0
2011-01-05,0.0801534688742702,0.024837327249028984,0.024837327249028984,0.0
