end,sr,mdd,vol,cagr
2016-01-07,1.1676809012763463,-0.1648393790562792,0.1806426103108412,0.21474419521576382
2016-01-08,1.0721333603118757,-0.164839379056279,0.1812742633644052,0.19464356546850392
2016-01-11,1.0605574161392335,-0.164839379056279,0.18132442862926984,0.19219376899522178
2016-01-12,1.0242341529490735,-0.1648393790562802,0.1815269102098735,0.18457502745147414
2016-01-13,1.0387816603248865,-0.1648393790562792,0.18185531446680253,0.18804070329511502
2016-01-14,1.0255187523087228,-0.16483937905627877,0.18206329552017853,0.18538794737325293
2016-01-15,1.0014882771480702,-0.16483937905628,0.18182630928716,0.17998722284908641
2016-01-19,0.9560118079390373,-0.16483937905627932,0.181837113484309,0.1702867486192099
2016-01-20,0.9418149127994436,-0.16483937905627888,0.18183243849423766,0.167267431119414
2016-01-21,0.9610323383012906,-0.16483937905627988,0.181856792951014,0.17137285072095976
2016-01-22,0.9382902889466864,-0.16483937905628,0.18186587209488497,0.16654958294924582
2016-01-25,0.9896280215688696,-0.16483937905627966,0.18237200942834225,0.17796718705417058
2016-01-26,0.9494223750392148,-0.16483937905628032,0.18238888223994787,0.16938245877470304
2016-01-27,1.0586793662526441,-0.1648393790562791,0.18177338897667353,0.19226187181028753
2016-01-28,1.060199857185412,-0.16483937905628043,0.18174808785455118,0.19256479058898424
2016-01-29,1.0684190262256896,-0.16483937905627943,0.18180226023487941,0.19440365946013372
2016-02-01,1.1614752745486026,-0.16483937905628,0.18303627209547815,0.21623951549979292
2016-02-02,1.1305018130016584,-0.16483937905627988,0.18287706993614486,0.20918691602689687
2016-02-03,1.1321062240635493,-0.16483937905627977,0.18287397166567873,0.20953790960369023
2016-02-04,1.178272043740811,-0.16483937905627966,0.18230610010895218,0.21909670261772507
2016-02-05,1.1919907174765225,-0.16483937905627932,0.18236451383644148,0.2222189749525636
2016-02-08,1.1533937958639915,-0.16483937905627954,0.18291582401656326,0.21430103799947142
2016-02-09,1.1357340118425514,-0.16483937905627977,0.18267827678604776,0.21011357088882932
2016-02-10,1.0551341361894773,-0.164839379056279,0.18145778258079126,0.19116561543023392
2016-02-11,1.0586514228907056,-0.1648393790562792,0.18150305040487238,0.19197296349056425
2016-02-12,1.0661081001734871,-0.16483937905627977,0.1816588667225336,0.1937511453489591
2016-02-16,1.072253007015288,-0.1648393790562791,0.1816461152543845,0.19506985604932559
2016-02-17,0.9982071404545304,-0.16483937905627988,0.1811573588887095,0.17864315581151158
2016-02-18,1.0247579119401624,-0.16483937905627932,0.18152142305113256,0.18468647546413242
2016-02-19,1.039571077065767,-0.16483937905627888,0.18170745345085745,0.1880639460521103
2016-02-22,1.0949309417249475,-0.1648393790562791,0.18115505563958462,0.19946242466928243
2016-02-23,1.0785671937641823,-0.16483937905627954,0.18104311956507188,0.1957945226324167
2016-02-24,1.062885421982657,-0.164839379056279,0.18106240108467705,0.19242724358325392
2016-02-25,1.0531620078714437,-0.16483937905627966,0.18098061069438198,0.19024632844514922
2016-02-26,1.0710001111053324,-0.16483937905627943,0.18119974910422407,0.19432551907515405
2016-02-29,1.0259245549355847,-0.16483937905627977,0.18152320069942462,0.18494055885550753
2016-03-01,0.9889245389081504,-0.16483937905627977,0.18117644457685905,0.17668416351400906
2016-03-02,1.0185444924765374,-0.16483937905627954,0.18130323273607798,0.18313691547586597
2016-03-03,1.0401359418719895,-0.1648393790562791,0.1813976943675757,0.18787051214327333
2016-03-04,1.0663532923464922,-0.1648393790562791,0.1816291076909445,0.19377373094513417
2016-03-07,1.0394729686347444,-0.1648393790562792,0.18163689617840664,0.1879719222698164
2016-03-08,1.0523263063423294,-0.16483937905627843,0.1815866790749299,0.19069454931583874
2016-03-09,1.083303963816342,-0.16483937905628032,0.18131070369114802,0.197108765815043
2016-03-10,1.0742958655565582,-0.1648393790562801,0.18132776007951892,0.19517487107431708
2016-03-11,1.0938201459500885,-0.164839379056279,0.181338670105078,0.1994222874777114
2016-03-14,1.0636397166797606,-0.16483937905627943,0.18114124004986412,0.19267289601629645
2016-03-15,1.0701568639685506,-0.164839379056279,0.18110643695119258,0.1940437305478866
2016-03-16,1.076422383270259,-0.1648393790562801,0.1810896214793535,0.1953803838030903
2016-03-17,1.123293578646125,-0.16483937905627888,0.18160180379294713,0.20614475839528912
2016-03-18,1.1008448472173704,-0.16483937905627954,0.18146785176824684,0.2010934865922076
