Date,UPRO,SSO,TQQQ,QLD,TECL,FAS,ERX,SOXL,DRN,EDC,YINN,TMF,UBT,TYD,UGL,UCO,SPY,QQQ,TLT,GLD,BIL,SHY
2021-01-20,0.011048091003140496,0.0,0.34453707072816864,0.02852194233065893,0.029007842354537947,0.029578007405143096,0.0,0.01795975135139745,0.0,0.0,0.0,0.0,0.0,0.025214455536624554,0.07019917254444266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.3183733810916551,0.02630601989147997,0.017091372312855495,0.058904735848699596,0.0,0.017091372312855495,0.0,0.0,0.0,0.0,0.0,0.023764440736541895,0.06556443592903527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.31743058395581825,0.026214490703852136,0.007610762691998302,0.05847651558476588,0.0,0.016953460925934073,0.0,0.0,0.0,0.0,0.0,0.02374748111426167,0.06534515097981208,0.00934269823393577,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.3100518263962875,0.02654890582657873,0.0077697058287020376,0.033682308439205014,0.0,0.046786782056748466,0.0,0.0,0.0,0.0,0.01364114733992746,0.025295706082980516,0.06753326382400875,0.009571113293916756,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.3092249761520927,0.02652349482200264,0.007747146827721919,0.03322870754871343,0.0,0.04642681777815138,0.0,0.0,0.0,0.0,0.013739019328606467,0.025359739570189343,0.06755185879237924,0.009556941117079578,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.008527168128559564,0.0,0.01712437249129405,0.027047845617820483,0.01712437249129405,0.008527168128559564,0.0,0.028031066587339604,0.0,0.0,0.0,0.0,0.020367716225322605,0.033263522769424334,0.07745056943668699,0.010906694096045557,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-28,0.006702278231280839,0.0,0.014099226654663169,0.023902396584482594,0.014099226654663169,0.006702278231280839,0.0,0.023611652525356977,0.0,0.0,0.0,0.0,0.01866163635494857,0.029757058990022064,0.06867959747628528,0.009512425870693808,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.006926535807281305,0.0,0.014477081252739398,0.024026873501423057,0.014477081252739398,0.006926535807281305,0.0,0.024165691564194503,0.0,0.0,0.0,0.0,0.020478072081338915,0.031803890249526054,0.06136716240842071,0.009688610311455103,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.02074668536585685,0.0,0.005516286915277228,0.0396536369434869,0.005516286915277228,0.02074668536585685,0.0,0.012706169403679511,0.0,0.0,0.02074668536585685,0.0,0.0,0.011032573830554455,0.011032573830554455,0.007189882488402285,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.022085791576240483,0.0,0.27688529366646397,0.0385148461717927,0.005301483808201907,0.022085791576240483,0.0,0.032389323381488734,0.0,0.0,0.022085791576240483,0.0,0.0,0.010602967616403815,0.010602967616403815,0.006940591751332748,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,0.024626598914403313,0.0,0.2776086499024444,0.03829142342090026,0.0,0.024626598914403313,0.0,0.032710378933613386,0.0,0.0,0.030096691478631678,0.0,0.0,0.010940185128456728,0.010940185128456728,0.007051885008259854,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,0.026593048177067743,0.0,0.2912700745594415,0.040123615736028406,0.0,0.026593048177067743,0.0,0.03597923845293183,0.0,0.0,0.032359761006331596,0.0,0.0,0.011533425658527692,0.011533425658527692,0.007434988429940416,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,0.025806323777543355,0.0,0.2905133921675025,0.05256720452082193,0.0,0.025806323777543355,0.0,0.04034778634994883,0.0,0.0,0.033418599818376325,0.0,0.0,0.01141841406124946,0.01141841406124946,0.009815914086165506,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.30175236860192217,0.059267439346664376,0.0,0.0,0.02398641255617165,0.01943535649577232,0.0,0.0,0.008431259525419581,0.027140658691769945,0.027140658691769945,0.039787547979899314,0.012646889288129372,0.011004096970352737,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.30692893601469134,0.06023266889766321,0.0,0.0,0.02465804621833596,0.019825232843837994,0.0,0.0,0.008795091801226692,0.027422829968440022,0.027422829968440022,0.04061546767028006,0.01319263770184004,0.011030141042611302,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.01632154743504523,0.0,0.33048525129215256,0.061783529446198554,0.01632154743504523,0.0,0.027403716337582977,0.020618681934050448,0.0,0.009296852685185283,0.0,0.028018692948257883,0.028018692948257883,0.04196397197603581,0.013945279027777925,0.011321829248865163,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,0.012405137889879419,0.0,0.3274190034731822,0.061895341436719604,0.012405137889879419,0.012405137889879419,0.027689318318425516,0.02069447823659002,0.0,0.009317997248408755,0.0,0.030260920467158548,0.030260920467158548,0.044237916339771685,0.013976995872613135,0.011376480988181262,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,0.012516563928020826,0.0,0.3280606797126725,0.062205592951270726,0.012516563928020826,0.012516563928020826,0.027607740286523817,0.020601930115752787,0.0,0.00930688146528594,0.0,0.029956793685106068,0.029956793685106068,0.04391711588303498,0.013960322197928908,0.011295048650466846,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.030132391766175753,0.0,0.31640031401365176,0.06219203655319938,0.0,0.052370814197500525,0.0,0.04928280817577994,0.0,0.009390651505687428,0.0,0.0,0.0,0.04421836902470689,0.04421836902470689,0.011232791378764134,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-17,0.027141883499206487,0.0,0.34246942936730673,0.06219401256297291,0.026200242552888435,0.0,0.0,0.04884634589765222,0.0,0.0,0.009368180520895015,0.0,0.0,0.04119415428054901,0.04119415428054901,0.011237758194274403,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.027285204087068773,0.0,0.33356883462556614,0.06237842304779885,0.01746355945985114,0.0,0.0,0.06542881148833285,0.0,0.0,0.009331411676240792,0.0,0.0,0.04128232160142996,0.04128232160142996,0.011239321297909038,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,0.039953051120548505,0.0,0.3271726091676358,0.06180681471670605,0.013014348364358485,0.0,0.0,0.06018452913864462,0.0,0.01105378456037611,0.009224644257064535,0.0,0.0,0.04077566914178682,0.04077566914178682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.040090011857840196,0.0,0.3283578746281048,0.061848394020618105,0.01314976290598095,0.0,0.0,0.0595176705972009,0.0,0.011095823519903073,0.009242108263384797,0.0,0.0,0.04080341134693644,0.04080341134693644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.03583421770019412,0.0,0.3223668223719195,0.05282177241476844,0.03583421770019412,0.0,0.0,0.05015853821480648,0.0,0.009407362060137429,0.008057205648883837,0.0,0.0,0.012085808473325755,0.012085808473325755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.038248891002114684,0.0,0.32604837564368455,0.05306016415224826,0.038248891002114684,0.0,0.0,0.05208022304056527,0.0,0.01752958742648717,0.0,0.0,0.0,0.012128464696125066,0.012128464696125066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
