Date,TREND_TQQQ_QQQ,TREND_UPRO_SPY,TREND_TECL_XLK,TREND_SOXL_SMH,TREND_DRN_VNQ,TREND_TMF_TLT,TREND_UBT_TLT,TREND_TYD_TLT,TREND_UGL_GLD,TREND_UCO_USO,TREND_TQQQ_fast,TREND_UPRO_slow,TSMOM_L4,TSMOM_L2,TSMOM_L3,XSMOM_T2_126,XSMOM_T3_126,XSMOM_T2_252,RPAR_3,RPAR_4,RPAR_6,RPAR_eqtrend,CREDIT_UPRO,CREDIT_SSO,CREDIT_TQQQ,VOLREG_SSO,VOLREG_UPRO,VOLREG_TQQQ,DIP_UPRO,DIP_TQQQ,DIP_UPRO_tight,SEASON_UPRO,SEASON_TQQQ,CURVE_TMF
2017-06-09,-0.024963202150877974,-0.00192109615383809,-0.02638367840298695,-0.020657844650045498,0.00732286977423508,0.0,0.0,0.0,-0.020493840214804424,0.0018930737743056512,-0.024963202150878012,-0.0019210961538380876,-0.010756427865333464,-0.019715478651157154,-0.013682413789125334,-0.025914510713518378,-0.02675995682635446,-0.025507919990257002,-0.007491189725431261,-0.004539261849619246,-0.012792895411505717,-0.01836135763930149,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019804237834742883,-0.028240674259343145,-0.001980423783474278,0.0,0.0,0.0
2017-06-12,-0.004820017126068408,-0.0006271531420809914,-0.004711809151995749,-0.002246675105000627,0.011002994156035575,0.0,0.0,0.0,-0.0037792821286367424,0.0010567117906895305,-0.004820017126068413,-0.0006271531420809906,-0.0029819189391682914,-0.005859273860537755,-0.0039264438512470025,-0.003908225162769699,-0.0044881212625942435,-0.0038507628368763262,-0.0020973919280409137,-0.0009312455729335963,-0.0032443402622279304,-0.003892257825150724,0.0,0.0,0.0,0.0,0.0,0.0,-0.000647550127011689,-0.006090122302073353,-0.0006475501270116853,0.0,0.0,0.0
2017-06-13,0.006079498906029502,0.006781242806824138,0.005481749794250791,0.002557506712677221,0.003085147716453637,0.0,0.0,0.0,0.002970528220557472,0.0023083521280009233,0.006079498906029509,0.00678124280682413,0.004459514542563442,0.005861956921065989,0.0052001040235554324,0.004555445439058348,0.005409426972257782,0.004487105363920415,0.005982461101532448,0.005654717140732343,0.006794992252670767,0.007065523670644298,0.0,0.0,0.0,0.0,0.0,0.0,0.006994610440836809,0.007790062536955439,0.006994610440836771,0.0,0.0,0.0
2017-06-14,-0.0034410274733945173,-0.001629498828662835,-0.003448193103492437,-0.004265172642025815,0.002714782655685156,0.0,0.0,0.0,-0.012365690051914449,-0.011436134972480251,-0.0034410274733945216,-0.001629498828662833,0.00031601537147886606,-0.0026544862711857784,-0.00029753969779097554,-0.005125434818130415,-0.004982854850583629,-0.005051950311961217,0.005872268579694505,-0.0021276993723753743,0.0025531439517020604,-0.0032790012159594917,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016747747570904506,-0.004415086020839491,-0.0016747747570904413,0.0,0.0,0.0
2017-06-15,-0.003428109595680103,-0.0029602101644862597,-0.0034973794661392354,-0.0031576955972792806,0.005756372598945129,0.0,0.0,0.0,-0.008959248085222572,-0.001786256031454695,-0.003428109595680106,-0.0029602101644862567,-0.003864286849043916,-0.0049036864332932225,-0.00421805212824084,-0.004219634612252384,-0.004301730789821093,-0.00415780454940908,-0.005492466474210552,-0.005042331235517812,-0.005563634146902236,-0.0038139901051392824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030435331778715102,-0.004419649870443776,-0.0030435331778714938,0.0,0.0,0.0
2017-06-16,-0.0033528426095863644,0.0,-0.002010286212856404,-0.001621643882165424,-0.004254238283480655,0.0,0.0,0.0,-0.00026149851948471624,0.0019288842373279744,-0.0033528426095863683,0.0,-0.0008511930005600611,-0.001973722542302441,-0.0009595233554882042,-0.002213867781915966,-0.002710747933270983,-0.002180629582403403,0.0006602743515254791,0.0015711255427596639,0.00034066853091426993,-0.002001461437503724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004112999553881431,0.0,0.0,0.0,0.0
2017-06-19,0.013556173730400876,0.012773000900585767,0.012534042364544277,0.008029827364766602,0.0005311289420097127,0.0,0.0,0.0,-0.013865469643163784,-0.0035874365818825775,0.01355617373040089,0.012773000900585748,0.009851329693904414,0.012249389266031214,0.011145839423794424,0.012014466648100892,0.013239177733996728,0.011826896502910267,0.00260698612689134,-0.00011065951399303307,0.005570644536006275,0.013926938681192134,0.0,0.0,0.0,0.01659244003027283,0.017387956386170113,0.025190760249738535,0.013186780244944638,0.01667412858326943,0.013186780244944555,0.0,0.0,0.0
2017-06-20,-0.005919903728272775,-0.009391530679615257,-0.005786975404877495,-0.00455774041044588,-0.0021709591579726845,0.0,0.0,0.0,-0.004598795476377644,-0.005723566337181679,-0.005919903728272781,-0.009391530679615245,-0.005503031245381449,-0.008348413206539227,-0.006705225586638593,-0.007683884332039117,-0.007645085415417264,-0.006453169159159323,-0.0010874639816190333,-0.0040850752608139656,-0.00271560678435511,-0.008020524344123432,0.0,0.0,0.0,-0.01297636177911231,-0.012776646298764965,-0.010665586918108429,-0.009672474648247689,-0.007425485317210131,-0.009672474648247631,0.0,0.0,0.0
2017-06-21,0.007390779404764011,-0.0010006455106081654,0.0037840043772828366,0.004615559969635855,-0.0034426416664311344,0.014726250666112113,0.004097360779505777,-0.013435100788530496,-0.0005802960648222184,-0.007787665951625265,0.007390779404764019,-0.0010006455106081641,0.0017440073052629784,0.0018465138983895576,0.001773982561242904,0.0045676910866156075,0.005828441243732787,0.0070086056676124265,0.0027694470951105314,-0.002495546801673555,0.0023329113398379816,0.003461696399173105,0.0,0.0,0.0,-0.0009465997391930021,-0.0013442572736676204,0.013330981836022883,-0.0010296342427285226,0.009391681821371487,-0.0010296342427285167,0.0,0.0,0.0
2017-06-22,-0.0002869057984822874,-0.0005470460571911081,0.0003252110681187445,-0.0010075087046469008,0.0013208811692584134,0.011328344990383744,0.00536749734555475,0.013676333171925292,0.004001231216259398,0.002173399766011054,-0.0002869057984822877,-0.0005470460571911074,0.00078681515911651,0.0009957199237846672,0.0004785663134434984,0.0008388145321465619,0.0005282029866499931,-0.0009517973520609155,0.002435963769777156,0.0030527696569745575,0.002632830725054213,-0.00022006874340171613,0.0,0.0,0.0,-0.0009696036974763076,-0.0007340357485734658,-0.0005059381120301299,-0.0005628990473537367,-0.0003631235174269761,-0.0005628990473537334,0.0,0.0,0.0
2017-06-23,0.0028223502949821576,0.0020906897369952337,0.0043104384384565885,0.0012418691137372083,0.003994977817382541,-0.0010714690606328538,-0.0014874063414674343,-0.009249646190077065,0.011603739557078904,0.002724573782906867,0.0028223502949821606,0.002090689736995231,0.002140689183126243,0.002687627917725241,0.002346807345735505,0.0028312105705843534,0.0030427553269304084,0.002263596258406707,0.005292756101866814,0.005442118411224156,0.005284660164574722,0.0033834916955613435,0.0,0.0,0.0,0.0026946531438260574,0.0027561106676040124,0.004978156228268227,0.002154663235767168,0.003594245904486233,0.002154663235767155,0.0,0.0,0.0
