,net_ret,mult,p_bad
2019-05-06,-0.0007625892955433458,0.5590026927768891,0.5487646047835262
2019-05-07,-0.0064897101206106205,0.5537061856494215,0.5358818590885489
2019-05-08,-0.0006323651022700429,0.5923544227343533,0.4650173460265205
2019-05-09,-0.004609828293119386,0.8049479619204385,0.4582906784448764
2019-05-10,0.001106165044029561,0.8251279646653709,0.46109372186553343
2019-05-13,0.008280250336736574,0.8167188344033998,0.468166789377538
2019-05-14,0.012291453241456852,0.7954996318673861,0.4382841914433591
2019-05-15,-0.0006286290656715035,0.8851474256699228,0.43953525937620674
2019-05-16,-0.00021535402970283135,0.8813942218713798,0.4035008936089673
2019-05-17,-0.017585409442489073,0.9894973191730982,0.41703102852156837
2019-05-20,0.011847885862972573,0.948906914435295,0.38853723601626383
2019-05-21,0.003463698739568,1.0,0.3852793870168691
2019-05-22,0.0026115878123425,1.0,0.4225147027068492
2019-05-23,0.0011407617860407396,0.9324558918794524,0.41580083218292235
2019-05-24,0.007740431809068075,0.9525975034512331,0.4167066614596969
2019-05-27,-4.2032190691225234e-05,0.9498800156209093,0.45127047186478403
2019-05-28,0.006473884247014008,0.846188584405648,0.4579677943075564
2019-05-29,0.0031970765645122595,0.8260966170773308,0.43679144242650225
2019-05-30,0.006429050492706926,0.8896256727204933,0.4455024744861916
2019-05-31,0.0018012274779407715,0.8634925765414252,0.46069581144881194
2019-06-03,0.0033708730410079227,0.8179125656535642,0.4843504451280056
2019-06-04,-0.005246257056844402,0.7469486646159832,0.47041692078397673
2019-06-05,0.005469567904466641,0.7887492376480698,0.43980560524654194
2019-06-06,0.0028285287362234714,0.8805831842603742,0.44765656870548576
2019-06-07,0.0017350201281770535,0.8570302938835428,0.45204089254012864
2019-06-10,0.004426697031809692,0.8438773223796141,0.4348550162019144
2019-06-11,-0.006154070080235268,0.8954349513942568,0.4489187733867015
2019-06-12,0.004956083519191432,0.8532436798398956,0.4774855381298732
2019-06-13,0.007193908919492353,0.7675433856103804,0.4736335981179212
2019-06-14,0.009396870074045998,0.7790992056462365,0.474878474607611
2019-06-17,0.016649857514605772,0.775364576177167,0.48961046429843985
2019-06-18,0.011739548486871774,0.7311686071046806,0.4924137331015083
2019-06-19,-0.0023115748129785597,0.722758800695475,0.5627613816723575
2019-06-20,0.008068255837957282,0.5117158549829277,0.5197381421605696
2019-06-21,0.0011167509436275616,0.6407855735182914,0.5206037239433495
2019-06-24,0.008970029946820458,0.6381888281699515,0.5050981732030725
2019-06-25,0.0033301970164055913,0.6847054803907826,0.5182371132938626
2019-06-26,0.004219528034307835,0.6452886601184123,0.5302246040825193
2019-06-27,0.003743170236492339,0.6093261877524423,0.5460813996677616
2019-06-28,0.0007072344981466227,0.5617558009967153,0.5284999033676452
2019-07-01,-0.005480417289169453,0.6145002898970645,0.5037877260251257
2019-07-02,-0.004574296179198731,0.688636821924623,0.4760367869154938
2019-07-03,0.020936563718737988,0.7718896392535187,0.4438367216860984
2019-07-04,0.0,0.868489834941705,0.46281552382733543
2019-07-05,-0.007575507048540261,0.8115534285179937,0.44682832268685596
2019-07-08,0.010441697741511134,0.8595150319394322,0.44569580931166003
2019-07-09,0.007169163767595773,0.8629125720650199,0.4441361363096463
2019-07-10,0.006670820504773085,0.8675915910710611,0.4642283887555119
2019-07-11,-0.01213262379079449,0.8073148337334644,0.46344393990522037
2019-07-12,0.0025342770320681985,0.809668180284339,0.43632600033742824
2019-07-15,-0.008739518660860413,0.8910219989877153,0.4437278684819396
2019-07-16,0.0025922061301365306,0.8688163945541811,0.4464168826987276
2019-07-17,-0.005504318908516037,0.8607493519038173,0.4516526730458343
2019-07-18,0.0064735501630737834,0.8450419808624972,0.40179245965713933
2019-07-19,0.0015930533894490777,0.994622621028582,0.41315088271392575
2019-07-22,0.0032611080161072522,0.9605473518582228,0.4370560989258732
2019-07-23,-0.005933685848849109,0.8888317032223805,0.44118774383735193
2019-07-24,0.004755056881420101,0.8764367684879443,0.42826064680731046
2019-07-25,-0.000762321926416553,0.9152180595780687,0.43194501560603843
2019-07-26,-0.00081740834986323,0.9041649531818847,0.4660874361339956
2019-07-29,-0.0013470518510540377,0.8017376915980132,0.47641509225578255
2019-07-30,0.0038846487316473105,0.7707547232326524,0.4960730269971997
2019-07-31,0.010166716700821447,0.711780919008401,0.4930565257417998
2019-08-01,0.009432851759686419,0.7208304227746006,0.5185641853966668
2019-08-02,0.008232507971523832,0.6443074438099996,0.5108355668990543
2019-08-05,0.016577914530093912,0.6674932993028372,0.5354409088428622
2019-08-06,0.0016241008104603302,0.5936772734714134,0.5460291283472883
2019-08-07,0.010254668745815399,0.561912614958135,0.5705734229301967
2019-08-08,0.00019677328497181743,0.4882797312094098,0.5960594104948364
2019-08-09,0.0008093340790084579,0.411821768515491,0.5964031502155613
2019-08-12,0.0027251242621452163,0.41079054935331605,0.5893161367786903
2019-08-13,0.0004400275740814851,0.4320515896639291,0.59687264263927
2019-08-14,-0.0023263158256950924,0.40938207208219013,0.6159446491570659
2019-08-15,-0.0014989480820650851,0.3521660525288023,0.5928689705498094
2019-08-16,0.005057295913616666,0.421393088350572,0.5745383255888229
2019-08-19,0.006337118666153725,0.4763850232335314,0.575593192709046
2019-08-20,-0.002029309280005776,0.4732204218728622,0.5560486608774505
2019-08-21,-0.004057008118241877,0.5318540173676485,0.5568253209630755
2019-08-22,0.0023117400183059887,0.5295240371107737,0.5171884288833916
2019-08-23,-0.0009956274964357376,0.6484347133498254,0.5184267496614984
2019-08-26,0.011784004661192112,0.6447197510155049,0.5057406205762666
2019-08-27,-0.0034811036311268116,0.6827781382712004,0.5239871623819372
