label,ann_ret,cagr,ann_vol,sharpe,max_dd,n_days,start,end,gross_sharpe,ann_cost,avg_turnover
carry_h0.5_f0.1_x2.0,0.0054,0.00525,0.01592,0.339,-0.0532,2500,2010-01-04,2019-12-31,0.551,0.00336,0.2847
carry_h0.5_f0.1_x3.0,0.00451,0.00436,0.01582,0.285,-0.0527,2500,2010-01-04,2019-12-31,0.419,0.00211,0.1753
carry_h0.5_f0.2_x1.0,0.00295,0.00283,0.01442,0.205,-0.049,2500,2010-01-04,2019-12-31,0.502,0.00429,0.3652
carry_h0.5_f0.2_x2.0,0.00286,0.00276,0.01324,0.216,-0.039,2500,2010-01-04,2019-12-31,0.328,0.00148,0.1214
carry_h0.5_f0.2_x3.0,0.00205,0.00196,0.01271,0.161,-0.03,2500,2010-01-04,2019-12-31,0.256,0.0012,0.0963
carry_h1.0_f0.1_x1.0,0.00255,0.00239,0.01709,0.149,-0.0598,2500,2010-01-04,2019-12-31,0.626,0.00813,0.7018
carry_h1.0_f0.1_x2.0,0.00628,0.00612,0.01657,0.379,-0.0437,2500,2010-01-04,2019-12-31,0.599,0.00364,0.3095
carry_h1.0_f0.1_x3.0,0.00445,0.0043,0.01601,0.278,-0.0432,2500,2010-01-04,2019-12-31,0.407,0.00206,0.1719
carry_h1.0_f0.2_x1.0,0.00162,0.00152,0.01391,0.117,-0.0474,2500,2010-01-04,2019-12-31,0.46,0.00477,0.4116
carry_h1.0_f0.2_x2.0,0.00264,0.00254,0.01311,0.202,-0.0319,2500,2010-01-04,2019-12-31,0.308,0.00139,0.1155
carry_h1.0_f0.2_x3.0,0.00137,0.00127,0.01299,0.105,-0.0323,2500,2010-01-04,2019-12-31,0.195,0.00117,0.0959
mom_20_f0.1_x1.0,-0.02922,-0.02871,0.01437,-2.033,-0.2567,2500,2010-01-04,2019-12-31,-0.741,0.01866,1.5991
mom_20_f0.1_x2.0,-0.02587,-0.02545,0.01347,-1.92,-0.2315,2500,2010-01-04,2019-12-31,-0.791,0.01528,1.3045
mom_20_f0.1_x3.0,-0.02344,-0.02309,0.01294,-1.811,-0.2127,2500,2010-01-04,2019-12-31,-0.805,0.01308,1.1151
mom_20_f0.2_x1.0,-0.02543,-0.02498,0.00815,-3.121,-0.2245,2500,2010-01-04,2019-12-31,-1.189,0.01591,1.4079
mom_20_f0.2_x2.0,-0.01815,-0.01789,0.00723,-2.509,-0.1655,2500,2010-01-04,2019-12-31,-0.997,0.011,0.9676
mom_20_f0.2_x3.0,-0.01263,-0.01249,0.00624,-2.025,-0.1185,2500,2010-01-04,2019-12-31,-0.817,0.00757,0.6595
mom_60_f0.1_x1.0,-0.02426,-0.0239,0.0142,-1.708,-0.2184,2500,2010-01-04,2019-12-31,-0.521,0.01689,1.4414
mom_60_f0.1_x2.0,-0.01809,-0.01789,0.01266,-1.428,-0.1691,2500,2010-01-04,2019-12-31,-0.44,0.01254,1.0663
mom_60_f0.1_x3.0,-0.0153,-0.01515,0.01138,-1.345,-0.1437,2500,2010-01-04,2019-12-31,-0.497,0.00967,0.8236
mom_60_f0.2_x1.0,-0.02055,-0.02024,0.00813,-2.529,-0.186,2500,2010-01-04,2019-12-31,-0.818,0.01399,1.2438
mom_60_f0.2_x2.0,-0.01358,-0.01342,0.0071,-1.914,-0.1274,2500,2010-01-04,2019-12-31,-0.79,0.00803,0.7047
mom_60_f0.2_x3.0,-0.01075,-0.01064,0.00633,-1.698,-0.1015,2500,2010-01-04,2019-12-31,-0.943,0.00482,0.4182
mom_120_f0.1_x1.0,-0.02882,-0.02831,0.01349,-2.136,-0.2504,2500,2010-01-04,2019-12-31,-0.984,0.01566,1.3595
mom_120_f0.1_x2.0,-0.02153,-0.02123,0.01179,-1.826,-0.1939,2500,2010-01-04,2019-12-31,-0.949,0.0104,0.8948
mom_120_f0.1_x3.0,-0.01721,-0.017,0.01068,-1.611,-0.1583,2500,2010-01-04,2019-12-31,-0.892,0.00771,0.6588
mom_120_f0.2_x1.0,-0.02118,-0.02085,0.00807,-2.624,-0.1898,2500,2010-01-04,2019-12-31,-1.122,0.0123,1.1081
mom_120_f0.2_x2.0,-0.01294,-0.01279,0.0072,-1.798,-0.1207,2500,2010-01-04,2019-12-31,-0.965,0.00604,0.5325
mom_120_f0.2_x3.0,-0.00788,-0.00781,0.00646,-1.218,-0.0802,2500,2010-01-04,2019-12-31,-0.711,0.00329,0.2837
